 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Mathematics, Grade 4, Gender",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for grade 4 mathematics, by gender [GENDER] and jurisdiction: 2019, 2017, 2015, 2013, 2011, and 2009",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,Gender,Average scale score,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,Male,239,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,Female,239,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),Male,233,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),Female,232,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Male,241,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Female,238,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Male,234,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Female,233,,,,,,,,,,,,,,,,,,,,,,
2015,Kentucky,Male,243,,,,,,,,,,,,,,,,,,,,,,
2015,Kentucky,Female,240,,,,,,,,,,,,,,,,,,,,,,
2015,Jefferson County (KY),Male,238,,,,,,,,,,,,,,,,,,,,,,
2015,Jefferson County (KY),Female,233,,,,,,,,,,,,,,,,,,,,,,
2013,Kentucky,Male,242,,,,,,,,,,,,,,,,,,,,,,
2013,Kentucky,Female,241,,,,,,,,,,,,,,,,,,,,,,
2013,Jefferson County (KY),Male,235,,,,,,,,,,,,,,,,,,,,,,
2013,Jefferson County (KY),Female,233,,,,,,,,,,,,,,,,,,,,,,
2011,Kentucky,Male,242,,,,,,,,,,,,,,,,,,,,,,
2011,Kentucky,Female,240,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Male,236,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Female,235,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Male,240,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Female,238,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Male,232,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Female,233,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2009, 2011, 2013, 2015, 2017, and 2019 Mathematics Assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
