 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Mathematics, Grade 4, Race ethnicity used to report trends, school-reported",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for grade 4 mathematics, by race/ethnicity used to report trends, school-reported [SDRACE] and jurisdiction: 2019, 2017, 2015, 2013, 2011, and 2009",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,"Race/ethnicity used to report trends, school-reported",Average scale score,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Asian/Pacific Islander,255,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),American Indian/Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Two or more races,‡,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,White,241,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Black,220,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Hispanic,227,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Asian/Pacific Islander,265,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,American Indian/Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Two or more races,235,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),White,243,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Black,216,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Hispanic,226,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Asian/Pacific Islander,‡,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),American Indian/Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Two or more races,‡,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
‡ Reporting standards not met.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Black includes African American, Hispanic includes Latino, and Pacific Islander includes Native Hawaiian.  Race categories exclude Hispanic origin. Prior to 2011, students in the ""two or more races"" category were categorized as ""unclassified.""  Some apparent differences between estimates may not be statistically significant.",,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2009, 2011, 2013, 2015, 2017, and 2019 Mathematics Assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
