GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US45075,45075,"Orangeburg County, South Carolina",5502,1363,18089,3167,33481,3670,51876,3698,121580,21424,222238,77036
0500000US45077,45077,"Pickens County, South Carolina",10497,1649,28194,2515,46336,2747,73538,5805,165630,25234,296366,87089
0500000US45079,45079,"Richland County, South Carolina",11717,1233,32177,1983,52783,2345,79872,3435,178576,11391,327448,38526
0500000US45083,45083,"Spartanburg County, South Carolina",11074,1207,28553,1626,47216,2541,71684,2953,158741,13670,285385,47390
0500000US45085,45085,"Sumter County, South Carolina",9081,1684,22960,2602,39425,3755,61601,3995,148305,25385,278994,89475
0500000US45091,45091,"York County, South Carolina",13801,1589,38739,2446,61769,2684,94364,3694,190958,11893,313161,32693
0500000US46099,46099,"Minnehaha County, South Dakota",14696,1425,36915,1926,59960,2872,88508,3067,175552,15325,307300,48469
0500000US46103,46103,"Pennington County, South Dakota",10314,1971,31650,3335,50657,3036,75078,4458,170488,21380,334716,74757
0500000US47001,47001,"Anderson County, Tennessee",11534,2121,28221,3213,46424,3481,71608,5688,150218,13722,240802,34083
0500000US47009,47009,"Blount County, Tennessee",12530,1833,30860,2568,50768,3449,76770,3744,162444,16053,291181,55494
0500000US47011,47011,"Bradley County, Tennessee",12378,1904,30218,2601,45864,3262,70412,4767,140172,17105,244012,59673
0500000US47037,47037,"Davidson County, Tennessee",13406,931,34348,1198,54983,1782,85000,2110,203431,9276,384960,29024
0500000US47059,47059,"Greene County, Tennessee",8536,1461,23598,3186,41533,4184,66216,7049,162543,36890,313018,119900
0500000US47065,47065,"Hamilton County, Tennessee",11853,916,28890,1560,48117,1973,78996,3573,189502,14861,358978,49261
0500000US47093,47093,"Knox County, Tennessee",11641,881,30975,1330,52422,1970,82442,2294,183947,8413,330860,26527
0500000US47113,47113,"Madison County, Tennessee",7745,1940,24608,2738,42513,2883,66940,4963,149611,14889,252646,31982
0500000US47119,47119,"Maury County, Tennessee",14184,2577,34470,3660,51208,3657,73724,4563,147894,18469,248580,57286
0500000US47125,47125,"Montgomery County, Tennessee",13783,1879,35484,2880,56609,3481,79074,3047,142034,10118,218612,25424
0500000US47141,47141,"Putnam County, Tennessee",7777,1731,20068,2363,38644,3762,64602,5379,149306,20995,269680,70891
0500000US47147,47147,"Robertson County, Tennessee",15125,2648,36819,3944,59388,5054,83826,6432,179727,34313,330425,121337
0500000US47149,47149,"Rutherford County, Tennessee",17146,1767,40158,2269,61194,2459,89495,3037,168343,9480,271663,29761
0500000US47155,47155,"Sevier County, Tennessee",13757,1597,29728,2000,45453,2900,65852,3886,128992,20117,221624,65919
0500000US47157,47157,"Shelby County, Tennessee",9516,694,27256,1131,47941,1417,77767,2201,191821,8761,363988,28435
0500000US47163,47163,"Sullivan County, Tennessee",11651,1473,27160,1777,43080,2522,65954,3223,142832,10608,249422,28594
0500000US47165,47165,"Sumner County, Tennessee",15573,1687,38035,2488,60848,3805,93125,4946,185086,18131,321433,65454
0500000US47179,47179,"Washington County, Tennessee",13019,1720,28025,2266,46531,3656,73421,5059,152303,13973,261373,38641
0500000US47187,47187,"Williamson County, Tennessee",26085,2937,65723,4845,106023,4888,152942,6523,337630,24026,611615,72514
0500000US47189,47189,"Wilson County, Tennessee",18430,2341,45299,3496,70661,3640,102721,5538,184050,13594,273423,37057
0500000US48005,48005,"Angelina County, Texas",11040,1723,24000,2941,41374,5360,63002,6184,135582,17046,250304,56386
0500000US48021,48021,"Bastrop County, Texas",10891,4518,32095,5085,55603,6960,85695,8286,178965,46979,317670,162328
0500000US48027,48027,"Bell County, Texas",13617,1191,33830,2336,53109,2606,79205,3070,160542,12779,285167,42973
0500000US48029,48029,"Bexar County, Texas",12485,613,32664,943,53691,1054,83383,1567,179873,5383,307692,15986
0500000US48037,48037,"Bowie County, Texas",9841,2072,27318,3250,46216,4096,72533,6879,182008,29901,339430,99756
0500000US48039,48039,"Brazoria County, Texas",17605,2053,47206,2708,74689,3945,109381,4710,204137,10895,304153,28825
0500000US48041,48041,"Brazos County, Texas",7563,1281,24292,1841,42984,3004,79914,4867,200895,17777,354915,53179
0500000US48061,48061,"Cameron County, Texas",6992,804,20248,1279,36984,2123,59436,2498,132373,10152,233340,30782
0500000US48085,48085,"Collin County, Texas",23399,1374,56700,1818,90033,2494,133931,2965,263924,8345,437318,26699
0500000US48091,48091,"Comal County, Texas",17961,2706,47939,4180,76598,5189,115103,7882,241009,19919,386320,46506
0500000US48099,48099,"Coryell County, Texas",14549,2743,33598,3127,50871,4330,74557,6161,149538,33651,262517,129247
0500000US48113,48113,"Dallas County, Texas",13564,456,33494,699,54856,907,86426,1158,216350,6434,417774,20915
0500000US48121,48121,"Denton County, Texas",20269,1136,49571,1538,81336,2488,125337,3070,253661,10028,426138,30664
0500000US48135,48135,"Ector County, Texas",11659,2254,30974,3456,54453,5237,86598,6211,214757,48272,466757,170505
0500000US48139,48139,"Ellis County, Texas",17380,2501,45122,3476,69711,3190,101431,5687,196728,20325,322142,69935
0500000US48141,48141,"El Paso County, Texas",9620,555,25254,1102,42665,1450,66841,1866,140982,7542,238541,25904
0500000US48157,48157,"Fort Bend County, Texas",21951,1914,56346,2882,91534,3156,137920,4510,289932,21438,518176,71780
0500000US48167,48167,"Galveston County, Texas",13673,1429,36063,2131,65524,3782,113361,5867,223870,14559,348798,35850
0500000US48181,48181,"Grayson County, Texas",12391,1603,32530,2669,52625,3297,79380,5492,154824,13514,245872,43719
0500000US48183,48183,"Gregg County, Texas",10738,1728,27195,2386,43778,3020,68270,5443,158700,17265,279497,44742
0500000US48187,48187,"Guadalupe County, Texas",20160,3228,46307,2908,67974,3738,99889,5254,196012,21521,332568,71013
0500000US48201,48201,"Harris County, Texas",13249,424,33699,602,56971,804,92803,1051,226032,4977,417857,16211
0500000US48203,48203,"Harrison County, Texas",11367,2697,28056,4017,46005,4480,69169,4501,133639,16977,213997,50377
0500000US48209,48209,"Hays County, Texas",13607,2543,40262,3238,65168,4090,97192,5642,201465,17659,339301,55337
0500000US48213,48213,"Henderson County, Texas",11916,1999,27392,2176,44189,4110,73458,5080,163601,42798,321521,157515
0500000US48215,48215,"Hidalgo County, Texas",8401,569,20634,1222,36514,1870,59749,2622,140850,10244,251466,34063
0500000US48231,48231,"Hunt County, Texas",11207,1814,30710,3681,54159,4805,83187,6268,162858,15239,237474,33606
0500000US48245,48245,"Jefferson County, Texas",8643,901,25548,1731,45550,2644,78390,3828,166343,12079,281179,37836
0500000US48251,48251,"Johnson County, Texas",16787,2306,39321,3257,59698,4358,87670,5192,163127,15176,266695,46307
0500000US48257,48257,"Kaufman County, Texas",17932,2452,38416,3817,62000,5810,96335,6854,168326,16811,261540,55921
0500000US48291,48291,"Liberty County, Texas",13453,2553,29794,3998,45119,5532,72646,7815,167513,29360,299495,97350
0500000US48303,48303,"Lubbock County, Texas",10468,1699,30458,1993,49505,2327,77800,3911,174555,10393,305048,28236
0500000US48309,48309,"McLennan County, Texas",11051,1225,27788,1795,47028,2753,76330,4255,177642,20528,334354,76501
0500000US48329,48329,"Midland County, Texas",18556,2462,42757,4063,66661,6024,108195,7627,256940,26501,470758,83611
0500000US48339,48339,"Montgomery County, Texas",17350,1763,43239,2743,71666,3807,113680,5423,278448,25002,516384,79986
0500000US48347,48347,"Nacogdoches County, Texas",8871,2379,21321,2819,36329,4809,61407,6646,143146,31391,258413,111416
0500000US48355,48355,"Nueces County, Texas",12838,1017,32802,1696,54977,2509,84716,3421,167878,10542,272929,31838
0500000US48361,48361,"Orange County, Texas",11827,2115,32157,3973,54579,5372,86914,7941,168264,22860,270962,73431
0500000US48367,48367,"Parker County, Texas",15888,2595,41161,3996,67072,5622,103437,7226,192347,15100,291902,32875
0500000US48375,48375,"Potter County, Texas",10509,1175,25913,2193,43798,2969,66044,4055,157211,24216,301033,82922
0500000US48381,48381,"Randall County, Texas",17696,2219,41133,3173,66109,4602,98997,4968,215715,23399,395636,71764
0500000US48397,48397,"Rockwall County, Texas",25733,4335,58664,7499,93914,9713,137735,7552,219469,15826,299067,41988
0500000US48409,48409,"San Patricio County, Texas",12517,2166,29203,3846,52550,5214,79998,5986,149524,15598,222253,42906
0500000US48423,48423,"Smith County, Texas",12578,1689,31634,2891,53058,3250,81569,4425,162879,13924,272698,40231
0500000US48439,48439,"Tarrant County, Texas",15599,671,38676,960,61900,1213,96493,1697,211479,7384,376802,25889
0500000US48441,48441,"Taylor County, Texas",11025,1963,30208,2428,48477,3825,73211,4186,153415,17006,270533,53201
0500000US48451,48451,"Tom Green County, Texas",13485,1821,29927,2450,48378,4143,75782,6850,162296,16953,270446,42994
0500000US48453,48453,"Travis County, Texas",16573,886,43309,1030,70238,1640,110873,2575,260317,11004,475201,34532
0500000US48469,48469,"Victoria County, Texas",12867,2343,34028,4194,54390,4798,91231,7956,233372,38957,504387,136140
0500000US48471,48471,"Walker County, Texas",6557,3572,25339,4179,43864,5056,67840,8575,136150,14873,210649,35133
0500000US48479,48479,"Webb County, Texas",6381,992,19985,1854,36502,2994,62973,4510,143323,10249,230413,27406
0500000US48485,48485,"Wichita County, Texas",10019,1539,27006,2321,44327,2898,67145,4854,142470,13540,231286,33784
