GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US48245,48245,"Jefferson County, Texas",8689,810,22510,1384,38668,2257,63705,2658,146793,12643,268180,41917
0500000US48251,48251,"Johnson County, Texas",14127,1153,32645,2223,50561,2839,73855,3347,140443,16062,234228,50160
0500000US48257,48257,"Kaufman County, Texas",11705,2206,31489,3074,53150,4451,78570,4553,138666,11709,205463,30309
0500000US48291,48291,"Liberty County, Texas",10864,2286,25432,2849,39566,4062,60248,5406,107995,9613,152834,22039
0500000US48303,48303,"Lubbock County, Texas",8326,782,22582,1619,38127,2043,60948,2747,130984,8604,225299,27365
0500000US48309,48309,"McLennan County, Texas",6642,726,21194,1447,36931,1907,57243,2267,115659,7307,195048,25290
0500000US48329,48329,"Midland County, Texas",10918,1283,26921,2773,46247,2405,70771,4146,194007,24012,393524,76748
0500000US48339,48339,"Montgomery County, Texas",14678,1174,36262,1723,60289,2100,91619,2792,200985,12568,352694,38199
0500000US48355,48355,"Nueces County, Texas",8141,804,21641,1458,37488,2296,62572,2520,133688,11111,232329,35836
0500000US48361,48361,"Orange County, Texas",9648,1862,25278,2731,42119,3698,64191,4886,122797,12572,190555,38574
0500000US48367,48367,"Parker County, Texas",13155,2120,33178,3412,55005,3775,81654,4270,152990,14804,253361,42310
0500000US48375,48375,"Potter County, Texas",7998,1189,19575,1810,32967,2053,50182,3154,105458,10492,171717,27952
0500000US48381,48381,"Randall County, Texas",12845,2040,31597,2478,51830,3367,76417,4133,156941,22419,289337,81570
