SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,COLLEGE COUNT,TECHNICAL TRAINING COUNT,MILITARY COUNT,WORKING COUNT,WORK AND SCHOOL COUNT,OTHER COUNT,COLLEGE PERCENT,TECHNICAL TRAINING PERCENT,MILITARY PERCENT,WORKING PERCENT,WORK AND SCHOOL PERCENT,OTHER PERCENT
20192020,074,MAGOFFIN,371,Magoffin County,370,Magoffin County High School,371370,074371370,210375000960,KVEC,904,61,*,*,33,17,18,46.2,*,*,25.0,12.9,13.6
20192020,075,MARION,375,Marion County,"",---District Total---,375,"","",CKEC,901,88,16,8,86,24,20,36.4,6.6,3.3,35.5,9.9,8.3
20192020,075,MARION,375,Marion County,030,Hugh C. Spalding Academy,375030,075375030,210378002328,CKEC,901,*,*,*,33,7,5,*,*,*,70.2,14.9,10.6
20192020,075,MARION,375,Marion County,515,Marion County High School,375515,075375515,210378000970,CKEC,901,86,16,8,53,17,15,44.1,8.2,4.1,27.2,8.7,7.7
20192020,076,MARSHALL,381,Marshall County,"",---District Total---,381,"","",WKEC,908,228,*,11,64,6,35,66.1,*,3.2,18.6,1.7,10.1
20192020,076,MARSHALL,381,Marshall County,018,Star Academy High School,381018,076381018,210381002073,WKEC,908,28,*,*,11,*,*,68.3,*,*,26.8,*,*
20192020,076,MARSHALL,381,Marshall County,025,MC@HOME,381025,076381025,210381002474,WKEC,908,4,*,*,*,*,14,21.1,*,*,*,*,73.7
20192020,076,MARSHALL,381,Marshall County,088,Marshall County High School,381088,076381088,210381000976,WKEC,908,196,*,10,52,6,20,68.8,*,3.5,18.2,2.1,7.0
20192020,077,MARTIN,385,Martin County,"",---District Total---,385,"","",KEDC,903,64,5,*,14,14,20,54.7,4.3,*,12,12,17.1
20192020,077,MARTIN,385,Martin County,250,Martin County High School,385250,077385250,210384000985,KEDC,903,64,5,*,14,14,20,54.7,4.3,*,12.0,12.0,17.1
20192020,078,MASON,391,Mason County,"",---District Total---,391,"","",KEDC,903,*,*,*,*,*,176,*,*,*,*,*,100
20192020,078,MASON,391,Mason County,030,Mason County High School,391030,078391030,210387000989,KEDC,903,*,*,*,*,*,176,*,*,*,*,*,100.0
20192020,042,GRAVES,392,Mayfield Independent,"",---District Total---,392,"","",WKEC,908,35,7,*,49,3,6,35,7,*,49,3,6
20192020,042,GRAVES,392,Mayfield Independent,060,Mayfield High School,392060,042392060,210390000995,WKEC,908,35,7,*,49,3,6,35.0,7.0,*,49.0,3.0,6.0
20192020,079,MCCRACKEN,395,McCracken County,"",---District Total---,395,"","",WKEC,908,358,*,13,96,3,14,73.8,*,2.7,19.8,0.6,2.9
20192020,079,MCCRACKEN,395,McCracken County,012,McCracken Open Campus School,395012,079395012,210396001801,WKEC,908,8,*,5,26,3,3,17.8,*,11.1,57.8,6.7,6.7
20192020,079,MCCRACKEN,395,McCracken County,013,McCracken Regional School,395013,079395013,210396001862,WKEC,908,*,*,*,*,*,*,*,*,*,*,*,*
20192020,079,MCCRACKEN,395,McCracken County,015,McCracken County High School,395015,079395015,210396002332,WKEC,908,350,*,8,69,*,11,79.7,*,1.8,15.7,*,2.5
20192020,080,MCCREARY,401,McCreary County,"",---District Total---,401,"","",SESC,907,75,9,4,72,5,31,38.3,4.6,2,36.7,2.6,15.8
20192020,080,MCCREARY,401,McCreary County,010,McCreary Central High School,401010,080401010,210399001014,SESC,907,75,9,4,62,*,31,41.0,4.9,2.2,33.9,*,16.9
20192020,080,MCCREARY,401,McCreary County,012,McCreary Academy,401012,080401012,210399001805,SESC,907,*,*,*,10,3,*,*,*,*,76.9,23.1,*
20192020,081,MCLEAN,405,McLean County,"",---District Total---,405,"","",GRREC,902,65,*,3,24,*,15,60.2,*,2.8,22.2,*,13.9
20192020,081,MCLEAN,405,McLean County,065,McLean County High School,405065,081405065,210402001026,GRREC,902,65,*,3,24,*,15,60.2,*,2.8,22.2,*,13.9
20192020,082,MEADE,411,Meade County,"",---District Total---,411,"","",GRREC,902,129,114,22,106,10,26,31.7,28,5.4,26,2.5,6.4
20192020,082,MEADE,411,Meade County,012,Brandenburg High School,411012,082411012,210405001930,GRREC,902,*,*,*,7,*,3,*,8.3,*,58.3,*,25.0
20192020,082,MEADE,411,Meade County,013,James R. Allen High School,411013,082411013,210405002202,GRREC,902,*,*,*,*,*,4,*,*,*,*,*,100.0
20192020,082,MEADE,411,Meade County,070,Meade County High School,411070,082411070,210405001035,GRREC,902,128,113,22,99,10,19,32.7,28.9,5.6,25.3,2.6,4.9
20192020,083,MENIFEE,415,Menifee County,"",---District Total---,415,"","",KEDC,903,22,3,*,17,8,42,23.9,3.3,*,18.5,8.7,45.7
20192020,083,MENIFEE,415,Menifee County,090,Menifee County High School,415090,083415090,210408001040,KEDC,903,22,3,*,17,8,12,35.5,4.8,*,27.4,12.9,19.4
20192020,084,MERCER,421,Mercer County,"",---District Total---,421,"","",CKEC,901,71,6,6,40,49,20,37,3.1,3.1,20.8,25.5,10.4
20192020,084,MERCER,421,Mercer County,015,Mercer County Senior High School,421015,084421015,210411002168,CKEC,901,66,4,6,31,48,16,38.6,*,3.5,18.1,28.1,9.4
20192020,084,MERCER,421,Mercer County,040,Mercer Central,421040,084421040,210411002285,CKEC,901,5,*,*,9,*,4,23.8,9.5,*,42.9,*,19.0
20192020,085,METCALFE,425,Metcalfe County,"",---District Total---,425,"","",GRREC,902,29,32,*,49,*,15,23,25.4,*,38.9,*,11.9
20192020,085,METCALFE,425,Metcalfe County,050,Metcalfe County High School,425050,085425050,210414001044,GRREC,902,29,32,*,49,*,15,23.0,25.4,*,38.9,*,11.9
20192020,007,BELL,426,Middlesboro Independent,"",---District Total---,426,"","",SESC,907,62,*,*,16,4,23,59,*,*,15.2,3.8,21.9
20192020,007,BELL,426,Middlesboro Independent,023,Middlesboro Alternative School,426023,007426023,210417001680,SESC,907,*,*,*,*,*,10,*,*,*,*,*,90.9
20192020,007,BELL,426,Middlesboro Independent,080,Middlesboro High School,426080,007426080,210417001050,SESC,907,62,*,*,15,4,13,66.0,*,*,16.0,4.3,13.8
20192020,086,MONROE,431,Monroe County,"",---District Total---,431,"","",GRREC,902,37,22,*,36,7,12,32.2,19.1,*,31.3,6.1,10.4
20192020,086,MONROE,431,Monroe County,450,Monroe Co High,431450,086431450,210420001056,GRREC,902,37,22,*,36,7,12,32.2,19.1,*,31.3,6.1,10.4
20192020,087,MONTGOMERY,435,Montgomery County,"",---District Total---,435,"","",CKEC,901,217,13,8,67,16,38,60.4,3.6,2.2,18.7,4.5,10.6
20192020,087,MONTGOMERY,435,Montgomery County,013,Hillcrest Hall Treatment Center,435013,087435013,210425001867,CKEC,901,*,*,*,*,*,9,*,*,*,*,*,100.0
20192020,087,MONTGOMERY,435,Montgomery County,014,Gateway Children's Services,435014,087435014,210425001868,CKEC,901,*,*,*,*,*,3,*,*,*,*,*,100.0
20192020,087,MONTGOMERY,435,Montgomery County,040,Montgomery County High School,435040,087435040,210425001059,CKEC,901,215,9,8,55,14,*,71.4,3.0,2.7,18.3,4.7,*
20192020,087,MONTGOMERY,435,Montgomery County,080,The Sterling School,435080,087435080,210425002317,CKEC,901,*,4,*,12,*,25,*,8.9,*,26.7,*,55.6
20192020,088,MORGAN,441,Morgan County,"",---District Total---,441,"","",KEDC,903,54,29,4,38,*,16,37.8,20.3,2.8,26.6,*,11.2
20192020,088,MORGAN,441,Morgan County,150,Morgan County High School,441150,088441150,210429001068,KEDC,903,54,29,4,38,*,7,40.3,21.6,3.0,28.4,*,5.2
20192020,088,MORGAN,441,Morgan County,230,Woodsbend Youth Development Center,441230,088441230,210429001070,KEDC,903,*,*,*,*,*,9,*,*,*,*,*,100.0
20192020,089,MUHLENBERG,445,Muhlenberg County,"",---District Total---,445,"","",WKEC,908,148,6,8,72,18,153,36.5,*,2,17.8,4.4,37.8
20192020,089,MUHLENBERG,445,Muhlenberg County,175,Muhlenberg County High School,445175,089445175,210008102258,WKEC,908,148,6,8,72,17,78,45.0,*,2.4,21.9,5.2,23.7
20192020,018,CALLOWAY,446,Murray Independent,"",---District Total---,446,"","",WKEC,908,85,9,*,8,4,4,75.9,8,*,7.1,3.6,3.6
20192020,018,CALLOWAY,446,Murray Independent,050,Murray High School,446050,018446050,210438001086,WKEC,908,85,9,*,8,4,4,75.9,8.0,*,7.1,3.6,3.6
20192020,090,NELSON,451,Nelson County,"",---District Total---,451,"","",CKEC,901,42,*,3,28,13,258,12.2,*,0.9,8.1,3.8,75
20192020,090,NELSON,451,Nelson County,019,The Academy at Horizons,451019,090451019,210441002212,CKEC,901,*,*,*,*,*,34,*,*,*,*,*,97.1
20192020,090,NELSON,451,Nelson County,100,Nelson County High School,451100,090451100,210441001096,CKEC,901,*,*,*,*,*,146,*,*,*,*,*,100.0
