"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"Female"	"F"	616
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"Male"	"M"	505
	"2007"	"2007"	"Duval County, FL"	"12031"	"Female"	"F"	726
	"2007"	"2007"	"Duval County, FL"	"12031"	"Male"	"M"	605
	"2007"	"2007"	"Marion County, IN"	"18097"	"Female"	"F"	753
	"2007"	"2007"	"Marion County, IN"	"18097"	"Male"	"M"	696
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"Female"	"F"	517
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"Male"	"M"	481
	"2007"	"2007"	"Kent County, MI"	"26081"	"Female"	"F"	377
	"2007"	"2007"	"Kent County, MI"	"26081"	"Male"	"M"	331
	"2007"	"2007"	"Jackson County, MO"	"29095"	"Female"	"F"	472
	"2007"	"2007"	"Jackson County, MO"	"29095"	"Male"	"M"	422
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"Female"	"F"	636
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"Male"	"M"	510
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"Female"	"F"	316
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"Male"	"M"	274
	"2007"	"2007"	"Douglas County, NE"	"31055"	"Female"	"F"	358
	"2007"	"2007"	"Douglas County, NE"	"31055"	"Male"	"M"	305
	"2007"	"2007"	"Guilford County, NC"	"37081"	"Female"	"F"	328
	"2007"	"2007"	"Guilford County, NC"	"37081"	"Male"	"M"	289
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	692
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	678
	"2007"	"2007"	"Wake County, NC"	"37183"	"Female"	"F"	540
	"2007"	"2007"	"Wake County, NC"	"37183"	"Male"	"M"	481
	"2007"	"2007"	"Franklin County, OH"	"39049"	"Female"	"F"	898
	"2007"	"2007"	"Franklin County, OH"	"39049"	"Male"	"M"	864
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"Female"	"F"	684
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"Male"	"M"	538
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"Female"	"F"	339
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"Male"	"M"	288
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"Female"	"F"	569
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"Male"	"M"	507
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"Female"	"F"	429
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"Male"	"M"	375
	"2007"	"2007"	"Greenville County, SC"	"45045"	"Female"	"F"	304
	"2007"	"2007"	"Greenville County, SC"	"45045"	"Male"	"M"	276
	"2007"	"2007"	"Davidson County, TN"	"47037"	"Female"	"F"	484
	"2007"	"2007"	"Davidson County, TN"	"47037"	"Male"	"M"	449
	"2007"	"2007"	"Knox County, TN"	"47093"	"Female"	"F"	242
	"2007"	"2007"	"Knox County, TN"	"47093"	"Male"	"M"	231
	"2007"	"2007"	"Shelby County, TN"	"47157"	"Female"	"F"	895
	"2007"	"2007"	"Shelby County, TN"	"47157"	"Male"	"M"	800
	"2007"	"2007"	"Richmond city, VA"	"51760"	"Female"	"F"	220
	"2007"	"2007"	"Richmond city, VA"	"51760"	"Male"	"M"	189
	"2008"	"2008"	"Jefferson County, AL"	"01073"	"Female"	"F"	593
	"2008"	"2008"	"Jefferson County, AL"	"01073"	"Male"	"M"	581
	"2008"	"2008"	"Duval County, FL"	"12031"	"Female"	"F"	652
	"2008"	"2008"	"Duval County, FL"	"12031"	"Male"	"M"	595
	"2008"	"2008"	"Marion County, IN"	"18097"	"Female"	"F"	778
	"2008"	"2008"	"Marion County, IN"	"18097"	"Male"	"M"	670
	"2008"	"2008"	"Jefferson County, KY"	"21111"	"Female"	"F"	552
	"2008"	"2008"	"Jefferson County, KY"	"21111"	"Male"	"M"	465
	"2008"	"2008"	"Kent County, MI"	"26081"	"Female"	"F"	357
	"2008"	"2008"	"Kent County, MI"	"26081"	"Male"	"M"	310
	"2008"	"2008"	"Jackson County, MO"	"29095"	"Female"	"F"	441
	"2008"	"2008"	"Jackson County, MO"	"29095"	"Male"	"M"	438
	"2008"	"2008"	"St. Louis County, MO"	"29189"	"Female"	"F"	574
	"2008"	"2008"	"St. Louis County, MO"	"29189"	"Male"	"M"	475
	"2008"	"2008"	"St. Louis city, MO"	"29510"	"Female"	"F"	346
	"2008"	"2008"	"St. Louis city, MO"	"29510"	"Male"	"M"	328
	"2008"	"2008"	"Douglas County, NE"	"31055"	"Female"	"F"	333
	"2008"	"2008"	"Douglas County, NE"	"31055"	"Male"	"M"	324
	"2008"	"2008"	"Guilford County, NC"	"37081"	"Female"	"F"	363
	"2008"	"2008"	"Guilford County, NC"	"37081"	"Male"	"M"	230
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	740
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	652
	"2008"	"2008"	"Wake County, NC"	"37183"	"Female"	"F"	567
