"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	9690
	"2007"	"2007"	"Duval County, FL"	"12031"	13786
	"2007"	"2007"	"Marion County, IN"	"18097"	15397
	"2007"	"2007"	"Jefferson County, KY"	"21111"	10624
	"2007"	"2007"	"Kent County, MI"	"26081"	9544
	"2007"	"2007"	"Jackson County, MO"	"29095"	10638
	"2007"	"2007"	"St. Louis County, MO"	"29189"	12036
	"2007"	"2007"	"St. Louis city, MO"	"29510"	5343
	"2007"	"2007"	"Douglas County, NE"	"31055"	8651
	"2007"	"2007"	"Guilford County, NC"	"37081"	6295
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	14766
	"2007"	"2007"	"Wake County, NC"	"37183"	13286
	"2007"	"2007"	"Franklin County, OH"	"39049"	18139
	"2007"	"2007"	"Hamilton County, OH"	"39061"	11706
	"2007"	"2007"	"Montgomery County, OH"	"39113"	7241
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	12465
	"2007"	"2007"	"Tulsa County, OK"	"40143"	9777
	"2007"	"2007"	"Greenville County, SC"	"45045"	6596
	"2007"	"2007"	"Davidson County, TN"	"47037"	9992
	"2007"	"2007"	"Knox County, TN"	"47093"	5337
	"2007"	"2007"	"Shelby County, TN"	"47157"	15243
	"2007"	"2007"	"Richmond city, VA"	"51760"	3302
	"2008"	"2008"	"Jefferson County, AL"	"01073"	9566
	"2008"	"2008"	"Duval County, FL"	"12031"	13460
	"2008"	"2008"	"Marion County, IN"	"18097"	15334
	"2008"	"2008"	"Jefferson County, KY"	"21111"	10553
	"2008"	"2008"	"Kent County, MI"	"26081"	9030
	"2008"	"2008"	"Jackson County, MO"	"29095"	10517
	"2008"	"2008"	"St. Louis County, MO"	"29189"	11694
	"2008"	"2008"	"St. Louis city, MO"	"29510"	5743
	"2008"	"2008"	"Douglas County, NE"	"31055"	8535
	"2008"	"2008"	"Guilford County, NC"	"37081"	6373
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	14909
	"2008"	"2008"	"Wake County, NC"	"37183"	13538
	"2008"	"2008"	"Franklin County, OH"	"39049"	18334
	"2008"	"2008"	"Hamilton County, OH"	"39061"	11801
	"2008"	"2008"	"Montgomery County, OH"	"39113"	7158
	"2008"	"2008"	"Oklahoma County, OK"	"40109"	12374
	"2008"	"2008"	"Tulsa County, OK"	"40143"	9522
	"2008"	"2008"	"Greenville County, SC"	"45045"	6714
	"2008"	"2008"	"Davidson County, TN"	"47037"	10103
	"2008"	"2008"	"Knox County, TN"	"47093"	5494
	"2008"	"2008"	"Shelby County, TN"	"47157"	15050
	"2008"	"2008"	"Richmond city, VA"	"51760"	3303
	"2009"	"2009"	"Jefferson County, AL"	"01073"	10435
	"2009"	"2009"	"Duval County, FL"	"12031"	13171
