"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	827
	"2007"	"2007"	"Duval County, FL"	"12031"	1321
	"2007"	"2007"	"Marion County, IN"	"18097"	2490
	"2007"	"2007"	"Jefferson County, KY"	"21111"	764
	"2007"	"2007"	"Kent County, MI"	"26081"	1427
	"2007"	"2007"	"Jackson County, MO"	"29095"	1544
	"2007"	"2007"	"St. Louis County, MO"	"29189"	493
	"2007"	"2007"	"St. Louis city, MO"	"29510"	252
	"2007"	"2007"	"Douglas County, NE"	"31055"	1603
	"2007"	"2007"	"Guilford County, NC"	"37081"	952
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	3184
	"2007"	"2007"	"Wake County, NC"	"37183"	2530
	"2007"	"2007"	"Franklin County, OH"	"39049"	1343
	"2007"	"2007"	"Hamilton County, OH"	"39061"	530
	"2007"	"2007"	"Montgomery County, OH"	"39113"	252
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	2783
	"2007"	"2007"	"Tulsa County, OK"	"40143"	1703
	"2007"	"2007"	"Greenville County, SC"	"45045"	1049
	"2007"	"2007"	"Davidson County, TN"	"47037"	2020
	"2007"	"2007"	"Knox County, TN"	"47093"	365
	"2007"	"2007"	"Shelby County, TN"	"47157"	1781
	"2007"	"2007"	"Richmond city, VA"	"51760"	421
	"2008"	"2008"	"Jefferson County, AL"	"01073"	800
	"2008"	"2008"	"Duval County, FL"	"12031"	1295
	"2008"	"2008"	"Marion County, IN"	"18097"	2494
	"2008"	"2008"	"Jefferson County, KY"	"21111"	782
	"2008"	"2008"	"Kent County, MI"	"26081"	1448
	"2008"	"2008"	"Jackson County, MO"	"29095"	1491
	"2008"	"2008"	"St. Louis County, MO"	"29189"	437
	"2008"	"2008"	"St. Louis city, MO"	"29510"	261
	"2008"	"2008"	"Douglas County, NE"	"31055"	1629
	"2008"	"2008"	"Guilford County, NC"	"37081"	919
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	3093
	"2008"	"2008"	"Wake County, NC"	"37183"	2659
	"2008"	"2008"	"Franklin County, OH"	"39049"	1459
	"2008"	"2008"	"Hamilton County, OH"	"39061"	605
	"2008"	"2008"	"Montgomery County, OH"	"39113"	222
	"2008"	"2008"	"Oklahoma County, OK"	"40109"	2684
	"2008"	"2008"	"Tulsa County, OK"	"40143"	1665
	"2008"	"2008"	"Greenville County, SC"	"45045"	995
	"2008"	"2008"	"Davidson County, TN"	"47037"	1888
	"2008"	"2008"	"Knox County, TN"	"47093"	391
	"2008"	"2008"	"Shelby County, TN"	"47157"	1638
	"2008"	"2008"	"Richmond city, VA"	"51760"	416
	"2009"	"2009"	"Jefferson County, AL"	"01073"	841
	"2009"	"2009"	"Duval County, FL"	"12031"	1288
	"2009"	"2009"	"Marion County, IN"	"18097"	2372
	"2009"	"2009"	"Jefferson County, KY"	"21111"	728
	"2009"	"2009"	"Kent County, MI"	"26081"	1402
	"2009"	"2009"	"Jackson County, MO"	"29095"	1369
	"2009"	"2009"	"St. Louis County, MO"	"29189"	418
	"2009"	"2009"	"St. Louis city, MO"	"29510"	237
	"2009"	"2009"	"Douglas County, NE"	"31055"	1649
	"2009"	"2009"	"Guilford County, NC"	"37081"	820
	"2009"	"2009"	"Mecklenburg County, NC"	"37119"	2927
	"2009"	"2009"	"Wake County, NC"	"37183"	2250
	"2009"	"2009"	"Franklin County, OH"	"39049"	1526
	"2009"	"2009"	"Hamilton County, OH"	"39061"	604
	"2009"	"2009"	"Montgomery County, OH"	"39113"	196
	"2009"	"2009"	"Oklahoma County, OK"	"40109"	2751
	"2009"	"2009"	"Tulsa County, OK"	"40143"	1724
	"2009"	"2009"	"Greenville County, SC"	"45045"	1016
	"2009"	"2009"	"Davidson County, TN"	"47037"	1673
	"2009"	"2009"	"Knox County, TN"	"47093"	336
	"2009"	"2009"	"Shelby County, TN"	"47157"	1598
	"2009"	"2009"	"Richmond city, VA"	"51760"	402
