GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
310M300US39660,39660,"Rapid City, SD Metro Area",142251,2334,73313,1729,16872,1655,865,473,3787,807,4198,959,3532,1089,1405,664,1650,655,1051,571,384,310,2340,868,54,88,462,378,693,480,61,102,212,239,310,204,493,475,55,98,54101,1903,1421,667,396,336,0,163,122,222,846,459,3559,889,9223,815,38534,1048,68938,1789,14117,1493,348,283,3800,833,4472,898,2136,456,651,354,1323,435,640,371,747,442,2110,798,374,263,92,155,270,286,192,233,576,415,140,121,374,376,92,112,52711,1663,1470,710,247,232,0,163,137,156,108,135,2699,854,8577,919,39473,1514
310M300US39740,39740,"Reading, PA Metro Area",402315,1183,197081,873,41254,2104,1181,593,10892,1455,12520,1464,7263,578,4201,663,2826,807,850,375,1521,772,7171,1063,564,350,1421,557,1452,560,907,480,846,398,1045,506,576,353,360,206,148656,1772,2518,690,651,294,173,189,231,222,1660,431,10070,866,23885,626,109468,865,205234,924,42391,2425,867,521,10984,1258,10869,1294,7250,676,3684,673,4692,1088,2560,967,1485,622,9537,1386,456,381,1102,401,1081,561,977,500,1271,432,1746,785,1124,512,1780,773,153306,2211,3053,752,1384,600,291,223,488,336,1350,631,7386,1249,21948,1391,117406,1310
310M300US39820,39820,"Redding, CA Metro Area",172955,768,85357,931,18409,1534,991,598,4446,813,5108,902,2857,591,1730,479,1367,603,795,424,1115,565,2806,807,150,168,657,297,759,470,643,380,57,94,105,162,295,191,140,120,64142,1403,1031,504,170,192,19,32,132,152,706,362,3713,692,10515,724,47856,926,87598,915,16903,1238,465,351,3638,745,5362,790,3008,544,1163,239,628,324,1616,715,1023,475,2131,563,95,105,230,209,480,313,168,158,386,222,181,138,206,163,385,302,68564,1377,691,403,126,194,328,432,175,291,677,318,4056,629,8867,844,53644,941
310M300US39900,39900,"Reno, NV Metro Area",448985,1900,226607,1526,50816,2246,2242,954,12245,1324,12574,1540,7810,661,3905,735,6186,1489,3777,1168,2077,677,6406,1364,941,478,1637,790,1413,552,855,417,218,224,388,291,170,163,784,377,169385,2313,3469,815,943,668,474,334,53,91,1554,581,9078,1393,31659,1402,122155,1300,222378,1178,49012,2198,776,420,10809,1528,13624,1620,7200,652,4103,530,4886,992,4792,1204,2822,770,6616,1343,1232,548,594,363,1132,449,792,493,552,383,695,527,716,385,903,383,166750,2427,3108,787,730,512,92,100,255,254,891,499,9107,1184,28177,1468,124390,1064
310M300US40060,40060,"Richmond, VA Metro Area",1256982,5864,603865,3782,129507,4187,2933,989,31720,2641,37780,2868,21692,1435,10138,1308,11963,1839,6449,1464,6832,1365,21669,2431,3314,895,4179,1273,4669,1083,2736,954,1420,675,2376,792,1463,556,1512,530,452689,5095,8355,1493,3088,1163,111,139,714,393,4958,902,29700,2301,81705,2569,324058,3130,653117,4642,136127,4293,4653,1423,30464,3018,36635,2840,19154,1155,13530,1602,14627,2028,7172,1287,9892,1731,21797,2361,2802,733,3619,1090,3440,1073,2709,766,1675,715,2794,778,2327,839,2431,772,495193,5237,9564,1254,2529,975,461,340,701,400,2831,846,23796,2426,86887,2234,368424,3887
310M300US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4396881,4681,2185258,3914,579307,8575,15828,2366,149795,5849,163088,5586,96732,1728,40841,2472,56783,4505,34013,3897,22227,2580,66247,5058,8303,1852,9349,1449,8876,1687,5707,1432,3504,954,8257,1833,13016,2575,9235,1711,1539704,8819,40376,3670,8502,1648,1898,819,2861,1441,22933,2382,108651,4291,292329,4527,1062154,3097,2211623,3290,575295,7487,17870,2448,136873,5713,161706,5759,92678,1802,41965,2019,62968,4533,34816,3643,26419,2723,80756,5289,7603,1322,11165,2042,10066,1823,5891,1415,5240,1418,10705,1843,15840,2396,14246,2052,1555572,7376,39116,3518,6103,1596,1167,616,2538,1081,15753,1906,89625,4289,274288,4249,1126982,3131
310M300US40220,40220,"Roanoke, VA Metro Area",303409,1763,146134,2152,27108,2053,1389,671,7027,1199,8033,1222,5467,1169,2083,664,1459,649,702,363,948,616,6308,1177,618,343,1189,561,765,404,539,466,754,436,1537,480,380,238,526,332,112718,2089,2083,724,163,202,46,73,100,120,1204,827,6023,1089,15456,1481,87643,1318,157275,1944,27368,1968,756,365,8794,1197,5816,1170,5810,921,917,500,1711,636,1913,768,1651,665,7215,1164,595,278,616,330,1070,461,899,430,745,346,1756,509,725,511,809,556,122692,2242,1358,715,406,349,0,204,0,204,905,593,6929,1332,15341,1722,97753,1867
310M300US40340,40340,"Rochester, MN Metro Area",210061,631,102585,735,23376,1357,929,359,6383,825,7176,853,4008,495,1743,487,908,392,905,377,1324,502,2892,670,289,171,506,246,570,261,277,198,16,29,149,149,444,332,641,391,76317,1248,1457,324,752,425,261,266,72,88,793,353,4388,554,13577,987,55017,957,107476,719,24490,1327,1112,436,6329,880,5833,766,4407,558,1874,580,1910,609,1371,485,1654,656,4409,1002,574,312,827,444,642,310,339,282,262,179,408,294,616,397,741,349,78577,1529,1784,517,346,279,75,95,54,61,212,217,3479,778,12694,703,59933,972
310M300US40380,40380,"Rochester, NY Metro Area",1044937,1718,506318,1829,98390,3457,2661,742,24803,1825,30369,1739,19108,1254,7906,1044,7356,1295,3620,1135,2567,583,29296,2614,1831,627,3829,981,3030,725,1700,691,5868,1103,7420,1297,3526,826,2092,627,378632,2840,7102,1059,325,204,720,423,800,363,4056,926,22044,1580,64202,1490,279383,1276,538619,1933,100737,3034,3812,778,26509,1919,26267,1894,17216,1142,7399,1059,10154,1483,5539,1282,3841,955,32499,2511,1901,725,3357,912,3654,996,2289,683,5450,1058,8030,1224,4142,1070,3676,971,405383,2989,7221,1119,1271,670,402,330,632,341,3672,999,18646,1460,61597,1862,311942,1515
310M300US40420,40420,"Rockford, IL Metro Area",325571,1055,159082,1115,34763,1753,1524,559,8418,1187,11076,1192,6574,672,3339,778,1936,687,964,545,932,463,5888,1114,512,229,1283,561,1550,768,869,417,266,138,591,360,421,324,396,264,118431,1589,1743,667,387,305,249,261,247,275,986,489,7016,900,19163,914,88640,729,166489,1237,34970,2055,1252,500,8583,897,10469,1175,6015,820,2443,628,2370,772,2170,775,1668,521,6441,1378,744,461,1218,507,1116,532,992,529,294,233,592,278,362,266,1123,504,125078,1799,2222,777,92,127,273,347,212,223,1000,346,7338,963,18334,999,95607,803
