"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	16059	2379478	674.9
	"< 1 year"	"0"	"2000"	"2000"	16148	2383088	677.6
	"< 1 year"	"0"	"2001"	"2001"	16066	2522849	636.8
	"< 1 year"	"0"	"2002"	"2002"	16429	2494433	658.6
	"< 1 year"	"0"	"2003"	"2003"	16346	2518194	649.1
	"< 1 year"	"0"	"2004"	"2004"	16374	2536643	645.5
	"< 1 year"	"0"	"2005"	"2005"	16462	2528794	651.0
	"< 1 year"	"0"	"2006"	"2006"	16622	2542507	653.8
	"< 1 year"	"0"	"2007"	"2007"	17013	2613385	651.0
	"< 1 year"	"0"	"2008"	"2008"	16513	2609290	632.9
	"< 1 year"	"0"	"2009"	"2009"	15393	2527999	608.9
	"< 1 year"	"0"	"2010"	"2010"	14258	2491076	572.4
	"< 1 year"	"0"	"2011"	"2011"	13955	2537891	549.9
	"< 1 year"	"0"	"2012"	"2012"	13751	2507638	548.4
	"< 1 year"	"0"	"2013"	"2013"	13822	2503649	552.1
	"< 1 year"	"0"	"2014"	"2014"	13561	2509554	540.4
	"< 1 year"	"0"	"2015"	"2015"	13702	2525308	542.6
	"< 1 year"	"0"	"2016"	"2016"	13328	2520498	528.8
	"< 1 year"	"0"	"2017"	"2017"	12903	2498380	516.5
	"< 1 year"	"0"	"2018"	"2018"	12358	2438650	506.8
	"< 1 year"	"0"	"2019"	"2019"	12104	2386364	507.2
	"1 year"	"1"	"1999"	"1999"	1155	2368505	48.8
	"1 year"	"1"	"2000"	"2000"	1139	2390253	47.7
	"1 year"	"1"	"2001"	"2001"	1213	2417373	50.2
	"1 year"	"1"	"2002"	"2002"	1132	2515939	45.0
	"1 year"	"1"	"2003"	"2003"	1115	2481104	44.9
	"1 year"	"1"	"2004"	"2004"	1175	2498538	47.0
	"1 year"	"1"	"2005"	"2005"	1131	2514524	45.0
	"1 year"	"1"	"2006"	"2006"	1085	2504032	43.3
	"1 year"	"1"	"2007"	"2007"	1122	2514417	44.6
	"1 year"	"1"	"2008"	"2008"	1191	2583007	46.1
	"1 year"	"1"	"2009"	"2009"	1005	2574091	39.0
	"1 year"	"1"	"2010"	"2010"	1046	2508817	41.7
	"1 year"	"1"	"2011"	"2011"	978	2511426	38.9
	"1 year"	"1"	"2012"	"2012"	960	2530172	37.9
	"1 year"	"1"	"2013"	"2013"	985	2506355	39.3
