"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15952	2375066	671.6
	"< 1 year"	"0"	"2000"	"2000"	16033	2378823	674.0
	"< 1 year"	"0"	"2001"	"2001"	15956	2518024	633.7
	"< 1 year"	"0"	"2002"	"2002"	16302	2489707	654.8
	"< 1 year"	"0"	"2003"	"2003"	16222	2513612	645.4
	"< 1 year"	"0"	"2004"	"2004"	16266	2532278	642.3
	"< 1 year"	"0"	"2005"	"2005"	16360	2524693	648.0
	"< 1 year"	"0"	"2006"	"2006"	16497	2537619	650.1
	"< 1 year"	"0"	"2007"	"2007"	16886	2608436	647.4
	"< 1 year"	"0"	"2008"	"2008"	16394	2604045	629.6
	"< 1 year"	"0"	"2009"	"2009"	15262	2523142	604.9
	"< 1 year"	"0"	"2010"	"2010"	14168	2486434	569.8
	"< 1 year"	"0"	"2011"	"2011"	13880	2532573	548.1
	"< 1 year"	"0"	"2012"	"2012"	13650	2502410	545.5
	"< 1 year"	"0"	"2013"	"2013"	13734	2498755	549.6
	"< 1 year"	"0"	"2014"	"2014"	13479	2505105	538.1
	"< 1 year"	"0"	"2015"	"2015"	13648	2520874	541.4
	"< 1 year"	"0"	"2016"	"2016"	13261	2516318	527.0
	"< 1 year"	"0"	"2017"	"2017"	12817	2494213	513.9
	"< 1 year"	"0"	"2018"	"2018"	12284	2434741	504.5
	"< 1 year"	"0"	"2019"	"2019"	12028	2382258	504.9
	"1 year"	"1"	"1999"	"1999"	1149	2363806	48.6
	"1 year"	"1"	"2000"	"2000"	1133	2385616	47.5
	"1 year"	"1"	"2001"	"2001"	1206	2413044	50.0
	"1 year"	"1"	"2002"	"2002"	1131	2511092	45.0
	"1 year"	"1"	"2003"	"2003"	1106	2476469	44.7
	"1 year"	"1"	"2004"	"2004"	1167	2494000	46.8
	"1 year"	"1"	"2005"	"2005"	1125	2510266	44.8
	"1 year"	"1"	"2006"	"2006"	1080	2499876	43.2
	"1 year"	"1"	"2007"	"2007"	1113	2509729	44.3
	"1 year"	"1"	"2008"	"2008"	1178	2578297	45.7
	"1 year"	"1"	"2009"	"2009"	1004	2569114	39.1
	"1 year"	"1"	"2010"	"2010"	1041	2504209	41.6
	"1 year"	"1"	"2011"	"2011"	975	2506902	38.9
	"1 year"	"1"	"2012"	"2012"	957	2525069	37.9
	"1 year"	"1"	"2013"	"2013"	982	2501424	39.3
	"1 year"	"1"	"2014"	"2014"	869	2513426	34.6
	"1 year"	"1"	"2015"	"2015"	932	2512261	37.1
	"1 year"	"1"	"2016"	"2016"	918	2528345	36.3
	"1 year"	"1"	"2017"	"2017"	849	2510088	33.8
	"1 year"	"1"	"2018"	"2018"	854	2469430	34.6
	"1 year"	"1"	"2019"	"2019"	833	2404279	34.6
	"2 years"	"2"	"1999"	"1999"	798	2365867	33.7
	"2 years"	"2"	"2000"	"2000"	793	2369169	33.5
