"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	16042	2379411	674.2
	"< 1 year"	"0"	"2000"	"2000"	16091	2383080	675.2
	"< 1 year"	"0"	"2001"	"2001"	15995	2522886	634.0
	"< 1 year"	"0"	"2002"	"2002"	16351	2494679	655.4
	"< 1 year"	"0"	"2003"	"2003"	16269	2518528	646.0
	"< 1 year"	"0"	"2004"	"2004"	16340	2537152	644.0
	"< 1 year"	"0"	"2005"	"2005"	16437	2529207	649.9
	"< 1 year"	"0"	"2006"	"2006"	16559	2542564	651.3
	"< 1 year"	"0"	"2007"	"2007"	16960	2613320	649.0
	"< 1 year"	"0"	"2008"	"2008"	16452	2609098	630.6
	"< 1 year"	"0"	"2009"	"2009"	15382	2528537	608.3
	"< 1 year"	"0"	"2010"	"2010"	14258	2491710	572.2
	"< 1 year"	"0"	"2011"	"2011"	13960	2538962	549.8
	"< 1 year"	"0"	"2012"	"2012"	13706	2508506	546.4
	"< 1 year"	"0"	"2013"	"2013"	13826	2504281	552.1
	"< 1 year"	"0"	"2014"	"2014"	13548	2510586	539.6
	"< 1 year"	"0"	"2015"	"2015"	13707	2526224	542.6
	"< 1 year"	"0"	"2016"	"2016"	13327	2521785	528.5
	"< 1 year"	"0"	"2017"	"2017"	12878	2499561	515.2
	"< 1 year"	"0"	"2018"	"2018"	12356	2439901	506.4
	"< 1 year"	"0"	"2019"	"2019"	12087	2387769	506.2
	"1 year"	"1"	"1999"	"1999"	1157	2367933	48.9
	"1 year"	"1"	"2000"	"2000"	1142	2389750	47.8
	"1 year"	"1"	"2001"	"2001"	1211	2417115	50.1
	"1 year"	"1"	"2002"	"2002"	1138	2515539	45.2
	"1 year"	"1"	"2003"	"2003"	1114	2480939	44.9
	"1 year"	"1"	"2004"	"2004"	1172	2498538	46.9
	"1 year"	"1"	"2005"	"2005"	1130	2514583	44.9
	"1 year"	"1"	"2006"	"2006"	1085	2504212	43.3
	"1 year"	"1"	"2007"	"2007"	1118	2514488	44.5
	"1 year"	"1"	"2008"	"2008"	1194	2582992	46.2
	"1 year"	"1"	"2009"	"2009"	1004	2574026	39.0
	"1 year"	"1"	"2010"	"2010"	1042	2509254	41.5
	"1 year"	"1"	"2011"	"2011"	981	2511940	39.1
	"1 year"	"1"	"2012"	"2012"	958	2530911	37.9
	"1 year"	"1"	"2013"	"2013"	984	2506775	39.3
	"1 year"	"1"	"2014"	"2014"	874	2518855	34.7
	"1 year"	"1"	"2015"	"2015"	936	2517304	37.2
	"1 year"	"1"	"2016"	"2016"	922	2533730	36.4
	"1 year"	"1"	"2017"	"2017"	855	2515011	34.0
	"1 year"	"1"	"2018"	"2018"	855	2474469	34.6
	"1 year"	"1"	"2019"	"2019"	843	2409698	35.0
	"2 years"	"2"	"1999"	"1999"	801	2369582	33.8
	"2 years"	"2"	"2000"	"2000"	793	2372811	33.4
	"2 years"	"2"	"2001"	"2001"	797	2377393	33.5
	"2 years"	"2"	"2002"	"2002"	783	2415813	32.4
	"2 years"	"2"	"2003"	"2003"	794	2511103	31.6
	"2 years"	"2"	"2004"	"2004"	693	2474255	28.0
	"2 years"	"2"	"2005"	"2005"	756	2491663	30.3
	"2 years"	"2"	"2006"	"2006"	734	2512475	29.2
	"2 years"	"2"	"2007"	"2007"	706	2503448	28.2
	"2 years"	"2"	"2008"	"2008"	687	2514291	27.3
	"2 years"	"2"	"2009"	"2009"	655	2584153	25.3
	"2 years"	"2"	"2010"	"2010"	636	2583229	24.6
	"2 years"	"2"	"2011"	"2011"	610	2507773	24.3
	"2 years"	"2"	"2012"	"2012"	626	2516511	24.9
	"2 years"	"2"	"2013"	"2013"	595	2537580	23.4
	"2 years"	"2"	"2014"	"2014"	580	2506706	23.1
	"2 years"	"2"	"2015"	"2015"	604	2518534	24.0
	"2 years"	"2"	"2016"	"2016"	606	2527266	24.0
	"2 years"	"2"	"2017"	"2017"	551	2547751	21.6
	"2 years"	"2"	"2018"	"2018"	602	2521412	23.9
	"2 years"	"2"	"2019"	"2019"	539	2474493	21.8
	"3 years"	"3"	"1999"	"1999"	617	2410062	25.6
	"3 years"	"3"	"2000"	"2000"	531	2410050	22.0
	"3 years"	"3"	"2001"	"2001"	598	2379422	25.1
	"3 years"	"3"	"2002"	"2002"	542	2377875	22.8
	"3 years"	"3"	"2003"	"2003"	597	2416085	24.7
	"3 years"	"3"	"2004"	"2004"	535	2510760	21.3
	"3 years"	"3"	"2005"	"2005"	534	2473960	21.6
	"3 years"	"3"	"2006"	"2006"	502	2496523	20.1
	"3 years"	"3"	"2007"	"2007"	536	2523274	21.2
	"3 years"	"3"	"2008"	"2008"	518	2517276	20.6
	"3 years"	"3"	"2009"	"2009"	527	2529018	20.8
	"3 years"	"3"	"2010"	"2010"	476	2593602	18.4
	"3 years"	"3"	"2011"	"2011"	510	2588523	19.7
	"3 years"	"3"	"2012"	"2012"	486	2514036	19.3
	"3 years"	"3"	"2013"	"2013"	453	2523378	18.0
	"3 years"	"3"	"2014"	"2014"	428	2548000	16.8
	"3 years"	"3"	"2015"	"2015"	460	2516882	18.3
	"3 years"	"3"	"2016"	"2016"	460	2524693	18.2
	"3 years"	"3"	"2017"	"2017"	447	2535166	17.6
	"3 years"	"3"	"2018"	"2018"	444	2554188	17.4
	"3 years"	"3"	"2019"	"2019"	428	2523905	17.0
	"4 years"	"4"	"1999"	"1999"	505	2486216	20.3
	"4 years"	"4"	"2000"	"2000"	481	2469509	19.5
	"4 years"	"4"	"2001"	"2001"	507	2405070	21.1
	"4 years"	"4"	"2002"	"2002"	481	2383890	20.2
	"4 years"	"4"	"2003"	"2003"	449	2382736	18.8
	"4 years"	"4"	"2004"	"2004"	444	2422632	18.3
	"4 years"	"4"	"2005"	"2005"	419	2519469	16.6
	"4 years"	"4"	"2006"	"2006"	433	2486450	17.4
	"4 years"	"4"	"2007"	"2007"	454	2515550	18.0
	"4 years"	"4"	"2008"	"2008"	435	2549975	17.1
	"4 years"	"4"	"2009"	"2009"	391	2546236	15.4
	"4 years"	"4"	"2010"	"2010"	382	2555534	14.9
	"4 years"	"4"	"2011"	"2011"	394	2598673	15.2
	"4 years"	"4"	"2012"	"2012"	412	2593858	15.9
	"4 years"	"4"	"2013"	"2013"	404	2520351	16.0
	"4 years"	"4"	"2014"	"2014"	388	2533192	15.3
	"4 years"	"4"	"2015"	"2015"	340	2556773	13.3
	"4 years"	"4"	"2016"	"2016"	398	2524055	15.8
	"4 years"	"4"	"2017"	"2017"	355	2531615	14.0
	"4 years"	"4"	"2018"	"2018"	328	2542457	12.9
	"4 years"	"4"	"2019"	"2019"	338	2556914	13.2
	"5 years"	"5"	"1999"	"1999"	462	2513460	18.4
	"5 years"	"5"	"2000"	"2000"	449	2491017	18.0
	"5 years"	"5"	"2001"	"2001"	403	2457096	16.4
	"5 years"	"5"	"2002"	"2002"	409	2407497	17.0
	"5 years"	"5"	"2003"	"2003"	397	2384695	16.6
	"5 years"	"5"	"2004"	"2004"	402	2383086	16.9
	"5 years"	"5"	"2005"	"2005"	347	2423172	14.3
	"5 years"	"5"	"2006"	"2006"	396	2521883	15.7
	"5 years"	"5"	"2007"	"2007"	365	2492785	14.6
	"5 years"	"5"	"2008"	"2008"	356	2525163	14.1
	"5 years"	"5"	"2009"	"2009"	367	2563879	14.3
	"5 years"	"5"	"2010"	"2010"	289	2554417	11.3
	"5 years"	"5"	"2011"	"2011"	336	2574183	13.1
	"5 years"	"5"	"2012"	"2012"	343	2603535	13.2
	"5 years"	"5"	"2013"	"2013"	339	2599706	13.0
	"5 years"	"5"	"2014"	"2014"	314	2528951	12.4
	"5 years"	"5"	"2015"	"2015"	290	2544541	11.4
	"5 years"	"5"	"2016"	"2016"	316	2562883	12.3
	"5 years"	"5"	"2017"	"2017"	306	2530851	12.1
	"5 years"	"5"	"2018"	"2018"	307	2538587	12.1
	"5 years"	"5"	"2019"	"2019"	319	2545015	12.5
	"6 years"	"6"	"1999"	"1999"	395	2539839	15.6
	"6 years"	"6"	"2000"	"2000"	403	2524166	16.0
	"6 years"	"6"	"2001"	"2001"	400	2493174	16.0
	"6 years"	"6"	"2002"	"2002"	351	2455289	14.3
	"6 years"	"6"	"2003"	"2003"	359	2403436	14.9
	"6 years"	"6"	"2004"	"2004"	361	2378283	15.2
	"6 years"	"6"	"2005"	"2005"	369	2374994	15.5
	"6 years"	"6"	"2006"	"2006"	314	2415263	13.0
	"6 years"	"6"	"2007"	"2007"	341	2514434	13.6
	"6 years"	"6"	"2008"	"2008"	306	2486569	12.3
	"6 years"	"6"	"2009"	"2009"	323	2519729	12.8
	"6 years"	"6"	"2010"	"2010"	292	2555967	11.4
	"6 years"	"6"	"2011"	"2011"	300	2570001	11.7
	"6 years"	"6"	"2012"	"2012"	284	2579815	11.0
	"6 years"	"6"	"2013"	"2013"	295	2609649	11.3
	"6 years"	"6"	"2014"	"2014"	279	2607868	10.7
	"6 years"	"6"	"2015"	"2015"	309	2538090	12.2
	"6 years"	"6"	"2016"	"2016"	298	2550974	11.7
