"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	16043	2381684	673.6
	"< 1 year"	"0"	"2000"	"2000"	16089	2385468	674.5
	"< 1 year"	"0"	"2001"	"2001"	16018	2525691	634.2
	"< 1 year"	"0"	"2002"	"2002"	16376	2497221	655.8
	"< 1 year"	"0"	"2003"	"2003"	16283	2521152	645.9
	"< 1 year"	"0"	"2004"	"2004"	16330	2539667	643.0
	"< 1 year"	"0"	"2005"	"2005"	16444	2531966	649.5
	"< 1 year"	"0"	"2006"	"2006"	16578	2545418	651.3
	"< 1 year"	"0"	"2007"	"2007"	16981	2616566	649.0
	"< 1 year"	"0"	"2008"	"2008"	16482	2612331	630.9
	"< 1 year"	"0"	"2009"	"2009"	15364	2531959	606.8
	"< 1 year"	"0"	"2010"	"2010"	14260	2494919	571.6
	"< 1 year"	"0"	"2011"	"2011"	13998	2541841	550.7
	"< 1 year"	"0"	"2012"	"2012"	13747	2511367	547.4
	"< 1 year"	"0"	"2013"	"2013"	13849	2507977	552.2
	"< 1 year"	"0"	"2014"	"2014"	13586	2514566	540.3
	"< 1 year"	"0"	"2015"	"2015"	13737	2530847	542.8
	"< 1 year"	"0"	"2016"	"2016"	13371	2526284	529.3
	"< 1 year"	"0"	"2017"	"2017"	12926	2504367	516.1
	"< 1 year"	"0"	"2018"	"2018"	12383	2444814	506.5
	"< 1 year"	"0"	"2019"	"2019"	12106	2392100	506.1
	"1 year"	"1"	"1999"	"1999"	1156	2370624	48.8
	"1 year"	"1"	"2000"	"2000"	1139	2392457	47.6
	"1 year"	"1"	"2001"	"2001"	1211	2419552	50.1
	"1 year"	"1"	"2002"	"2002"	1136	2518436	45.1
	"1 year"	"1"	"2003"	"2003"	1114	2483460	44.9
	"1 year"	"1"	"2004"	"2004"	1180	2501172	47.2
	"1 year"	"1"	"2005"	"2005"	1132	2517203	45.0
	"1 year"	"1"	"2006"	"2006"	1086	2506843	43.3
	"1 year"	"1"	"2007"	"2007"	1121	2517238	44.5
	"1 year"	"1"	"2008"	"2008"	1188	2586190	45.9
	"1 year"	"1"	"2009"	"2009"	1010	2577084	39.2
	"1 year"	"1"	"2010"	"2010"	1047	2512329	41.7
	"1 year"	"1"	"2011"	"2011"	983	2515156	39.1
	"1 year"	"1"	"2012"	"2012"	959	2533724	37.8
	"1 year"	"1"	"2013"	"2013"	991	2510355	39.5
	"1 year"	"1"	"2014"	"2014"	874	2522652	34.6
	"1 year"	"1"	"2015"	"2015"	941	2521775	37.3
	"1 year"	"1"	"2016"	"2016"	923	2537974	36.4
	"1 year"	"1"	"2017"	"2017"	856	2519964	34.0
	"1 year"	"1"	"2018"	"2018"	851	2479407	34.3
	"1 year"	"1"	"2019"	"2019"	835	2413888	34.6
	"2 years"	"2"	"1999"	"1999"	798	2372563	33.6
	"2 years"	"2"	"2000"	"2000"	792	2375762	33.3
	"2 years"	"2"	"2001"	"2001"	798	2380029	33.5
	"2 years"	"2"	"2002"	"2002"	782	2418201	32.3
	"2 years"	"2"	"2003"	"2003"	794	2513851	31.6
	"2 years"	"2"	"2004"	"2004"	697	2476646	28.1
	"2 years"	"2"	"2005"	"2005"	755	2494098	30.3
	"2 years"	"2"	"2006"	"2006"	730	2515002	29.0
	"2 years"	"2"	"2007"	"2007"	705	2505908	28.1
	"2 years"	"2"	"2008"	"2008"	687	2516757	27.3
	"2 years"	"2"	"2009"	"2009"	657	2587094	25.4
	"2 years"	"2"	"2010"	"2010"	634	2585974	24.5
	"2 years"	"2"	"2011"	"2011"	616	2510782	24.5
	"2 years"	"2"	"2012"	"2012"	624	2519690	24.8
	"2 years"	"2"	"2013"	"2013"	594	2540959	23.4
	"2 years"	"2"	"2014"	"2014"	584	2510379	23.3
	"2 years"	"2"	"2015"	"2015"	602	2522490	23.9
	"2 years"	"2"	"2016"	"2016"	607	2531930	24.0
	"2 years"	"2"	"2017"	"2017"	552	2552263	21.6
	"2 years"	"2"	"2018"	"2018"	598	2526145	23.7
	"2 years"	"2"	"2019"	"2019"	539	2479319	21.7
	"3 years"	"3"	"1999"	"1999"	621	2412898	25.7
	"3 years"	"3"	"2000"	"2000"	534	2412833	22.1
	"3 years"	"3"	"2001"	"2001"	596	2382382	25.0
	"3 years"	"3"	"2002"	"2002"	541	2380570	22.7
	"3 years"	"3"	"2003"	"2003"	601	2418590	24.8
	"3 years"	"3"	"2004"	"2004"	536	2513431	21.3
	"3 years"	"3"	"2005"	"2005"	534	2476547	21.6
	"3 years"	"3"	"2006"	"2006"	500	2498902	20.0
	"3 years"	"3"	"2007"	"2007"	532	2525886	21.1
