"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15961	2375428	671.9
	"< 1 year"	"0"	"2000"	"2000"	16019	2379094	673.3
	"< 1 year"	"0"	"2001"	"2001"	15939	2518421	632.9
	"< 1 year"	"0"	"2002"	"2002"	16311	2490323	655.0
	"< 1 year"	"0"	"2003"	"2003"	16197	2514087	644.2
	"< 1 year"	"0"	"2004"	"2004"	16248	2532745	641.5
	"< 1 year"	"0"	"2005"	"2005"	16352	2525084	647.6
	"< 1 year"	"0"	"2006"	"2006"	16494	2538239	649.8
	"< 1 year"	"0"	"2007"	"2007"	16876	2609306	646.8
	"< 1 year"	"0"	"2008"	"2008"	16392	2605347	629.2
	"< 1 year"	"0"	"2009"	"2009"	15276	2524525	605.1
	"< 1 year"	"0"	"2010"	"2010"	14189	2487714	570.4
	"< 1 year"	"0"	"2011"	"2011"	13889	2534168	548.1
	"< 1 year"	"0"	"2012"	"2012"	13685	2503848	546.6
	"< 1 year"	"0"	"2013"	"2013"	13748	2499918	549.9
	"< 1 year"	"0"	"2014"	"2014"	13495	2506064	538.5
	"< 1 year"	"0"	"2015"	"2015"	13657	2521858	541.5
	"< 1 year"	"0"	"2016"	"2016"	13267	2517160	527.1
	"< 1 year"	"0"	"2017"	"2017"	12837	2495384	514.4
	"< 1 year"	"0"	"2018"	"2018"	12296	2435681	504.8
	"< 1 year"	"0"	"2019"	"2019"	12029	2383212	504.7
	"1 year"	"1"	"1999"	"1999"	1151	2364367	48.7
	"1 year"	"1"	"2000"	"2000"	1136	2386101	47.6
	"1 year"	"1"	"2001"	"2001"	1206	2413303	50.0
	"1 year"	"1"	"2002"	"2002"	1135	2511378	45.2
	"1 year"	"1"	"2003"	"2003"	1109	2476784	44.8
	"1 year"	"1"	"2004"	"2004"	1175	2494192	47.1
	"1 year"	"1"	"2005"	"2005"	1127	2510281	44.9
	"1 year"	"1"	"2006"	"2006"	1079	2499977	43.2
	"1 year"	"1"	"2007"	"2007"	1116	2510051	44.5
	"1 year"	"1"	"2008"	"2008"	1182	2578892	45.8
	"1 year"	"1"	"2009"	"2009"	1002	2570019	39.0
	"1 year"	"1"	"2010"	"2010"	1045	2505042	41.7
	"1 year"	"1"	"2011"	"2011"	978	2508054	39.0
	"1 year"	"1"	"2012"	"2012"	958	2526427	37.9
	"1 year"	"1"	"2013"	"2013"	979	2502574	39.1
	"1 year"	"1"	"2014"	"2014"	869	2514459	34.6
	"1 year"	"1"	"2015"	"2015"	935	2513227	37.2
	"1 year"	"1"	"2016"	"2016"	919	2529196	36.3
	"1 year"	"1"	"2017"	"2017"	855	2511187	34.0
	"1 year"	"1"	"2018"	"2018"	852	2470347	34.5
	"1 year"	"1"	"2019"	"2019"	838	2405234	34.8
	"2 years"	"2"	"1999"	"1999"	793	2366298	33.5
	"2 years"	"2"	"2000"	"2000"	794	2369549	33.5
	"2 years"	"2"	"2001"	"2001"	801	2373934	33.7
	"2 years"	"2"	"2002"	"2002"	780	2412243	32.3
	"2 years"	"2"	"2003"	"2003"	791	2507219	31.5
	"2 years"	"2"	"2004"	"2004"	692	2470372	28.0
	"2 years"	"2"	"2005"	"2005"	759	2487475	30.5
	"2 years"	"2"	"2006"	"2006"	730	2508593	29.1
	"2 years"	"2"	"2007"	"2007"	703	2499622	28.1
	"2 years"	"2"	"2008"	"2008"	689	2510189	27.4
	"2 years"	"2"	"2009"	"2009"	656	2580214	25.4
	"2 years"	"2"	"2010"	"2010"	631	2579509	24.5
	"2 years"	"2"	"2011"	"2011"	614	2503541	24.5
	"2 years"	"2"	"2012"	"2012"	625	2512585	24.9
	"2 years"	"2"	"2013"	"2013"	592	2533510	23.4
	"2 years"	"2"	"2014"	"2014"	580	2502491	23.2
	"2 years"	"2"	"2015"	"2015"	603	2514348	24.0
	"2 years"	"2"	"2016"	"2016"	607	2523147	24.1
	"2 years"	"2"	"2017"	"2017"	550	2543386	21.6
	"2 years"	"2"	"2018"	"2018"	596	2517462	23.7
	"2 years"	"2"	"2019"	"2019"	537	2470285	21.7
	"3 years"	"3"	"1999"	"1999"	618	2407064	25.7
	"3 years"	"3"	"2000"	"2000"	532	2406988	22.1
	"3 years"	"3"	"2001"	"2001"	594	2376343	25.0
	"3 years"	"3"	"2002"	"2002"	540	2374643	22.7
	"3 years"	"3"	"2003"	"2003"	598	2412769	24.8
	"3 years"	"3"	"2004"	"2004"	532	2506962	21.2
	"3 years"	"3"	"2005"	"2005"	535	2470264	21.7
	"3 years"	"3"	"2006"	"2006"	501	2492364	20.1
	"3 years"	"3"	"2007"	"2007"	533	2519576	21.2
	"3 years"	"3"	"2008"	"2008"	520	2513739	20.7
	"3 years"	"3"	"2009"	"2009"	528	2524916	20.9
	"3 years"	"3"	"2010"	"2010"	473	2589640	18.3
	"3 years"	"3"	"2011"	"2011"	511	2584854	19.8
	"3 years"	"3"	"2012"	"2012"	485	2509734	19.3
	"3 years"	"3"	"2013"	"2013"	453	2519394	18.0
	"3 years"	"3"	"2014"	"2014"	427	2543844	16.8
	"3 years"	"3"	"2015"	"2015"	462	2512598	18.4
	"3 years"	"3"	"2016"	"2016"	462	2520463	18.3
	"3 years"	"3"	"2017"	"2017"	446	2531318	17.6
	"3 years"	"3"	"2018"	"2018"	441	2549801	17.3
	"3 years"	"3"	"2019"	"2019"	427	2519708	16.9
	"4 years"	"4"	"1999"	"1999"	502	2483055	20.2
	"4 years"	"4"	"2000"	"2000"	480	2466428	19.5
