"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15921	2371255	671.4
	"< 1 year"	"0"	"2000"	"2000"	15974	2374963	672.6
	"< 1 year"	"0"	"2001"	"2001"	15916	2513860	633.1
	"< 1 year"	"0"	"2002"	"2002"	16261	2486011	654.1
	"< 1 year"	"0"	"2003"	"2003"	16161	2509863	643.9
	"< 1 year"	"0"	"2004"	"2004"	16232	2528479	642.0
	"< 1 year"	"0"	"2005"	"2005"	16337	2521044	648.0
	"< 1 year"	"0"	"2006"	"2006"	16450	2534407	649.1
	"< 1 year"	"0"	"2007"	"2007"	16864	2605461	647.3
	"< 1 year"	"0"	"2008"	"2008"	16376	2601556	629.5
	"< 1 year"	"0"	"2009"	"2009"	15253	2520770	605.1
	"< 1 year"	"0"	"2010"	"2010"	14155	2483780	569.9
	"< 1 year"	"0"	"2011"	"2011"	13862	2531637	547.6
	"< 1 year"	"0"	"2012"	"2012"	13632	2500829	545.1
	"< 1 year"	"0"	"2013"	"2013"	13732	2496091	550.1
	"< 1 year"	"0"	"2014"	"2014"	13464	2502275	538.1
	"< 1 year"	"0"	"2015"	"2015"	13625	2518156	541.1
	"< 1 year"	"0"	"2016"	"2016"	13240	2513758	526.7
	"< 1 year"	"0"	"2017"	"2017"	12812	2491766	514.2
	"< 1 year"	"0"	"2018"	"2018"	12291	2432240	505.3
	"< 1 year"	"0"	"2019"	"2019"	12008	2379918	504.6
	"1 year"	"1"	"1999"	"1999"	1145	2359967	48.5
	"1 year"	"1"	"2000"	"2000"	1134	2381802	47.6
	"1 year"	"1"	"2001"	"2001"	1201	2409254	49.8
	"1 year"	"1"	"2002"	"2002"	1130	2507038	45.1
	"1 year"	"1"	"2003"	"2003"	1106	2472732	44.7
	"1 year"	"1"	"2004"	"2004"	1168	2490405	46.9
	"1 year"	"1"	"2005"	"2005"	1124	2506435	44.8
	"1 year"	"1"	"2006"	"2006"	1078	2496552	43.2
	"1 year"	"1"	"2007"	"2007"	1117	2506952	44.6
	"1 year"	"1"	"2008"	"2008"	1179	2575570	45.8
	"1 year"	"1"	"2009"	"2009"	1001	2566855	39.0
	"1 year"	"1"	"2010"	"2010"	1039	2501858	41.5
	"1 year"	"1"	"2011"	"2011"	976	2504150	39.0
	"1 year"	"1"	"2012"	"2012"	957	2522266	37.9
	"1 year"	"1"	"2013"	"2013"	979	2498741	39.2
	"1 year"	"1"	"2014"	"2014"	868	2510604	34.6
	"1 year"	"1"	"2015"	"2015"	935	2509590	37.3
	"1 year"	"1"	"2016"	"2016"	917	2525901	36.3
	"1 year"	"1"	"2017"	"2017"	850	2507712	33.9
	"1 year"	"1"	"2018"	"2018"	854	2467138	34.6
	"1 year"	"1"	"2019"	"2019"	834	2402076	34.7
	"2 years"	"2"	"1999"	"1999"	793	2361979	33.6
	"2 years"	"2"	"2000"	"2000"	789	2365382	33.4
	"2 years"	"2"	"2001"	"2001"	794	2369773	33.5
	"2 years"	"2"	"2002"	"2002"	780	2408258	32.4
	"2 years"	"2"	"2003"	"2003"	793	2502888	31.7
	"2 years"	"2"	"2004"	"2004"	693	2466250	28.1
	"2 years"	"2"	"2005"	"2005"	758	2483607	30.5
	"2 years"	"2"	"2006"	"2006"	728	2504593	29.1
	"2 years"	"2"	"2007"	"2007"	702	2495967	28.1
	"2 years"	"2"	"2008"	"2008"	686	2506708	27.4
	"2 years"	"2"	"2009"	"2009"	657	2576652	25.5
	"2 years"	"2"	"2010"	"2010"	635	2575834	24.7
	"2 years"	"2"	"2011"	"2011"	610	2500484	24.4
	"2 years"	"2"	"2012"	"2012"	622	2508834	24.8
	"2 years"	"2"	"2013"	"2013"	593	2529720	23.4
	"2 years"	"2"	"2014"	"2014"	579	2498914	23.2
	"2 years"	"2"	"2015"	"2015"	600	2510547	23.9
	"2 years"	"2"	"2016"	"2016"	603	2519725	23.9
	"2 years"	"2"	"2017"	"2017"	547	2540170	21.5
	"2 years"	"2"	"2018"	"2018"	599	2514147	23.8
	"2 years"	"2"	"2019"	"2019"	535	2467385	21.7
	"3 years"	"3"	"1999"	"1999"	615	2402801	25.6
	"3 years"	"3"	"2000"	"2000"	528	2402809	22.0
	"3 years"	"3"	"2001"	"2001"	594	2372333	25.0
	"3 years"	"3"	"2002"	"2002"	540	2370583	22.8
	"3 years"	"3"	"2003"	"2003"	597	2408805	24.8
	"3 years"	"3"	"2004"	"2004"	533	2502821	21.3
	"3 years"	"3"	"2005"	"2005"	534	2466289	21.7
	"3 years"	"3"	"2006"	"2006"	499	2488593	20.1
	"3 years"	"3"	"2007"	"2007"	533	2515805	21.2
	"3 years"	"3"	"2008"	"2008"	517	2510105	20.6
	"3 years"	"3"	"2009"	"2009"	524	2521548	20.8
	"3 years"	"3"	"2010"	"2010"	473	2586182	18.3
	"3 years"	"3"	"2011"	"2011"	509	2581170	19.7
	"3 years"	"3"	"2012"	"2012"	485	2506801	19.3
	"3 years"	"3"	"2013"	"2013"	453	2515805	18.0
	"3 years"	"3"	"2014"	"2014"	427	2540277	16.8
	"3 years"	"3"	"2015"	"2015"	463	2509249	18.5
	"3 years"	"3"	"2016"	"2016"	460	2517065	18.3
	"3 years"	"3"	"2017"	"2017"	445	2527870	17.6
	"3 years"	"3"	"2018"	"2018"	439	2546835	17.2
	"3 years"	"3"	"2019"	"2019"	427	2516635	17.0
	"4 years"	"4"	"1999"	"1999"	501	2478733	20.2
	"4 years"	"4"	"2000"	"2000"	479	2462259	19.5
	"4 years"	"4"	"2001"	"2001"	505	2398104	21.1
	"4 years"	"4"	"2002"	"2002"	478	2377118	20.1
	"4 years"	"4"	"2003"	"2003"	446	2375853	18.8
	"4 years"	"4"	"2004"	"2004"	440	2415720	18.2
	"4 years"	"4"	"2005"	"2005"	412	2511930	16.4
	"4 years"	"4"	"2006"	"2006"	430	2479427	17.3
	"4 years"	"4"	"2007"	"2007"	453	2508258	18.1
	"4 years"	"4"	"2008"	"2008"	431	2543297	16.9
	"4 years"	"4"	"2009"	"2009"	392	2539645	15.4
	"4 years"	"4"	"2010"	"2010"	380	2548679	14.9
	"4 years"	"4"	"2011"	"2011"	393	2591329	15.2
	"4 years"	"4"	"2012"	"2012"	410	2586558	15.9
	"4 years"	"4"	"2013"	"2013"	403	2513189	16.0
	"4 years"	"4"	"2014"	"2014"	386	2525784	15.3
	"4 years"	"4"	"2015"	"2015"	338	2549384	13.3
	"4 years"	"4"	"2016"	"2016"	400	2516896	15.9
	"4 years"	"4"	"2017"	"2017"	355	2524306	14.1
	"4 years"	"4"	"2018"	"2018"	328	2535230	12.9
	"4 years"	"4"	"2019"	"2019"	338	2549610	13.3
	"5 years"	"5"	"1999"	"1999"	459	2506265	18.3
	"5 years"	"5"	"2000"	"2000"	445	2483900	17.9
	"5 years"	"5"	"2001"	"2001"	400	2450098	16.3
	"5 years"	"5"	"2002"	"2002"	408	2400809	17.0
	"5 years"	"5"	"2003"	"2003"	395	2378259	16.6
	"5 years"	"5"	"2004"	"2004"	402	2376489	16.9
	"5 years"	"5"	"2005"	"2005"	347	2416495	14.4
	"5 years"	"5"	"2006"	"2006"	396	2514698	15.7
	"5 years"	"5"	"2007"	"2007"	361	2485973	14.5
	"5 years"	"5"	"2008"	"2008"	353	2518046	14.0
	"5 years"	"5"	"2009"	"2009"	364	2557105	14.2
	"5 years"	"5"	"2010"	"2010"	287	2547785	11.3
	"5 years"	"5"	"2011"	"2011"	336	2567209	13.1
	"5 years"	"5"	"2012"	"2012"	339	2596245	13.1
	"5 years"	"5"	"2013"	"2013"	342	2592620	13.2
	"5 years"	"5"	"2014"	"2014"	310	2521916	12.3
	"5 years"	"5"	"2015"	"2015"	288	2537391	11.4
	"5 years"	"5"	"2016"	"2016"	312	2555936	12.2
	"5 years"	"5"	"2017"	"2017"	303	2523921	12.0
	"5 years"	"5"	"2018"	"2018"	303	2531411	12.0
	"5 years"	"5"	"2019"	"2019"	317	2538046	12.5
	"6 years"	"6"	"1999"	"1999"	392	2532464	15.5
	"6 years"	"6"	"2000"	"2000"	400	2516819	15.9
	"6 years"	"6"	"2001"	"2001"	398	2486318	16.0
	"6 years"	"6"	"2002"	"2002"	349	2448589	14.3
	"6 years"	"6"	"2003"	"2003"	356	2397077	14.9
	"6 years"	"6"	"2004"	"2004"	359	2372105	15.1
	"6 years"	"6"	"2005"	"2005"	366	2368746	15.5
	"6 years"	"6"	"2006"	"2006"	312	2408933	13.0
	"6 years"	"6"	"2007"	"2007"	342	2507702	13.6
	"6 years"	"6"	"2008"	"2008"	306	2480104	12.3
	"6 years"	"6"	"2009"	"2009"	320	2512915	12.7
	"6 years"	"6"	"2010"	"2010"	293	2549342	11.5
	"6 years"	"6"	"2011"	"2011"	299	2563468	11.7
	"6 years"	"6"	"2012"	"2012"	283	2572876	11.0
	"6 years"	"6"	"2013"	"2013"	291	2602606	11.2
	"6 years"	"6"	"2014"	"2014"	280	2601069	10.8
	"6 years"	"6"	"2015"	"2015"	307	2531354	12.1
	"6 years"	"6"	"2016"	"2016"	297	2544189	11.7
	"6 years"	"6"	"2017"	"2017"	272	2561678	10.6
	"6 years"	"6"	"2018"	"2018"	285	2529384	11.3
	"6 years"	"6"	"2019"	"2019"	292	2533535	11.5
	"7 years"	"7"	"1999"	"1999"	423	2610001	16.2
	"7 years"	"7"	"2000"	"2000"	392	2576909	15.2
	"7 years"	"7"	"2001"	"2001"	358	2511394	14.3
	"7 years"	"7"	"2002"	"2002"	330	2491918	13.2
	"7 years"	"7"	"2003"	"2003"	350	2454570	14.3
	"7 years"	"7"	"2004"	"2004"	312	2404813	13.0
	"7 years"	"7"	"2005"	"2005"	329	2381750	13.8
	"7 years"	"7"	"2006"	"2006"	303	2382316	12.7
	"7 years"	"7"	"2007"	"2007"	328	2428424	13.5
	"7 years"	"7"	"2008"	"2008"	299	2533068	11.8
	"7 years"	"7"	"2009"	"2009"	266	2507935	10.6
	"7 years"	"7"	"2010"	"2010"	280	2528460	11.1
	"7 years"	"7"	"2011"	"2011"	265	2564702	10.3
	"7 years"	"7"	"2012"	"2012"	265	2568520	10.3
	"7 years"	"7"	"2013"	"2013"	256	2579240	9.9
	"7 years"	"7"	"2014"	"2014"	281	2610270	10.8
	"7 years"	"7"	"2015"	"2015"	274	2609793	10.5
	"7 years"	"7"	"2016"	"2016"	307	2537801	12.1
	"7 years"	"7"	"2017"	"2017"	300	2549990	11.8
	"7 years"	"7"	"2018"	"2018"	246	2567010	9.6
	"7 years"	"7"	"2019"	"2019"	256	2532250	10.1
	"8 years"	"8"	"1999"	"1999"	420	2610111	16.1
	"8 years"	"8"	"2000"	"2000"	379	2612839	14.5
	"8 years"	"8"	"2001"	"2001"	353	2564681	13.8
	"8 years"	"8"	"2002"	"2002"	371	2515134	14.8
	"8 years"	"8"	"2003"	"2003"	342	2495744	13.7
	"8 years"	"8"	"2004"	"2004"	310	2457372	12.6
	"8 years"	"8"	"2005"	"2005"	288	2408051	12.0
	"8 years"	"8"	"2006"	"2006"	290	2387461	12.1
	"8 years"	"8"	"2007"	"2007"	304	2391386	12.7
	"8 years"	"8"	"2008"	"2008"	295	2440704	12.1
	"8 years"	"8"	"2009"	"2009"	264	2547172	10.4
	"8 years"	"8"	"2010"	"2010"	248	2527467	9.8
	"8 years"	"8"	"2011"	"2011"	286	2544923	11.2
	"8 years"	"8"	"2012"	"2012"	245	2570087	9.5
	"8 years"	"8"	"2013"	"2013"	278	2573080	10.8
	"8 years"	"8"	"2014"	"2014"	261	2586685	10.1
	"8 years"	"8"	"2015"	"2015"	281	2618987	10.7
	"8 years"	"8"	"2016"	"2016"	306	2616060	11.7
	"8 years"	"8"	"2017"	"2017"	247	2543529	9.7
	"8 years"	"8"	"2018"	"2018"	267	2555050	10.4
	"8 years"	"8"	"2019"	"2019"	263	2570053	10.2
	"9 years"	"9"	"1999"	"1999"	379	2630080	14.4
	"9 years"	"9"	"2000"	"2000"	364	2662856	13.7
	"9 years"	"9"	"2001"	"2001"	362	2613840	13.8
	"9 years"	"9"	"2002"	"2002"	359	2575762	13.9
	"9 years"	"9"	"2003"	"2003"	329	2527786	13.0
	"9 years"	"9"	"2004"	"2004"	357	2510614	14.2
	"9 years"	"9"	"2005"	"2005"	321	2475632	13.0
	"9 years"	"9"	"2006"	"2006"	285	2430376	11.7
	"9 years"	"9"	"2007"	"2007"	289	2415711	12.0
	"9 years"	"9"	"2008"	"2008"	278	2425271	11.5
	"9 years"	"9"	"2009"	"2009"	309	2479791	12.5
	"9 years"	"9"	"2010"	"2010"	258	2586250	10.0
	"9 years"	"9"	"2011"	"2011"	264	2522984	10.5
	"9 years"	"9"	"2012"	"2012"	267	2551041	10.5
	"9 years"	"9"	"2013"	"2013"	253	2576492	9.8
	"9 years"	"9"	"2014"	"2014"	277	2580723	10.7
	"9 years"	"9"	"2015"	"2015"	247	2595272	9.5
	"9 years"	"9"	"2016"	"2016"	281	2625059	10.7
	"9 years"	"9"	"2017"	"2017"	241	2623999	9.2
	"9 years"	"9"	"2018"	"2018"	269	2548266	10.6
	"9 years"	"9"	"2019"	"2019"	251	2558383	9.8
	"10 years"	"10"	"1999"	"1999"	409	2577832	15.9
	"10 years"	"10"	"2000"	"2000"	365	2662385	13.7
	"10 years"	"10"	"2001"	"2001"	392	2669894	14.7
	"10 years"	"10"	"2002"	"2002"	381	2654213	14.4
	"10 years"	"10"	"2003"	"2003"	408	2629667	15.5
	"10 years"	"10"	"2004"	"2004"	349	2595240	13.4
	"10 years"	"10"	"2005"	"2005"	304	2592222	11.7
	"10 years"	"10"	"2006"	"2006"	317	2572404	12.3
	"10 years"	"10"	"2007"	"2007"	334	2542862	13.1
	"10 years"	"10"	"2008"	"2008"	285	2544293	11.2
	"10 years"	"10"	"2009"	"2009"	284	2569502	11.1
	"10 years"	"10"	"2010"	"2010"	246	2600805	9.5
	"10 years"	"10"	"2011"	"2011"	264	2579384	10.2
	"10 years"	"10"	"2012"	"2012"	239	2529361	9.4
	"10 years"	"10"	"2013"	"2013"	257	2555949	10.1
	"10 years"	"10"	"2014"	"2014"	274	2584391	10.6
	"10 years"	"10"	"2015"	"2015"	248	2589402	9.6
	"10 years"	"10"	"2016"	"2016"	293	2602143	11.3
	"10 years"	"10"	"2017"	"2017"	271	2632178	10.3
	"10 years"	"10"	"2018"	"2018"	289	2628841	11.0
	"10 years"	"10"	"2019"	"2019"	304	2550693	11.9
	"11 years"	"11"	"1999"	"1999"	428	2511502	17.0
	"11 years"	"11"	"2000"	"2000"	443	2562459	17.3
	"11 years"	"11"	"2001"	"2001"	391	2708480	14.4
	"11 years"	"11"	"2002"	"2002"	370	2681772	13.8
	"11 years"	"11"	"2003"	"2003"	380	2661164	14.3
	"11 years"	"11"	"2004"	"2004"	343	2631371	13.0
	"11 years"	"11"	"2005"	"2005"	355	2592852	13.7
	"11 years"	"11"	"2006"	"2006"	338	2587399	13.1
	"11 years"	"11"	"2007"	"2007"	311	2567180	12.1
	"11 years"	"11"	"2008"	"2008"	300	2535920	11.8
	"11 years"	"11"	"2009"	"2009"	330	2534980	13.0
	"11 years"	"11"	"2010"	"2010"	307	2564678	12.0
	"11 years"	"11"	"2011"	"2011"	277	2617347	10.6
	"11 years"	"11"	"2012"	"2012"	272	2585626	10.5
	"11 years"	"11"	"2013"	"2013"	248	2537581	9.8
	"11 years"	"11"	"2014"	"2014"	269	2563886	10.5
	"11 years"	"11"	"2015"	"2015"	268	2594392	10.3
	"11 years"	"11"	"2016"	"2016"	310	2595455	11.9
	"11 years"	"11"	"2017"	"2017"	304	2608890	11.7
	"11 years"	"11"	"2018"	"2018"	304	2636195	11.5
	"11 years"	"11"	"2019"	"2019"	315	2630690	12.0
	"12 years"	"12"	"1999"	"1999"	408	2492942	16.4
	"12 years"	"12"	"2000"	"2000"	433	2537984	17.1
	"12 years"	"12"	"2001"	"2001"	426	2605337	16.4
	"12 years"	"12"	"2002"	"2002"	473	2729711	17.3
	"12 years"	"12"	"2003"	"2003"	438	2703381	16.2
	"12 years"	"12"	"2004"	"2004"	436	2682401	16.3
	"12 years"	"12"	"2005"	"2005"	408	2653572	15.4
	"12 years"	"12"	"2006"	"2006"	349	2617553	13.3
	"12 years"	"12"	"2007"	"2007"	345	2616659	13.2
	"12 years"	"12"	"2008"	"2008"	339	2598453	13.0
	"12 years"	"12"	"2009"	"2009"	341	2569146	13.3
	"12 years"	"12"	"2010"	"2010"	348	2560462	13.6
