"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15908	2370682	671.0
	"< 1 year"	"0"	"2000"	"2000"	15969	2374311	672.6
	"< 1 year"	"0"	"2001"	"2001"	15911	2513312	633.1
	"< 1 year"	"0"	"2002"	"2002"	16253	2485284	654.0
	"< 1 year"	"0"	"2003"	"2003"	16173	2509373	644.5
	"< 1 year"	"0"	"2004"	"2004"	16214	2527989	641.4
	"< 1 year"	"0"	"2005"	"2005"	16332	2520417	648.0
	"< 1 year"	"0"	"2006"	"2006"	16448	2533722	649.2
	"< 1 year"	"0"	"2007"	"2007"	16845	2604560	646.8
	"< 1 year"	"0"	"2008"	"2008"	16365	2600522	629.3
	"< 1 year"	"0"	"2009"	"2009"	15234	2519901	604.5
	"< 1 year"	"0"	"2010"	"2010"	14149	2483043	569.8
	"< 1 year"	"0"	"2011"	"2011"	13849	2529135	547.6
	"< 1 year"	"0"	"2012"	"2012"	13629	2498924	545.4
	"< 1 year"	"0"	"2013"	"2013"	13720	2495052	549.9
	"< 1 year"	"0"	"2014"	"2014"	13459	2501331	538.1
	"< 1 year"	"0"	"2015"	"2015"	13634	2516993	541.7
	"< 1 year"	"0"	"2016"	"2016"	13235	2512552	526.8
	"< 1 year"	"0"	"2017"	"2017"	12801	2490704	514.0
	"< 1 year"	"0"	"2018"	"2018"	12272	2431198	504.8
	"< 1 year"	"0"	"2019"	"2019"	12014	2378775	505.0
	"1 year"	"1"	"1999"	"1999"	1146	2359687	48.6
	"1 year"	"1"	"2000"	"2000"	1133	2381424	47.6
	"1 year"	"1"	"2001"	"2001"	1201	2408495	49.9
	"1 year"	"1"	"2002"	"2002"	1128	2506531	45.0
	"1 year"	"1"	"2003"	"2003"	1106	2471932	44.7
	"1 year"	"1"	"2004"	"2004"	1166	2489791	46.8
	"1 year"	"1"	"2005"	"2005"	1125	2506040	44.9
	"1 year"	"1"	"2006"	"2006"	1078	2495786	43.2
	"1 year"	"1"	"2007"	"2007"	1115	2505898	44.5
	"1 year"	"1"	"2008"	"2008"	1179	2574465	45.8
	"1 year"	"1"	"2009"	"2009"	999	2565473	38.9
	"1 year"	"1"	"2010"	"2010"	1039	2500676	41.5
	"1 year"	"1"	"2011"	"2011"	976	2503295	39.0
	"1 year"	"1"	"2012"	"2012"	956	2521391	37.9
	"1 year"	"1"	"2013"	"2013"	978	2497745	39.2
	"1 year"	"1"	"2014"	"2014"	871	2509658	34.7
	"1 year"	"1"	"2015"	"2015"	932	2508374	37.2
	"1 year"	"1"	"2016"	"2016"	916	2524814	36.3
	"1 year"	"1"	"2017"	"2017"	854	2506603	34.1
	"1 year"	"1"	"2018"	"2018"	854	2466039	34.6
	"1 year"	"1"	"2019"	"2019"	835	2400903	34.8
	"2 years"	"2"	"1999"	"1999"	795	2361587	33.7
	"2 years"	"2"	"2000"	"2000"	791	2364926	33.4
	"2 years"	"2"	"2001"	"2001"	794	2369279	33.5
	"2 years"	"2"	"2002"	"2002"	782	2407565	32.5
	"2 years"	"2"	"2003"	"2003"	789	2502411	31.5
	"2 years"	"2"	"2004"	"2004"	694	2465426	28.1
	"2 years"	"2"	"2005"	"2005"	759	2483039	30.6
	"2 years"	"2"	"2006"	"2006"	728	2504194	29.1
	"2 years"	"2"	"2007"	"2007"	702	2495242	28.1
	"2 years"	"2"	"2008"	"2008"	686	2505855	27.4
	"2 years"	"2"	"2009"	"2009"	654	2575589	25.4
	"2 years"	"2"	"2010"	"2010"	630	2574667	24.5
	"2 years"	"2"	"2011"	"2011"	608	2499276	24.3
	"2 years"	"2"	"2012"	"2012"	622	2507985	24.8
	"2 years"	"2"	"2013"	"2013"	593	2528721	23.5
	"2 years"	"2"	"2014"	"2014"	578	2498014	23.1
	"2 years"	"2"	"2015"	"2015"	600	2509574	23.9
	"2 years"	"2"	"2016"	"2016"	602	2518562	23.9
	"2 years"	"2"	"2017"	"2017"	550	2539073	21.7
	"2 years"	"2"	"2018"	"2018"	596	2512983	23.7
	"2 years"	"2"	"2019"	"2019"	536	2466149	21.7
	"3 years"	"3"	"1999"	"1999"	615	2402534	25.6
	"3 years"	"3"	"2000"	"2000"	529	2402518	22.0
	"3 years"	"3"	"2001"	"2001"	593	2371876	25.0
	"3 years"	"3"	"2002"	"2002"	538	2370131	22.7
	"3 years"	"3"	"2003"	"2003"	596	2408133	24.7
	"3 years"	"3"	"2004"	"2004"	533	2502375	21.3
	"3 years"	"3"	"2005"	"2005"	533	2465636	21.6
	"3 years"	"3"	"2006"	"2006"	500	2488119	20.1
	"3 years"	"3"	"2007"	"2007"	530	2515368	21.1
	"3 years"	"3"	"2008"	"2008"	517	2509392	20.6
	"3 years"	"3"	"2009"	"2009"	528	2520673	20.9
	"3 years"	"3"	"2010"	"2010"	472	2585223	18.3
	"3 years"	"3"	"2011"	"2011"	508	2580012	19.7
	"3 years"	"3"	"2012"	"2012"	485	2505591	19.4
	"3 years"	"3"	"2013"	"2013"	452	2514921	18.0
	"3 years"	"3"	"2014"	"2014"	425	2539179	16.7
	"3 years"	"3"	"2015"	"2015"	460	2508249	18.3
	"3 years"	"3"	"2016"	"2016"	459	2515976	18.2
	"3 years"	"3"	"2017"	"2017"	446	2526817	17.7
	"3 years"	"3"	"2018"	"2018"	442	2545636	17.4
	"3 years"	"3"	"2019"	"2019"	426	2515509	16.9
	"4 years"	"4"	"1999"	"1999"	501	2478290	20.2
	"4 years"	"4"	"2000"	"2000"	479	2461752	19.5
	"4 years"	"4"	"2001"	"2001"	504	2397707	21.0
	"4 years"	"4"	"2002"	"2002"	481	2376659	20.2
	"4 years"	"4"	"2003"	"2003"	447	2375465	18.8
	"4 years"	"4"	"2004"	"2004"	441	2415038	18.3
	"4 years"	"4"	"2005"	"2005"	412	2511514	16.4
	"4 years"	"4"	"2006"	"2006"	430	2478658	17.3
	"4 years"	"4"	"2007"	"2007"	452	2507641	18.0
	"4 years"	"4"	"2008"	"2008"	430	2542713	16.9
	"4 years"	"4"	"2009"	"2009"	391	2538820	15.4
	"4 years"	"4"	"2010"	"2010"	381	2547728	15.0
	"4 years"	"4"	"2011"	"2011"	392	2590237	15.1
	"4 years"	"4"	"2012"	"2012"	409	2585346	15.8
	"4 years"	"4"	"2013"	"2013"	403	2512086	16.0
	"4 years"	"4"	"2014"	"2014"	388	2524788	15.4
	"4 years"	"4"	"2015"	"2015"	338	2548155	13.3
	"4 years"	"4"	"2016"	"2016"	398	2515956	15.8
	"4 years"	"4"	"2017"	"2017"	355	2523200	14.1
	"4 years"	"4"	"2018"	"2018"	327	2534174	12.9
	"4 years"	"4"	"2019"	"2019"	335	2548436	13.1
	"5 years"	"5"	"1999"	"1999"	460	2505812	18.4
	"5 years"	"5"	"2000"	"2000"	444	2483471	17.9
	"5 years"	"5"	"2001"	"2001"	399	2449630	16.3
	"5 years"	"5"	"2002"	"2002"	408	2400434	17.0
	"5 years"	"5"	"2003"	"2003"	395	2377817	16.6
	"5 years"	"5"	"2004"	"2004"	401	2375975	16.9
	"5 years"	"5"	"2005"	"2005"	347	2415857	14.4
	"5 years"	"5"	"2006"	"2006"	397	2514250	15.8
	"5 years"	"5"	"2007"	"2007"	362	2485087	14.6
	"5 years"	"5"	"2008"	"2008"	356	2517428	14.1
	"5 years"	"5"	"2009"	"2009"	364	2556477	14.2
	"5 years"	"5"	"2010"	"2010"	289	2547038	11.3
	"5 years"	"5"	"2011"	"2011"	334	2566203	13.0
	"5 years"	"5"	"2012"	"2012"	341	2595168	13.1
	"5 years"	"5"	"2013"	"2013"	339	2591380	13.1
	"5 years"	"5"	"2014"	"2014"	312	2520748	12.4
	"5 years"	"5"	"2015"	"2015"	287	2536300	11.3
	"5 years"	"5"	"2016"	"2016"	312	2554633	12.2
	"5 years"	"5"	"2017"	"2017"	302	2522937	12.0
	"5 years"	"5"	"2018"	"2018"	303	2530247	12.0
	"5 years"	"5"	"2019"	"2019"	318	2536869	12.5
	"6 years"	"6"	"1999"	"1999"	393	2531963	15.5
	"6 years"	"6"	"2000"	"2000"	403	2516390	16.0
	"6 years"	"6"	"2001"	"2001"	397	2485898	16.0
	"6 years"	"6"	"2002"	"2002"	349	2448204	14.3
	"6 years"	"6"	"2003"	"2003"	357	2396694	14.9
	"6 years"	"6"	"2004"	"2004"	361	2371633	15.2
	"6 years"	"6"	"2005"	"2005"	366	2368188	15.5
	"6 years"	"6"	"2006"	"2006"	312	2408298	13.0
	"6 years"	"6"	"2007"	"2007"	341	2507262	13.6
	"6 years"	"6"	"2008"	"2008"	306	2479241	12.3
	"6 years"	"6"	"2009"	"2009"	320	2512253	12.7
	"6 years"	"6"	"2010"	"2010"	291	2548723	11.4
	"6 years"	"6"	"2011"	"2011"	298	2562609	11.6
	"6 years"	"6"	"2012"	"2012"	283	2571863	11.0
	"6 years"	"6"	"2013"	"2013"	291	2601456	11.2
	"6 years"	"6"	"2014"	"2014"	281	2599757	10.8
	"6 years"	"6"	"2015"	"2015"	307	2530010	12.1
	"6 years"	"6"	"2016"	"2016"	297	2542918	11.7
	"6 years"	"6"	"2017"	"2017"	272	2560372	10.6
	"6 years"	"6"	"2018"	"2018"	284	2528321	11.2
	"6 years"	"6"	"2019"	"2019"	292	2532252	11.5
	"7 years"	"7"	"1999"	"1999"	423	2609407	16.2
	"7 years"	"7"	"2000"	"2000"	391	2576335	15.2
	"7 years"	"7"	"2001"	"2001"	355	2510937	14.1
	"7 years"	"7"	"2002"	"2002"	330	2491453	13.2
	"7 years"	"7"	"2003"	"2003"	351	2454160	14.3
	"7 years"	"7"	"2004"	"2004"	311	2404410	12.9
	"7 years"	"7"	"2005"	"2005"	330	2381340	13.9
	"7 years"	"7"	"2006"	"2006"	302	2381837	12.7
	"7 years"	"7"	"2007"	"2007"	327	2427794	13.5
	"7 years"	"7"	"2008"	"2008"	299	2532676	11.8
	"7 years"	"7"	"2009"	"2009"	265	2507219	10.6
	"7 years"	"7"	"2010"	"2010"	279	2527841	11.0
	"7 years"	"7"	"2011"	"2011"	262	2563989	10.2
	"7 years"	"7"	"2012"	"2012"	268	2567698	10.4
	"7 years"	"7"	"2013"	"2013"	257	2578192	10.0
	"7 years"	"7"	"2014"	"2014"	281	2609004	10.8
	"7 years"	"7"	"2015"	"2015"	274	2608418	10.5
	"7 years"	"7"	"2016"	"2016"	309	2536530	12.2
	"7 years"	"7"	"2017"	"2017"	300	2548741	11.8
	"7 years"	"7"	"2018"	"2018"	244	2565720	9.5
	"7 years"	"7"	"2019"	"2019"	257	2531108	10.2
	"8 years"	"8"	"1999"	"1999"	423	2609607	16.2
	"8 years"	"8"	"2000"	"2000"	381	2612362	14.6
	"8 years"	"8"	"2001"	"2001"	354	2564046	13.8
	"8 years"	"8"	"2002"	"2002"	372	2514665	14.8
	"8 years"	"8"	"2003"	"2003"	343	2495233	13.7
	"8 years"	"8"	"2004"	"2004"	308	2456841	12.5
	"8 years"	"8"	"2005"	"2005"	286	2407599	11.9
	"8 years"	"8"	"2006"	"2006"	290	2386877	12.1
	"8 years"	"8"	"2007"	"2007"	304	2390723	12.7
	"8 years"	"8"	"2008"	"2008"	295	2439923	12.1
	"8 years"	"8"	"2009"	"2009"	264	2546655	10.4
	"8 years"	"8"	"2010"	"2010"	247	2526720	9.8
	"8 years"	"8"	"2011"	"2011"	285	2544250	11.2
	"8 years"	"8"	"2012"	"2012"	245	2569336	9.5
	"8 years"	"8"	"2013"	"2013"	280	2572186	10.9
	"8 years"	"8"	"2014"	"2014"	259	2585637	10.0
	"8 years"	"8"	"2015"	"2015"	281	2617693	10.7
	"8 years"	"8"	"2016"	"2016"	304	2614665	11.6
	"8 years"	"8"	"2017"	"2017"	246	2542170	9.7
	"8 years"	"8"	"2018"	"2018"	267	2553726	10.5
	"8 years"	"8"	"2019"	"2019"	262	2568565	10.2
	"9 years"	"9"	"1999"	"1999"	379	2629429	14.4
	"9 years"	"9"	"2000"	"2000"	364	2662193	13.7
	"9 years"	"9"	"2001"	"2001"	362	2613303	13.9
	"9 years"	"9"	"2002"	"2002"	359	2575090	13.9
	"9 years"	"9"	"2003"	"2003"	329	2527351	13.0
	"9 years"	"9"	"2004"	"2004"	357	2510158	14.2
	"9 years"	"9"	"2005"	"2005"	321	2475219	13.0
	"9 years"	"9"	"2006"	"2006"	285	2429962	11.7
	"9 years"	"9"	"2007"	"2007"	289	2415048	12.0
	"9 years"	"9"	"2008"	"2008"	277	2424704	11.4
	"9 years"	"9"	"2009"	"2009"	309	2479047	12.5
	"9 years"	"9"	"2010"	"2010"	259	2585682	10.0
	"9 years"	"9"	"2011"	"2011"	264	2522138	10.5
	"9 years"	"9"	"2012"	"2012"	266	2550322	10.4
	"9 years"	"9"	"2013"	"2013"	253	2575593	9.8
	"9 years"	"9"	"2014"	"2014"	277	2579821	10.7
	"9 years"	"9"	"2015"	"2015"	247	2594159	9.5
	"9 years"	"9"	"2016"	"2016"	281	2623790	10.7
	"9 years"	"9"	"2017"	"2017"	242	2622564	9.2
	"9 years"	"9"	"2018"	"2018"	268	2546982	10.5
	"9 years"	"9"	"2019"	"2019"	251	2557000	9.8
	"10 years"	"10"	"1999"	"1999"	410	2577221	15.9
	"10 years"	"10"	"2000"	"2000"	368	2661717	13.8
	"10 years"	"10"	"2001"	"2001"	393	2669230	14.7
	"10 years"	"10"	"2002"	"2002"	382	2653607	14.4
	"10 years"	"10"	"2003"	"2003"	407	2628983	15.5
	"10 years"	"10"	"2004"	"2004"	349	2594722	13.5
	"10 years"	"10"	"2005"	"2005"	304	2591685	11.7
	"10 years"	"10"	"2006"	"2006"	316	2571813	12.3
	"10 years"	"10"	"2007"	"2007"	334	2542314	13.1
	"10 years"	"10"	"2008"	"2008"	284	2543421	11.2
	"10 years"	"10"	"2009"	"2009"	284	2568694	11.1
	"10 years"	"10"	"2010"	"2010"	246	2599873	9.5
	"10 years"	"10"	"2011"	"2011"	265	2578706	10.3
	"10 years"	"10"	"2012"	"2012"	239	2528474	9.5
	"10 years"	"10"	"2013"	"2013"	256	2555248	10.0
	"10 years"	"10"	"2014"	"2014"	275	2583494	10.6
	"10 years"	"10"	"2015"	"2015"	247	2588395	9.5
	"10 years"	"10"	"2016"	"2016"	290	2601023	11.1
	"10 years"	"10"	"2017"	"2017"	270	2630854	10.3
	"10 years"	"10"	"2018"	"2018"	288	2627421	11.0
	"10 years"	"10"	"2019"	"2019"	304	2549336	11.9
	"11 years"	"11"	"1999"	"1999"	429	2510966	17.1
	"11 years"	"11"	"2000"	"2000"	443	2561890	17.3
	"11 years"	"11"	"2001"	"2001"	388	2707795	14.3
	"11 years"	"11"	"2002"	"2002"	369	2681137	13.8
	"11 years"	"11"	"2003"	"2003"	379	2660565	14.2
	"11 years"	"11"	"2004"	"2004"	342	2630741	13.0
	"11 years"	"11"	"2005"	"2005"	354	2592339	13.7
	"11 years"	"11"	"2006"	"2006"	337	2586978	13.0
	"11 years"	"11"	"2007"	"2007"	309	2566662	12.0
	"11 years"	"11"	"2008"	"2008"	300	2535491	11.8
	"11 years"	"11"	"2009"	"2009"	329	2534200	13.0
	"11 years"	"11"	"2010"	"2010"	308	2563978	12.0
	"11 years"	"11"	"2011"	"2011"	278	2616309	10.6
	"11 years"	"11"	"2012"	"2012"	271	2584901	10.5
	"11 years"	"11"	"2013"	"2013"	247	2536724	9.7
	"11 years"	"11"	"2014"	"2014"	269	2563072	10.5
	"11 years"	"11"	"2015"	"2015"	268	2593436	10.3
	"11 years"	"11"	"2016"	"2016"	309	2594455	11.9
	"11 years"	"11"	"2017"	"2017"	304	2607738	11.7
	"11 years"	"11"	"2018"	"2018"	301	2634732	11.4
	"11 years"	"11"	"2019"	"2019"	315	2629260	12.0
	"12 years"	"12"	"1999"	"1999"	407	2492686	16.3
	"12 years"	"12"	"2000"	"2000"	432	2537707	17.0
	"12 years"	"12"	"2001"	"2001"	426	2604696	16.4
	"12 years"	"12"	"2002"	"2002"	472	2729086	17.3
	"12 years"	"12"	"2003"	"2003"	438	2702735	16.2
	"12 years"	"12"	"2004"	"2004"	438	2681723	16.3
