"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15962	2374156	672.3
	"< 1 year"	"0"	"2000"	"2000"	16036	2377787	674.4
	"< 1 year"	"0"	"2001"	"2001"	15963	2517456	634.1
	"< 1 year"	"0"	"2002"	"2002"	16317	2489279	655.5
	"< 1 year"	"0"	"2003"	"2003"	16203	2513109	644.7
	"< 1 year"	"0"	"2004"	"2004"	16250	2531724	641.9
	"< 1 year"	"0"	"2005"	"2005"	16368	2524251	648.4
	"< 1 year"	"0"	"2006"	"2006"	16506	2537836	650.4
	"< 1 year"	"0"	"2007"	"2007"	16901	2608875	647.8
	"< 1 year"	"0"	"2008"	"2008"	16396	2604696	629.5
	"< 1 year"	"0"	"2009"	"2009"	15283	2523723	605.6
	"< 1 year"	"0"	"2010"	"2010"	14187	2487073	570.4
	"< 1 year"	"0"	"2011"	"2011"	13893	2533555	548.4
	"< 1 year"	"0"	"2012"	"2012"	13669	2503262	546.0
	"< 1 year"	"0"	"2013"	"2013"	13771	2499618	550.9
	"< 1 year"	"0"	"2014"	"2014"	13497	2505859	538.6
	"< 1 year"	"0"	"2015"	"2015"	13666	2521941	541.9
	"< 1 year"	"0"	"2016"	"2016"	13280	2517696	527.5
	"< 1 year"	"0"	"2017"	"2017"	12841	2495608	514.5
	"< 1 year"	"0"	"2018"	"2018"	12315	2435845	505.6
	"< 1 year"	"0"	"2019"	"2019"	12052	2383643	505.6
	"1 year"	"1"	"1999"	"1999"	1149	2362707	48.6
	"1 year"	"1"	"2000"	"2000"	1136	2384470	47.6
	"1 year"	"1"	"2001"	"2001"	1202	2411795	49.8
	"1 year"	"1"	"2002"	"2002"	1131	2510196	45.1
	"1 year"	"1"	"2003"	"2003"	1108	2475896	44.8
	"1 year"	"1"	"2004"	"2004"	1166	2493435	46.8
	"1 year"	"1"	"2005"	"2005"	1125	2509562	44.8
	"1 year"	"1"	"2006"	"2006"	1083	2499443	43.3
	"1 year"	"1"	"2007"	"2007"	1115	2510067	44.4
	"1 year"	"1"	"2008"	"2008"	1182	2578607	45.8
	"1 year"	"1"	"2009"	"2009"	1001	2569638	39.0
	"1 year"	"1"	"2010"	"2010"	1043	2504689	41.6
	"1 year"	"1"	"2011"	"2011"	975	2507313	38.9
	"1 year"	"1"	"2012"	"2012"	958	2525718	37.9
	"1 year"	"1"	"2013"	"2013"	978	2502002	39.1
	"1 year"	"1"	"2014"	"2014"	868	2513978	34.5
	"1 year"	"1"	"2015"	"2015"	934	2512972	37.2
	"1 year"	"1"	"2016"	"2016"	919	2529279	36.3
	"1 year"	"1"	"2017"	"2017"	853	2510862	34.0
	"1 year"	"1"	"2018"	"2018"	856	2470132	34.7
	"1 year"	"1"	"2019"	"2019"	836	2405256	34.8
	"2 years"	"2"	"1999"	"1999"	797	2364373	33.7
	"2 years"	"2"	"2000"	"2000"	792	2367759	33.4
