"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15990	2376048	673.0
	"< 1 year"	"0"	"2000"	"2000"	16071	2379703	675.3
	"< 1 year"	"0"	"2001"	"2001"	15976	2519310	634.1
	"< 1 year"	"0"	"2002"	"2002"	16316	2491714	654.8
	"< 1 year"	"0"	"2003"	"2003"	16242	2515757	645.6
	"< 1 year"	"0"	"2004"	"2004"	16312	2534112	643.7
	"< 1 year"	"0"	"2005"	"2005"	16405	2526710	649.3
	"< 1 year"	"0"	"2006"	"2006"	16509	2540033	650.0
	"< 1 year"	"0"	"2007"	"2007"	16921	2610990	648.1
	"< 1 year"	"0"	"2008"	"2008"	16413	2606760	629.6
	"< 1 year"	"0"	"2009"	"2009"	15328	2526096	606.8
	"< 1 year"	"0"	"2010"	"2010"	14203	2488998	570.6
	"< 1 year"	"0"	"2011"	"2011"	13913	2536343	548.5
	"< 1 year"	"0"	"2012"	"2012"	13693	2505714	546.5
	"< 1 year"	"0"	"2013"	"2013"	13789	2501858	551.2
	"< 1 year"	"0"	"2014"	"2014"	13511	2508298	538.7
	"< 1 year"	"0"	"2015"	"2015"	13676	2524421	541.7
	"< 1 year"	"0"	"2016"	"2016"	13300	2519468	527.9
	"< 1 year"	"0"	"2017"	"2017"	12858	2497680	514.8
	"< 1 year"	"0"	"2018"	"2018"	12320	2437714	505.4
	"< 1 year"	"0"	"2019"	"2019"	12065	2384771	505.9
	"1 year"	"1"	"1999"	"1999"	1151	2364811	48.7
	"1 year"	"1"	"2000"	"2000"	1136	2386502	47.6
	"1 year"	"1"	"2001"	"2001"	1206	2413862	50.0
	"1 year"	"1"	"2002"	"2002"	1134	2512369	45.1
	"1 year"	"1"	"2003"	"2003"	1114	2478160	45.0
	"1 year"	"1"	"2004"	"2004"	1176	2495676	47.1
	"1 year"	"1"	"2005"	"2005"	1126	2511862	44.8
	"1 year"	"1"	"2006"	"2006"	1083	2501493	43.3
	"1 year"	"1"	"2007"	"2007"	1120	2511898	44.6
	"1 year"	"1"	"2008"	"2008"	1183	2580276	45.8
	"1 year"	"1"	"2009"	"2009"	1002	2571675	39.0
	"1 year"	"1"	"2010"	"2010"	1046	2506676	41.7
	"1 year"	"1"	"2011"	"2011"	983	2509409	39.2
	"1 year"	"1"	"2012"	"2012"	964	2527909	38.1
	"1 year"	"1"	"2013"	"2013"	982	2504523	39.2
	"1 year"	"1"	"2014"	"2014"	871	2516562	34.6
	"1 year"	"1"	"2015"	"2015"	942	2515636	37.4
	"1 year"	"1"	"2016"	"2016"	926	2531716	36.6
	"1 year"	"1"	"2017"	"2017"	857	2513280	34.1
	"1 year"	"1"	"2018"	"2018"	855	2472490	34.6
	"1 year"	"1"	"2019"	"2019"	838	2406907	34.8
	"2 years"	"2"	"1999"	"1999"	797	2366711	33.7
	"2 years"	"2"	"2000"	"2000"	791	2370064	33.4
	"2 years"	"2"	"2001"	"2001"	797	2374201	33.6
	"2 years"	"2"	"2002"	"2002"	784	2412746	32.5
	"2 years"	"2"	"2003"	"2003"	795	2507921	31.7
	"2 years"	"2"	"2004"	"2004"	692	2471367	28.0
	"2 years"	"2"	"2005"	"2005"	759	2488699	30.5
	"2 years"	"2"	"2006"	"2006"	731	2509773	29.1
	"2 years"	"2"	"2007"	"2007"	706	2500723	28.2
	"2 years"	"2"	"2008"	"2008"	689	2511537	27.4
	"2 years"	"2"	"2009"	"2009"	657	2581396	25.5
	"2 years"	"2"	"2010"	"2010"	630	2580661	24.4
	"2 years"	"2"	"2011"	"2011"	608	2505340	24.3
	"2 years"	"2"	"2012"	"2012"	627	2514018	24.9
