"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15950	2374487	671.7
	"< 1 year"	"0"	"2000"	"2000"	16030	2378130	674.1
	"< 1 year"	"0"	"2001"	"2001"	15949	2517727	633.5
	"< 1 year"	"0"	"2002"	"2002"	16310	2489756	655.1
	"< 1 year"	"0"	"2003"	"2003"	16205	2513397	644.7
	"< 1 year"	"0"	"2004"	"2004"	16252	2531861	641.9
	"< 1 year"	"0"	"2005"	"2005"	16369	2524274	648.5
	"< 1 year"	"0"	"2006"	"2006"	16498	2537450	650.2
	"< 1 year"	"0"	"2007"	"2007"	16912	2608311	648.4
	"< 1 year"	"0"	"2008"	"2008"	16397	2604070	629.7
	"< 1 year"	"0"	"2009"	"2009"	15279	2523500	605.5
	"< 1 year"	"0"	"2010"	"2010"	14176	2486666	570.1
	"< 1 year"	"0"	"2011"	"2011"	13878	2533734	547.7
	"< 1 year"	"0"	"2012"	"2012"	13682	2503127	546.6
	"< 1 year"	"0"	"2013"	"2013"	13762	2499066	550.7
	"< 1 year"	"0"	"2014"	"2014"	13502	2505416	538.9
	"< 1 year"	"0"	"2015"	"2015"	13652	2521246	541.5
	"< 1 year"	"0"	"2016"	"2016"	13282	2516612	527.8
	"< 1 year"	"0"	"2017"	"2017"	12848	2494895	515.0
	"< 1 year"	"0"	"2018"	"2018"	12305	2435227	505.3
	"< 1 year"	"0"	"2019"	"2019"	12041	2382368	505.4
	"1 year"	"1"	"1999"	"1999"	1153	2363433	48.8
	"1 year"	"1"	"2000"	"2000"	1138	2385134	47.7
	"1 year"	"1"	"2001"	"2001"	1207	2412284	50.0
	"1 year"	"1"	"2002"	"2002"	1131	2510754	45.0
	"1 year"	"1"	"2003"	"2003"	1106	2476261	44.7
	"1 year"	"1"	"2004"	"2004"	1169	2493464	46.9
	"1 year"	"1"	"2005"	"2005"	1129	2509671	45.0
	"1 year"	"1"	"2006"	"2006"	1078	2499589	43.1
	"1 year"	"1"	"2007"	"2007"	1120	2509616	44.6
	"1 year"	"1"	"2008"	"2008"	1184	2578155	45.9
	"1 year"	"1"	"2009"	"2009"	1000	2569358	38.9
	"1 year"	"1"	"2010"	"2010"	1042	2504523	41.6
	"1 year"	"1"	"2011"	"2011"	978	2507094	39.0
	"1 year"	"1"	"2012"	"2012"	959	2525317	38.0
	"1 year"	"1"	"2013"	"2013"	985	2501898	39.4
	"1 year"	"1"	"2014"	"2014"	870	2513744	34.6
	"1 year"	"1"	"2015"	"2015"	934	2512662	37.2
	"1 year"	"1"	"2016"	"2016"	918	2528780	36.3
	"1 year"	"1"	"2017"	"2017"	853	2510725	34.0
