"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15922	2368637	672.2
	"< 1 year"	"0"	"2000"	"2000"	15985	2372267	673.8
	"< 1 year"	"0"	"2001"	"2001"	15941	2511622	634.7
	"< 1 year"	"0"	"2002"	"2002"	16280	2483632	655.5
	"< 1 year"	"0"	"2003"	"2003"	16178	2507547	645.2
	"< 1 year"	"0"	"2004"	"2004"	16224	2525877	642.3
	"< 1 year"	"0"	"2005"	"2005"	16335	2518407	648.6
	"< 1 year"	"0"	"2006"	"2006"	16455	2531508	650.0
	"< 1 year"	"0"	"2007"	"2007"	16861	2602103	648.0
	"< 1 year"	"0"	"2008"	"2008"	16364	2598135	629.8
	"< 1 year"	"0"	"2009"	"2009"	15245	2517452	605.6
	"< 1 year"	"0"	"2010"	"2010"	14151	2480636	570.5
	"< 1 year"	"0"	"2011"	"2011"	13846	2527047	547.9
	"< 1 year"	"0"	"2012"	"2012"	13631	2496821	545.9
	"< 1 year"	"0"	"2013"	"2013"	13725	2492851	550.6
	"< 1 year"	"0"	"2014"	"2014"	13463	2498962	538.7
	"< 1 year"	"0"	"2015"	"2015"	13630	2514683	542.0
	"< 1 year"	"0"	"2016"	"2016"	13230	2510209	527.0
	"< 1 year"	"0"	"2017"	"2017"	12803	2488515	514.5
	"< 1 year"	"0"	"2018"	"2018"	12262	2429003	504.8
	"< 1 year"	"0"	"2019"	"2019"	12007	2376659	505.2
	"1 year"	"1"	"1999"	"1999"	1146	2357537	48.6
	"1 year"	"1"	"2000"	"2000"	1132	2379231	47.6
	"1 year"	"1"	"2001"	"2001"	1202	2406356	50.0
	"1 year"	"1"	"2002"	"2002"	1127	2504593	45.0
	"1 year"	"1"	"2003"	"2003"	1107	2470079	44.8
	"1 year"	"1"	"2004"	"2004"	1166	2487794	46.9
	"1 year"	"1"	"2005"	"2005"	1125	2503776	44.9
	"1 year"	"1"	"2006"	"2006"	1080	2493467	43.3
	"1 year"	"1"	"2007"	"2007"	1114	2503527	44.5
	"1 year"	"1"	"2008"	"2008"	1179	2571895	45.8
	"1 year"	"1"	"2009"	"2009"	1001	2563002	39.1
	"1 year"	"1"	"2010"	"2010"	1040	2498126	41.6
	"1 year"	"1"	"2011"	"2011"	976	2501005	39.0
	"1 year"	"1"	"2012"	"2012"	955	2519258	37.9
	"1 year"	"1"	"2013"	"2013"	977	2495447	39.2
	"1 year"	"1"	"2014"	"2014"	867	2507300	34.6
	"1 year"	"1"	"2015"	"2015"	931	2506108	37.1
	"1 year"	"1"	"2016"	"2016"	914	2522125	36.2
	"1 year"	"1"	"2017"	"2017"	850	2504118	33.9
	"1 year"	"1"	"2018"	"2018"	852	2463669	34.6
	"1 year"	"1"	"2019"	"2019"	833	2398453	34.7
	"2 years"	"2"	"1999"	"1999"	795	2359529	33.7
	"2 years"	"2"	"2000"	"2000"	789	2362812	33.4
	"2 years"	"2"	"2001"	"2001"	792	2367022	33.5
	"2 years"	"2"	"2002"	"2002"	779	2405281	32.4
	"2 years"	"2"	"2003"	"2003"	790	2500249	31.6
	"2 years"	"2"	"2004"	"2004"	692	2463416	28.1
	"2 years"	"2"	"2005"	"2005"	759	2480928	30.6
	"2 years"	"2"	"2006"	"2006"	728	2501834	29.1
	"2 years"	"2"	"2007"	"2007"	703	2492896	28.2
	"2 years"	"2"	"2008"	"2008"	686	2503379	27.4
	"2 years"	"2"	"2009"	"2009"	655	2573000	25.5
	"2 years"	"2"	"2010"	"2010"	630	2572141	24.5
	"2 years"	"2"	"2011"	"2011"	609	2496720	24.4
	"2 years"	"2"	"2012"	"2012"	623	2505512	24.9
	"2 years"	"2"	"2013"	"2013"	590	2526281	23.4
	"2 years"	"2"	"2014"	"2014"	581	2495502	23.3
	"2 years"	"2"	"2015"	"2015"	600	2507068	23.9
	"2 years"	"2"	"2016"	"2016"	603	2515944	24.0
	"2 years"	"2"	"2017"	"2017"	547	2536225	21.6
	"2 years"	"2"	"2018"	"2018"	598	2510358	23.8
	"2 years"	"2"	"2019"	"2019"	534	2463484	21.7
	"3 years"	"3"	"1999"	"1999"	614	2400279	25.6
	"3 years"	"3"	"2000"	"2000"	527	2400208	22.0
	"3 years"	"3"	"2001"	"2001"	595	2369597	25.1
	"3 years"	"3"	"2002"	"2002"	537	2367725	22.7
	"3 years"	"3"	"2003"	"2003"	598	2405690	24.9
	"3 years"	"3"	"2004"	"2004"	532	2500007	21.3
	"3 years"	"3"	"2005"	"2005"	532	2463342	21.6
	"3 years"	"3"	"2006"	"2006"	498	2485640	20.0
	"3 years"	"3"	"2007"	"2007"	529	2512738	21.1
	"3 years"	"3"	"2008"	"2008"	516	2506769	20.6
	"3 years"	"3"	"2009"	"2009"	525	2517862	20.9
	"3 years"	"3"	"2010"	"2010"	472	2582283	18.3
	"3 years"	"3"	"2011"	"2011"	508	2577523	19.7
	"3 years"	"3"	"2012"	"2012"	487	2502972	19.5
	"3 years"	"3"	"2013"	"2013"	451	2512271	18.0
	"3 years"	"3"	"2014"	"2014"	426	2536706	16.8
	"3 years"	"3"	"2015"	"2015"	460	2505614	18.4
	"3 years"	"3"	"2016"	"2016"	460	2513334	18.3
	"3 years"	"3"	"2017"	"2017"	446	2524011	17.7
	"3 years"	"3"	"2018"	"2018"	439	2542703	17.3
	"3 years"	"3"	"2019"	"2019"	426	2512601	17.0
	"4 years"	"4"	"1999"	"1999"	505	2476041	20.4
	"4 years"	"4"	"2000"	"2000"	481	2459418	19.6
	"4 years"	"4"	"2001"	"2001"	504	2395342	21.0
	"4 years"	"4"	"2002"	"2002"	479	2374209	20.2
	"4 years"	"4"	"2003"	"2003"	447	2372893	18.8
	"4 years"	"4"	"2004"	"2004"	442	2412421	18.3
	"4 years"	"4"	"2005"	"2005"	411	2508897	16.4
	"4 years"	"4"	"2006"	"2006"	432	2476198	17.4
	"4 years"	"4"	"2007"	"2007"	454	2504948	18.1
	"4 years"	"4"	"2008"	"2008"	429	2539838	16.9
	"4 years"	"4"	"2009"	"2009"	390	2536046	15.4
	"4 years"	"4"	"2010"	"2010"	380	2544781	14.9
	"4 years"	"4"	"2011"	"2011"	392	2587355	15.2
	"4 years"	"4"	"2012"	"2012"	409	2582748	15.8
	"4 years"	"4"	"2013"	"2013"	403	2509249	16.1
	"4 years"	"4"	"2014"	"2014"	386	2522059	15.3
	"4 years"	"4"	"2015"	"2015"	338	2545503	13.3
	"4 years"	"4"	"2016"	"2016"	398	2513149	15.8
	"4 years"	"4"	"2017"	"2017"	355	2520402	14.1
	"4 years"	"4"	"2018"	"2018"	328	2531212	13.0
	"4 years"	"4"	"2019"	"2019"	336	2545274	13.2
	"5 years"	"5"	"1999"	"1999"	458	2503635	18.3
	"5 years"	"5"	"2000"	"2000"	443	2481180	17.9
	"5 years"	"5"	"2001"	"2001"	399	2447205	16.3
	"5 years"	"5"	"2002"	"2002"	406	2397962	16.9
	"5 years"	"5"	"2003"	"2003"	397	2375184	16.7
	"5 years"	"5"	"2004"	"2004"	401	2373266	16.9
	"5 years"	"5"	"2005"	"2005"	348	2413026	14.4
	"5 years"	"5"	"2006"	"2006"	394	2511344	15.7
	"5 years"	"5"	"2007"	"2007"	361	2482329	14.5
	"5 years"	"5"	"2008"	"2008"	354	2514377	14.1
	"5 years"	"5"	"2009"	"2009"	364	2553355	14.3
	"5 years"	"5"	"2010"	"2010"	287	2543968	11.3
	"5 years"	"5"	"2011"	"2011"	335	2563338	13.1
	"5 years"	"5"	"2012"	"2012"	339	2592212	13.1
	"5 years"	"5"	"2013"	"2013"	339	2588496	13.1
	"5 years"	"5"	"2014"	"2014"	310	2517784	12.3
	"5 years"	"5"	"2015"	"2015"	289	2533382	11.4
	"5 years"	"5"	"2016"	"2016"	313	2551834	12.3
	"5 years"	"5"	"2017"	"2017"	302	2519980	12.0
	"5 years"	"5"	"2018"	"2018"	305	2527342	12.1
	"5 years"	"5"	"2019"	"2019"	319	2533794	12.6
	"6 years"	"6"	"1999"	"1999"	392	2529856	15.5
	"6 years"	"6"	"2000"	"2000"	400	2514202	15.9
	"6 years"	"6"	"2001"	"2001"	397	2483507	16.0
	"6 years"	"6"	"2002"	"2002"	349	2445654	14.3
	"6 years"	"6"	"2003"	"2003"	355	2394166	14.8
	"6 years"	"6"	"2004"	"2004"	358	2369025	15.1
	"6 years"	"6"	"2005"	"2005"	366	2365359	15.5
	"6 years"	"6"	"2006"	"2006"	312	2405297	13.0
	"6 years"	"6"	"2007"	"2007"	341	2504153	13.6
	"6 years"	"6"	"2008"	"2008"	306	2476382	12.4
	"6 years"	"6"	"2009"	"2009"	320	2509115	12.8
	"6 years"	"6"	"2010"	"2010"	291	2545455	11.4
	"6 years"	"6"	"2011"	"2011"	300	2559593	11.7
	"6 years"	"6"	"2012"	"2012"	283	2568993	11.0
	"6 years"	"6"	"2013"	"2013"	292	2598341	11.2
	"6 years"	"6"	"2014"	"2014"	278	2596783	10.7
	"6 years"	"6"	"2015"	"2015"	307	2526991	12.1
	"6 years"	"6"	"2016"	"2016"	297	2539974	11.7
	"6 years"	"6"	"2017"	"2017"	273	2557404	10.7
	"6 years"	"6"	"2018"	"2018"	285	2525285	11.3
	"6 years"	"6"	"2019"	"2019"	291	2529203	11.5
	"7 years"	"7"	"1999"	"1999"	423	2607266	16.2
	"7 years"	"7"	"2000"	"2000"	391	2574182	15.2
	"7 years"	"7"	"2001"	"2001"	356	2508656	14.2
	"7 years"	"7"	"2002"	"2002"	331	2489001	13.3
	"7 years"	"7"	"2003"	"2003"	350	2451409	14.3
	"7 years"	"7"	"2004"	"2004"	311	2401669	12.9
	"7 years"	"7"	"2005"	"2005"	330	2378474	13.9
	"7 years"	"7"	"2006"	"2006"	303	2378753	12.7
	"7 years"	"7"	"2007"	"2007"	327	2424505	13.5
	"7 years"	"7"	"2008"	"2008"	298	2529209	11.8
	"7 years"	"7"	"2009"	"2009"	265	2503985	10.6
	"7 years"	"7"	"2010"	"2010"	279	2524509	11.1
	"7 years"	"7"	"2011"	"2011"	262	2560786	10.2
	"7 years"	"7"	"2012"	"2012"	265	2564633	10.3
	"7 years"	"7"	"2013"	"2013"	256	2575110	9.9
	"7 years"	"7"	"2014"	"2014"	281	2605902	10.8
	"7 years"	"7"	"2015"	"2015"	274	2605371	10.5
	"7 years"	"7"	"2016"	"2016"	307	2533378	12.1
	"7 years"	"7"	"2017"	"2017"	299	2545694	11.7
	"7 years"	"7"	"2018"	"2018"	244	2562642	9.5
	"7 years"	"7"	"2019"	"2019"	256	2527932	10.1
	"8 years"	"8"	"1999"	"1999"	420	2607340	16.1
	"8 years"	"8"	"2000"	"2000"	380	2610079	14.6
	"8 years"	"8"	"2001"	"2001"	353	2561823	13.8
	"8 years"	"8"	"2002"	"2002"	371	2512342	14.8
	"8 years"	"8"	"2003"	"2003"	342	2492723	13.7
	"8 years"	"8"	"2004"	"2004"	308	2454100	12.6
	"8 years"	"8"	"2005"	"2005"	287	2404877	11.9
	"8 years"	"8"	"2006"	"2006"	291	2384042	12.2
	"8 years"	"8"	"2007"	"2007"	303	2387714	12.7
	"8 years"	"8"	"2008"	"2008"	294	2436670	12.1
	"8 years"	"8"	"2009"	"2009"	264	2543196	10.4
	"8 years"	"8"	"2010"	"2010"	247	2523473	9.8
	"8 years"	"8"	"2011"	"2011"	284	2540877	11.2
	"8 years"	"8"	"2012"	"2012"	245	2566162	9.5
	"8 years"	"8"	"2013"	"2013"	278	2568999	10.8
	"8 years"	"8"	"2014"	"2014"	260	2582501	10.1
	"8 years"	"8"	"2015"	"2015"	280	2614538	10.7
	"8 years"	"8"	"2016"	"2016"	304	2611589	11.6
	"8 years"	"8"	"2017"	"2017"	246	2538931	9.7
	"8 years"	"8"	"2018"	"2018"	266	2550651	10.4
	"8 years"	"8"	"2019"	"2019"	262	2565408	10.2
	"9 years"	"9"	"1999"	"1999"	379	2627249	14.4
	"9 years"	"9"	"2000"	"2000"	365	2659889	13.7
	"9 years"	"9"	"2001"	"2001"	362	2610989	13.9
	"9 years"	"9"	"2002"	"2002"	358	2572853	13.9
	"9 years"	"9"	"2003"	"2003"	328	2524862	13.0
	"9 years"	"9"	"2004"	"2004"	357	2507556	14.2
	"9 years"	"9"	"2005"	"2005"	320	2472386	12.9
	"9 years"	"9"	"2006"	"2006"	286	2427207	11.8
	"9 years"	"9"	"2007"	"2007"	290	2412146	12.0
	"9 years"	"9"	"2008"	"2008"	277	2421645	11.4
	"9 years"	"9"	"2009"	"2009"	308	2475761	12.4
	"9 years"	"9"	"2010"	"2010"	258	2582273	10.0
	"9 years"	"9"	"2011"	"2011"	263	2518919	10.4
	"9 years"	"9"	"2012"	"2012"	266	2546921	10.4
	"9 years"	"9"	"2013"	"2013"	253	2572351	9.8
	"9 years"	"9"	"2014"	"2014"	278	2576541	10.8
	"9 years"	"9"	"2015"	"2015"	247	2590933	9.5
	"9 years"	"9"	"2016"	"2016"	278	2620564	10.6
