"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	16015	2377658	673.6
	"< 1 year"	"0"	"2000"	"2000"	16069	2381217	674.8
	"< 1 year"	"0"	"2001"	"2001"	16008	2520298	635.2
	"< 1 year"	"0"	"2002"	"2002"	16341	2491569	655.9
	"< 1 year"	"0"	"2003"	"2003"	16246	2515649	645.8
	"< 1 year"	"0"	"2004"	"2004"	16317	2533974	643.9
	"< 1 year"	"0"	"2005"	"2005"	16484	2525999	652.6
	"< 1 year"	"0"	"2006"	"2006"	16529	2539055	651.0
	"< 1 year"	"0"	"2007"	"2007"	16949	2609921	649.4
	"< 1 year"	"0"	"2008"	"2008"	16459	2605748	631.6
	"< 1 year"	"0"	"2009"	"2009"	15319	2525240	606.6
	"< 1 year"	"0"	"2010"	"2010"	14229	2488405	571.8
	"< 1 year"	"0"	"2011"	"2011"	13942	2534935	550.0
	"< 1 year"	"0"	"2012"	"2012"	13697	2504430	546.9
	"< 1 year"	"0"	"2013"	"2013"	13790	2500803	551.4
	"< 1 year"	"0"	"2014"	"2014"	13524	2506963	539.5
	"< 1 year"	"0"	"2015"	"2015"	13691	2522692	542.7
	"< 1 year"	"0"	"2016"	"2016"	13305	2518242	528.3
	"< 1 year"	"0"	"2017"	"2017"	12869	2496105	515.6
	"< 1 year"	"0"	"2018"	"2018"	12338	2436575	506.4
	"< 1 year"	"0"	"2019"	"2019"	12076	2384219	506.5
	"1 year"	"1"	"1999"	"1999"	1149	2366486	48.6
	"1 year"	"1"	"2000"	"2000"	1141	2388005	47.8
	"1 year"	"1"	"2001"	"2001"	1206	2415141	49.9
	"1 year"	"1"	"2002"	"2002"	1134	2513095	45.1
	"1 year"	"1"	"2003"	"2003"	1112	2478048	44.9
	"1 year"	"1"	"2004"	"2004"	1174	2495805	47.0
	"1 year"	"1"	"2005"	"2005"	1128	2511987	44.9
	"1 year"	"1"	"2006"	"2006"	1085	2501328	43.4
	"1 year"	"1"	"2007"	"2007"	1118	2511435	44.5
	"1 year"	"1"	"2008"	"2008"	1181	2579843	45.8
	"1 year"	"1"	"2009"	"2009"	1007	2571032	39.2
	"1 year"	"1"	"2010"	"2010"	1046	2506302	41.7
	"1 year"	"1"	"2011"	"2011"	975	2508677	38.9
	"1 year"	"1"	"2012"	"2012"	959	2526975	38.0
	"1 year"	"1"	"2013"	"2013"	983	2503477	39.3
	"1 year"	"1"	"2014"	"2014"	872	2515328	34.7
	"1 year"	"1"	"2015"	"2015"	934	2514002	37.2
	"1 year"	"1"	"2016"	"2016"	919	2530279	36.3
	"1 year"	"1"	"2017"	"2017"	853	2511711	34.0
	"1 year"	"1"	"2018"	"2018"	852	2471330	34.5
	"1 year"	"1"	"2019"	"2019"	839	2406186	34.9
	"2 years"	"2"	"1999"	"1999"	794	2368449	33.5
	"2 years"	"2"	"2000"	"2000"	791	2371401	33.4
	"2 years"	"2"	"2001"	"2001"	794	2375518	33.4
	"2 years"	"2"	"2002"	"2002"	783	2413849	32.4
	"2 years"	"2"	"2003"	"2003"	796	2508579	31.7
	"2 years"	"2"	"2004"	"2004"	698	2471230	28.2
	"2 years"	"2"	"2005"	"2005"	758	2488749	30.5
	"2 years"	"2"	"2006"	"2006"	729	2509988	29.0
	"2 years"	"2"	"2007"	"2007"	704	2500645	28.2
	"2 years"	"2"	"2008"	"2008"	688	2511213	27.4
	"2 years"	"2"	"2009"	"2009"	655	2581141	25.4
	"2 years"	"2"	"2010"	"2010"	634	2580258	24.6
	"2 years"	"2"	"2011"	"2011"	614	2504803	24.5
	"2 years"	"2"	"2012"	"2012"	623	2513254	24.8
	"2 years"	"2"	"2013"	"2013"	594	2534261	23.4
	"2 years"	"2"	"2014"	"2014"	581	2503549	23.2
	"2 years"	"2"	"2015"	"2015"	601	2515144	23.9
	"2 years"	"2"	"2016"	"2016"	604	2524146	23.9
	"2 years"	"2"	"2017"	"2017"	550	2544488	21.6
	"2 years"	"2"	"2018"	"2018"	603	2518245	23.9
	"2 years"	"2"	"2019"	"2019"	536	2471380	21.7
	"3 years"	"3"	"1999"	"1999"	615	2409361	25.5
	"3 years"	"3"	"2000"	"2000"	529	2409031	22.0
	"3 years"	"3"	"2001"	"2001"	594	2378069	25.0
	"3 years"	"3"	"2002"	"2002"	541	2376044	22.8
	"3 years"	"3"	"2003"	"2003"	598	2414180	24.8
	"3 years"	"3"	"2004"	"2004"	533	2508249	21.2
	"3 years"	"3"	"2005"	"2005"	534	2471217	21.6
	"3 years"	"3"	"2006"	"2006"	501	2493539	20.1
	"3 years"	"3"	"2007"	"2007"	530	2521095	21.0
	"3 years"	"3"	"2008"	"2008"	515	2514648	20.5
	"3 years"	"3"	"2009"	"2009"	525	2526021	20.8
	"3 years"	"3"	"2010"	"2010"	474	2590672	18.3
	"3 years"	"3"	"2011"	"2011"	509	2585526	19.7
	"3 years"	"3"	"2012"	"2012"	486	2510960	19.4
	"3 years"	"3"	"2013"	"2013"	453	2520076	18.0
	"3 years"	"3"	"2014"	"2014"	428	2544624	16.8
	"3 years"	"3"	"2015"	"2015"	460	2513680	18.3
	"3 years"	"3"	"2016"	"2016"	461	2521520	18.3
	"3 years"	"3"	"2017"	"2017"	447	2532173	17.7
	"3 years"	"3"	"2018"	"2018"	442	2550932	17.3
	"3 years"	"3"	"2019"	"2019"	426	2520634	16.9
	"4 years"	"4"	"1999"	"1999"	503	2485260	20.2
	"4 years"	"4"	"2000"	"2000"	482	2468454	19.5
	"4 years"	"4"	"2001"	"2001"	507	2403970	21.1
	"4 years"	"4"	"2002"	"2002"	478	2382546	20.1
	"4 years"	"4"	"2003"	"2003"	446	2381054	18.7
	"4 years"	"4"	"2004"	"2004"	443	2420772	18.3
	"4 years"	"4"	"2005"	"2005"	412	2516931	16.4
	"4 years"	"4"	"2006"	"2006"	433	2483888	17.4
	"4 years"	"4"	"2007"	"2007"	453	2512706	18.0
	"4 years"	"4"	"2008"	"2008"	429	2548122	16.8
	"4 years"	"4"	"2009"	"2009"	391	2543777	15.4
	"4 years"	"4"	"2010"	"2010"	383	2552801	15.0
	"4 years"	"4"	"2011"	"2011"	392	2595681	15.1
	"4 years"	"4"	"2012"	"2012"	410	2590767	15.8
	"4 years"	"4"	"2013"	"2013"	405	2517334	16.1
	"4 years"	"4"	"2014"	"2014"	386	2529946	15.3
	"4 years"	"4"	"2015"	"2015"	339	2553546	13.3
	"4 years"	"4"	"2016"	"2016"	400	2521368	15.9
	"4 years"	"4"	"2017"	"2017"	355	2528602	14.0
	"4 years"	"4"	"2018"	"2018"	330	2539525	13.0
	"4 years"	"4"	"2019"	"2019"	337	2553546	13.2
	"5 years"	"5"	"1999"	"1999"	460	2512896	18.3
	"5 years"	"5"	"2000"	"2000"	445	2490223	17.9
	"5 years"	"5"	"2001"	"2001"	403	2455990	16.4
	"5 years"	"5"	"2002"	"2002"	406	2406431	16.9
	"5 years"	"5"	"2003"	"2003"	395	2383455	16.6
	"5 years"	"5"	"2004"	"2004"	403	2381403	16.9
	"5 years"	"5"	"2005"	"2005"	350	2421369	14.5
	"5 years"	"5"	"2006"	"2006"	396	2519460	15.7
	"5 years"	"5"	"2007"	"2007"	363	2490186	14.6
	"5 years"	"5"	"2008"	"2008"	354	2522318	14.0
	"5 years"	"5"	"2009"	"2009"	366	2561886	14.3
	"5 years"	"5"	"2010"	"2010"	287	2551974	11.2
	"5 years"	"5"	"2011"	"2011"	334	2571248	13.0
	"5 years"	"5"	"2012"	"2012"	341	2600561	13.1
	"5 years"	"5"	"2013"	"2013"	339	2596726	13.1
	"5 years"	"5"	"2014"	"2014"	312	2525902	12.4
	"5 years"	"5"	"2015"	"2015"	288	2541304	11.3
	"5 years"	"5"	"2016"	"2016"	315	2559939	12.3
	"5 years"	"5"	"2017"	"2017"	304	2528249	12.0
	"5 years"	"5"	"2018"	"2018"	304	2535595	12.0
	"5 years"	"5"	"2019"	"2019"	317	2542171	12.5
	"6 years"	"6"	"1999"	"1999"	394	2539185	15.5
	"6 years"	"6"	"2000"	"2000"	403	2523377	16.0
	"6 years"	"6"	"2001"	"2001"	397	2492464	15.9
	"6 years"	"6"	"2002"	"2002"	350	2454301	14.3
	"6 years"	"6"	"2003"	"2003"	355	2402417	14.8
	"6 years"	"6"	"2004"	"2004"	358	2377033	15.1
	"6 years"	"6"	"2005"	"2005"	370	2373323	15.6
	"6 years"	"6"	"2006"	"2006"	313	2413482	13.0
	"6 years"	"6"	"2007"	"2007"	344	2512130	13.7
	"6 years"	"6"	"2008"	"2008"	306	2484023	12.3
	"6 years"	"6"	"2009"	"2009"	320	2516972	12.7
	"6 years"	"6"	"2010"	"2010"	291	2553764	11.4
	"6 years"	"6"	"2011"	"2011"	301	2567500	11.7
	"6 years"	"6"	"2012"	"2012"	285	2576878	11.1
	"6 years"	"6"	"2013"	"2013"	294	2606782	11.3
	"6 years"	"6"	"2014"	"2014"	283	2605116	10.9
	"6 years"	"6"	"2015"	"2015"	312	2535210	12.3
	"6 years"	"6"	"2016"	"2016"	300	2547989	11.8
	"6 years"	"6"	"2017"	"2017"	273	2565571	10.6
	"6 years"	"6"	"2018"	"2018"	286	2533574	11.3
	"6 years"	"6"	"2019"	"2019"	293	2537533	11.5
	"7 years"	"7"	"1999"	"1999"	426	2617002	16.3
	"7 years"	"7"	"2000"	"2000"	392	2583747	15.2
	"7 years"	"7"	"2001"	"2001"	357	2517718	14.2
	"7 years"	"7"	"2002"	"2002"	329	2497845	13.2
	"7 years"	"7"	"2003"	"2003"	353	2460113	14.3
	"7 years"	"7"	"2004"	"2004"	312	2409991	12.9
	"7 years"	"7"	"2005"	"2005"	331	2386611	13.9
	"7 years"	"7"	"2006"	"2006"	303	2386910	12.7
	"7 years"	"7"	"2007"	"2007"	330	2432907	13.6
	"7 years"	"7"	"2008"	"2008"	299	2537507	11.8
	"7 years"	"7"	"2009"	"2009"	266	2512049	10.6
	"7 years"	"7"	"2010"	"2010"	279	2532672	11.0
	"7 years"	"7"	"2011"	"2011"	262	2568996	10.2
	"7 years"	"7"	"2012"	"2012"	265	2572531	10.3
	"7 years"	"7"	"2013"	"2013"	257	2583212	9.9
	"7 years"	"7"	"2014"	"2014"	283	2614365	10.8
	"7 years"	"7"	"2015"	"2015"	276	2613753	10.6
	"7 years"	"7"	"2016"	"2016"	307	2541440	12.1
	"7 years"	"7"	"2017"	"2017"	300	2553656	11.7
	"7 years"	"7"	"2018"	"2018"	244	2570898	9.5
	"7 years"	"7"	"2019"	"2019"	258	2536228	10.2
	"8 years"	"8"	"1999"	"1999"	421	2617366	16.1
	"8 years"	"8"	"2000"	"2000"	380	2619970	14.5
	"8 years"	"8"	"2001"	"2001"	354	2571247	13.8
	"8 years"	"8"	"2002"	"2002"	371	2521252	14.7
	"8 years"	"8"	"2003"	"2003"	343	2501446	13.7
	"8 years"	"8"	"2004"	"2004"	310	2462668	12.6
	"8 years"	"8"	"2005"	"2005"	288	2413058	11.9
	"8 years"	"8"	"2006"	"2006"	290	2392091	12.1
	"8 years"	"8"	"2007"	"2007"	304	2395758	12.7
	"8 years"	"8"	"2008"	"2008"	295	2445113	12.1
	"8 years"	"8"	"2009"	"2009"	266	2551584	10.4
	"8 years"	"8"	"2010"	"2010"	249	2531612	9.8
	"8 years"	"8"	"2011"	"2011"	286	2549034	11.2
	"8 years"	"8"	"2012"	"2012"	245	2574353	9.5
	"8 years"	"8"	"2013"	"2013"	279	2576927	10.8
	"8 years"	"8"	"2014"	"2014"	260	2590589	10.0
	"8 years"	"8"	"2015"	"2015"	280	2623007	10.7
	"8 years"	"8"	"2016"	"2016"	305	2619966	11.6
	"8 years"	"8"	"2017"	"2017"	249	2547025	9.8
	"8 years"	"8"	"2018"	"2018"	268	2558644	10.5
	"8 years"	"8"	"2019"	"2019"	262	2573693	10.2
	"9 years"	"9"	"1999"	"1999"	378	2637501	14.3
	"9 years"	"9"	"2000"	"2000"	364	2670169	13.6
	"9 years"	"9"	"2001"	"2001"	366	2620705	14.0
	"9 years"	"9"	"2002"	"2002"	360	2582120	13.9
	"9 years"	"9"	"2003"	"2003"	329	2533733	13.0
	"9 years"	"9"	"2004"	"2004"	357	2516234	14.2
	"9 years"	"9"	"2005"	"2005"	320	2480869	12.9
	"9 years"	"9"	"2006"	"2006"	288	2435296	11.8
	"9 years"	"9"	"2007"	"2007"	289	2420111	11.9
	"9 years"	"9"	"2008"	"2008"	280	2429684	11.5
	"9 years"	"9"	"2009"	"2009"	309	2484230	12.4
	"9 years"	"9"	"2010"	"2010"	259	2590691	10.0
	"9 years"	"9"	"2011"	"2011"	264	2526934	10.4
	"9 years"	"9"	"2012"	"2012"	267	2555040	10.4
	"9 years"	"9"	"2013"	"2013"	254	2580608	9.8
	"9 years"	"9"	"2014"	"2014"	278	2584552	10.8
	"9 years"	"9"	"2015"	"2015"	247	2599139	9.5
	"9 years"	"9"	"2016"	"2016"	278	2629065	10.6
	"9 years"	"9"	"2017"	"2017"	243	2627802	9.2
	"9 years"	"9"	"2018"	"2018"	267	2551734	10.5
	"9 years"	"9"	"2019"	"2019"	252	2561843	9.8
	"10 years"	"10"	"1999"	"1999"	411	2585342	15.9
	"10 years"	"10"	"2000"	"2000"	366	2669817	13.7
	"10 years"	"10"	"2001"	"2001"	393	2676997	14.7
	"10 years"	"10"	"2002"	"2002"	383	2660954	14.4
	"10 years"	"10"	"2003"	"2003"	409	2636052	15.5
	"10 years"	"10"	"2004"	"2004"	349	2601169	13.4
	"10 years"	"10"	"2005"	"2005"	305	2597771	11.7
	"10 years"	"10"	"2006"	"2006"	319	2577594	12.4
	"10 years"	"10"	"2007"	"2007"	338	2547641	13.3
