"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15932	2373557	671.2
	"< 1 year"	"0"	"2000"	"2000"	16010	2377175	673.5
	"< 1 year"	"0"	"2001"	"2001"	15951	2516165	633.9
	"< 1 year"	"0"	"2002"	"2002"	16288	2487922	654.7
	"< 1 year"	"0"	"2003"	"2003"	16188	2511681	644.5
	"< 1 year"	"0"	"2004"	"2004"	16241	2530232	641.9
	"< 1 year"	"0"	"2005"	"2005"	16334	2522428	647.6
	"< 1 year"	"0"	"2006"	"2006"	16467	2535490	649.5
	"< 1 year"	"0"	"2007"	"2007"	16872	2606314	647.4
	"< 1 year"	"0"	"2008"	"2008"	16381	2602237	629.5
	"< 1 year"	"0"	"2009"	"2009"	15262	2521515	605.3
	"< 1 year"	"0"	"2010"	"2010"	14165	2484560	570.1
	"< 1 year"	"0"	"2011"	"2011"	13879	2530745	548.4
	"< 1 year"	"0"	"2012"	"2012"	13654	2500293	546.1
	"< 1 year"	"0"	"2013"	"2013"	13755	2496310	551.0
	"< 1 year"	"0"	"2014"	"2014"	13467	2502696	538.1
	"< 1 year"	"0"	"2015"	"2015"	13642	2518409	541.7
	"< 1 year"	"0"	"2016"	"2016"	13251	2513731	527.1
	"< 1 year"	"0"	"2017"	"2017"	12823	2491910	514.6
	"< 1 year"	"0"	"2018"	"2018"	12290	2432539	505.2
	"< 1 year"	"0"	"2019"	"2019"	12035	2380104	505.7
	"1 year"	"1"	"1999"	"1999"	1149	2362645	48.6
	"1 year"	"1"	"2000"	"2000"	1137	2384271	47.7
	"1 year"	"1"	"2001"	"2001"	1203	2411320	49.9
	"1 year"	"1"	"2002"	"2002"	1131	2509223	45.1
	"1 year"	"1"	"2003"	"2003"	1107	2474543	44.7
	"1 year"	"1"	"2004"	"2004"	1167	2491908	46.8
	"1 year"	"1"	"2005"	"2005"	1126	2507966	44.9
	"1 year"	"1"	"2006"	"2006"	1080	2497558	43.2
	"1 year"	"1"	"2007"	"2007"	1112	2507331	44.3
	"1 year"	"1"	"2008"	"2008"	1180	2575956	45.8
	"1 year"	"1"	"2009"	"2009"	999	2567019	38.9
	"1 year"	"1"	"2010"	"2010"	1042	2502131	41.6
	"1 year"	"1"	"2011"	"2011"	974	2504787	38.9
	"1 year"	"1"	"2012"	"2012"	955	2522709	37.9
	"1 year"	"1"	"2013"	"2013"	982	2499073	39.3
	"1 year"	"1"	"2014"	"2014"	867	2511051	34.5
	"1 year"	"1"	"2015"	"2015"	933	2509834	37.2
	"1 year"	"1"	"2016"	"2016"	919	2525945	36.4
	"1 year"	"1"	"2017"	"2017"	852	2507816	34.0
	"1 year"	"1"	"2018"	"2018"	852	2467346	34.5
	"1 year"	"1"	"2019"	"2019"	835	2402219	34.8
	"2 years"	"2"	"1999"	"1999"	793	2364561	33.5
	"2 years"	"2"	"2000"	"2000"	790	2367676	33.4
	"2 years"	"2"	"2001"	"2001"	794	2372047	33.5
	"2 years"	"2"	"2002"	"2002"	782	2410176	32.4
	"2 years"	"2"	"2003"	"2003"	793	2504933	31.7
	"2 years"	"2"	"2004"	"2004"	695	2467932	28.2
	"2 years"	"2"	"2005"	"2005"	756	2485051	30.4
	"2 years"	"2"	"2006"	"2006"	728	2505939	29.1
	"2 years"	"2"	"2007"	"2007"	702	2496996	28.1
	"2 years"	"2"	"2008"	"2008"	685	2507185	27.3
	"2 years"	"2"	"2009"	"2009"	656	2577119	25.5
	"2 years"	"2"	"2010"	"2010"	631	2576227	24.5
	"2 years"	"2"	"2011"	"2011"	610	2500647	24.4
	"2 years"	"2"	"2012"	"2012"	623	2509428	24.8
	"2 years"	"2"	"2013"	"2013"	593	2530047	23.4
	"2 years"	"2"	"2014"	"2014"	580	2499338	23.2
	"2 years"	"2"	"2015"	"2015"	605	2510927	24.1
	"2 years"	"2"	"2016"	"2016"	603	2519790	23.9
	"2 years"	"2"	"2017"	"2017"	548	2540175	21.6
	"2 years"	"2"	"2018"	"2018"	596	2514161	23.7
	"2 years"	"2"	"2019"	"2019"	535	2467443	21.7
	"3 years"	"3"	"1999"	"1999"	617	2405260	25.7
	"3 years"	"3"	"2000"	"2000"	528	2405081	22.0
	"3 years"	"3"	"2001"	"2001"	597	2374452	25.1
	"3 years"	"3"	"2002"	"2002"	537	2372708	22.6
	"3 years"	"3"	"2003"	"2003"	602	2410575	25.0
	"3 years"	"3"	"2004"	"2004"	532	2504767	21.2
	"3 years"	"3"	"2005"	"2005"	533	2468050	21.6
	"3 years"	"3"	"2006"	"2006"	500	2489926	20.1
	"3 years"	"3"	"2007"	"2007"	530	2516937	21.1
	"3 years"	"3"	"2008"	"2008"	516	2511027	20.5
	"3 years"	"3"	"2009"	"2009"	525	2521997	20.8
	"3 years"	"3"	"2010"	"2010"	474	2586663	18.3
	"3 years"	"3"	"2011"	"2011"	507	2581557	19.6
	"3 years"	"3"	"2012"	"2012"	487	2506895	19.4
	"3 years"	"3"	"2013"	"2013"	452	2516293	18.0
	"3 years"	"3"	"2014"	"2014"	425	2540478	16.7
	"3 years"	"3"	"2015"	"2015"	461	2509501	18.4
	"3 years"	"3"	"2016"	"2016"	461	2517437	18.3
	"3 years"	"3"	"2017"	"2017"	447	2527973	17.7
	"3 years"	"3"	"2018"	"2018"	442	2546721	17.4
	"3 years"	"3"	"2019"	"2019"	427	2516669	17.0
	"4 years"	"4"	"1999"	"1999"	503	2481084	20.3
	"4 years"	"4"	"2000"	"2000"	482	2464411	19.6
	"4 years"	"4"	"2001"	"2001"	504	2400122	21.0
