"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15945	2375062	671.4
	"< 1 year"	"0"	"2000"	"2000"	16020	2378852	673.4
	"< 1 year"	"0"	"2001"	"2001"	15943	2519109	632.9
	"< 1 year"	"0"	"2002"	"2002"	16286	2491361	653.7
	"< 1 year"	"0"	"2003"	"2003"	16202	2515451	644.1
	"< 1 year"	"0"	"2004"	"2004"	16273	2534424	642.1
	"< 1 year"	"0"	"2005"	"2005"	16378	2527056	648.1
	"< 1 year"	"0"	"2006"	"2006"	16502	2540970	649.4
	"< 1 year"	"0"	"2007"	"2007"	16918	2611877	647.7
	"< 1 year"	"0"	"2008"	"2008"	16408	2607933	629.2
	"< 1 year"	"0"	"2009"	"2009"	15304	2527136	605.6
	"< 1 year"	"0"	"2010"	"2010"	14184	2490411	569.5
	"< 1 year"	"0"	"2011"	"2011"	13913	2536664	548.5
	"< 1 year"	"0"	"2012"	"2012"	13687	2506391	546.1
	"< 1 year"	"0"	"2013"	"2013"	13758	2502448	549.8
	"< 1 year"	"0"	"2014"	"2014"	13486	2508740	537.6
	"< 1 year"	"0"	"2015"	"2015"	13664	2524757	541.2
	"< 1 year"	"0"	"2016"	"2016"	13278	2520293	526.8
	"< 1 year"	"0"	"2017"	"2017"	12842	2498524	514.0
	"< 1 year"	"0"	"2018"	"2018"	12313	2438933	504.9
	"< 1 year"	"0"	"2019"	"2019"	12052	2386324	505.0
	"1 year"	"1"	"1999"	"1999"	1148	2363811	48.6
	"1 year"	"1"	"2000"	"2000"	1134	2385885	47.5
	"1 year"	"1"	"2001"	"2001"	1201	2413559	49.8
	"1 year"	"1"	"2002"	"2002"	1130	2512453	45.0
	"1 year"	"1"	"2003"	"2003"	1109	2478209	44.8
	"1 year"	"1"	"2004"	"2004"	1170	2496119	46.9
	"1 year"	"1"	"2005"	"2005"	1129	2512853	44.9
	"1 year"	"1"	"2006"	"2006"	1080	2502888	43.2
	"1 year"	"1"	"2007"	"2007"	1114	2513725	44.3
	"1 year"	"1"	"2008"	"2008"	1185	2582297	45.9
	"1 year"	"1"	"2009"	"2009"	1003	2573317	39.0
	"1 year"	"1"	"2010"	"2010"	1044	2508303	41.6
	"1 year"	"1"	"2011"	"2011"	978	2511021	38.9
	"1 year"	"1"	"2012"	"2012"	958	2528843	37.9
	"1 year"	"1"	"2013"	"2013"	981	2505152	39.2
	"1 year"	"1"	"2014"	"2014"	867	2517277	34.4
	"1 year"	"1"	"2015"	"2015"	935	2516266	37.2
	"1 year"	"1"	"2016"	"2016"	915	2532701	36.1
	"1 year"	"1"	"2017"	"2017"	849	2514643	33.8
	"1 year"	"1"	"2018"	"2018"	856	2473963	34.6
	"1 year"	"1"	"2019"	"2019"	836	2408896	34.7
	"2 years"	"2"	"1999"	"1999"	794	2365694	33.6
	"2 years"	"2"	"2000"	"2000"	791	2369342	33.4
	"2 years"	"2"	"2001"	"2001"	794	2374183	33.4
	"2 years"	"2"	"2002"	"2002"	784	2412681	32.5
	"2 years"	"2"	"2003"	"2003"	791	2508511	31.5
	"2 years"	"2"	"2004"	"2004"	693	2471958	28.0
	"2 years"	"2"	"2005"	"2005"	758	2489678	30.4
	"2 years"	"2"	"2006"	"2006"	730	2511395	29.1
	"2 years"	"2"	"2007"	"2007"	703	2502934	28.1
	"2 years"	"2"	"2008"	"2008"	689	2514067	27.4
	"2 years"	"2"	"2009"	"2009"	655	2583682	25.4
	"2 years"	"2"	"2010"	"2010"	634	2582711	24.5
	"2 years"	"2"	"2011"	"2011"	612	2507071	24.4
