"GEO_ID","NAME","B20017I_001E","B20017I_001M","B20017I_002E","B20017I_002M","B20017I_003E","B20017I_003M","B20017I_004E","B20017I_004M","B20017I_005E","B20017I_005M","B20017I_006E","B20017I_006M","B20017I_007E","B20017I_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US01103","Morgan County, Alabama","27863","2581","27832","4067","29933","13738","-","**","27882","13486","28617","2947","5203","1932"
"0500000US01115","St. Clair County, Alabama","26044","3342","26442","7829","26335","980","-","**","-","**","-","**","-","**"
"0500000US01117","Shelby County, Alabama","19714","2406","20941","3045","25369","20290","18413","11777","12328","6971","15303","13210","11310","11392"
"0500000US01125","Tuscaloosa County, Alabama","20858","6753","21812","7865","24361","26580","5930","1332","19922","9494","23258","2042","2530","3387"
"0500000US02020","Anchorage Municipality, Alaska","34574","6782","47709","18742","56721","8808","9901","7928","29287","8384","35529","5975","10838","7404"
"0500000US02090","Fairbanks North Star Borough, Alaska","34444","11453","51244","28981","65517","25617","16604","22193","19784","7340","40601","13468","18166","2158"
"0500000US02170","Matanuska-Susitna Borough, Alaska","35443","9285","46948","12055","48740","5261","25703","24360","23678","10370","31579","7473","11262","7781"
"0500000US04001","Apache County, Arizona","31408","6252","31487","10378","36326","8003","16971","15464","31363","29667","31500","19917","17219","121462"
"0500000US04003","Cochise County, Arizona","23304","3016","30281","5794","36291","3773","6626","4554","15159","3597","27564","5555","10110","2701"
"0500000US04005","Coconino County, Arizona","19426","4446","22820","8287","30295","8109","7697","5076","15902","11751","29511","11698","4897","1459"
"0500000US04013","Maricopa County, Arizona","27782","783","30880","440","35669","654","12361","902","24050","1214","32010","511","11198","464"
"0500000US04015","Mohave County, Arizona","25040","3077","25761","6744","35905","4492","17702","7630","24109","3831","27318","5488","15010","7705"
"0500000US04017","Navajo County, Arizona","23243","6898","27603","5929","40462","15520","25342","22519","15181","15500","30250","17163","9821","9167"
"0500000US04019","Pima County, Arizona","25789","746","28498","1937","36199","1139","11255","1288","22645","1262","31647","1116","10506","805"
"0500000US04021","Pinal County, Arizona","28109","3371","31873","3527","42063","7213","10467","3016","23116","4661","35260","3098","10647","3754"
"0500000US04025","Yavapai County, Arizona","23965","2211","23948","1931","31719","9167","19523","5789","24001","4554","30915","5240","13402","5151"
"0500000US04027","Yuma County, Arizona","25209","2444","30735","1663","35365","2811","15554","3334","20102","2152","31030","2048","10830","998"
"0500000US05007","Benton County, Arkansas","28776","2603","31233","1549","31898","2419","20206","9390","25951","1353","27712","2826","14126","3222"
"0500000US05031","Craighead County, Arkansas","25023","10001","31692","8293","43565","17629","16467","5449","9664","11805","25143","14393","8113","1758"
"0500000US05045","Faulkner County, Arkansas","25482","8585","38580","20369","40506","13217","3472","817","16207","8603","17074","11235","4516","16192"
"0500000US05051","Garland County, Arkansas","22073","3371","24038","7495","25099","7821","16056","9318","21253","3942","22228","14907","5842","5310"
"0500000US05085","Lonoke County, Arkansas","23607","11633","22386","49988","59081","77433","16056","15368","23891","7025","23582","1851","29798","19066"
"0500000US05119","Pulaski County, Arkansas","26466","7997","32454","6317","40164","12453","20366","12314","16169","3638","19515","3090","10669","3812"
"0500000US05125","Saline County, Arkansas","35258","24688","29956","18578","36712","14336","-","**","60262","79478","61554","6422","2708","2369"
"0500000US05131","Sebastian County, Arkansas","23069","3654","27494","7773","32762","10046","14264","7935","14194","10724","27434","9142","6797","3479"
"0500000US05143","Washington County, Arkansas","28046","3009","32360","5180","37940","3222","7100","4615","23629","4364","29066","4662","11233","4591"
