GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US39063,39063,"Hancock County, Ohio",3706,116,1400,2,1400,2,0,185,2003,295,1570,399,433,306,303,261,303,261,0,185
0500000US39089,39089,"Licking County, Ohio",2856,50,1047,4,1017,54,30,54,1675,112,1507,205,168,175,134,100,134,100,0,185
0500000US39093,39093,"Lorain County, Ohio",27930,186,10191,5,10076,157,115,157,15863,81,13707,821,2156,842,1876,168,1876,168,0,185
0500000US39095,39095,"Lucas County, Ohio",28927,321,11267,5,10821,430,446,430,16106,321,13364,843,2742,840,1554,4,1503,78,51,78
0500000US39099,39099,"Mahoning County, Ohio",10895,527,3925,3,3658,328,267,328,6218,544,4943,601,1275,593,752,175,724,184,28,48
0500000US39113,39113,"Montgomery County, Ohio",13366,309,4964,39,4461,366,503,363,7605,369,5104,696,2501,722,797,238,797,238,0,185
0500000US39151,39151,"Stark County, Ohio",7073,140,2545,4,2145,470,400,470,4024,273,2403,600,1621,593,504,220,504,220,0,185
0500000US39153,39153,"Summit County, Ohio",10288,138,3644,5,3432,305,212,306,6455,214,5488,680,967,683,189,165,189,165,0,185
0500000US39155,39155,"Trumbull County, Ohio",3314,66,1259,4,1090,260,169,260,1862,133,1454,367,408,343,193,115,193,115,0,185
0500000US39165,39165,"Warren County, Ohio",5167,524,2194,4,2048,183,146,183,2718,616,2319,617,399,294,255,282,255,282,0,185
0500000US39169,39169,"Wayne County, Ohio",1948,145,759,2,606,214,153,214,1142,154,564,285,578,280,47,70,12,22,35,67
0500000US39173,39173,"Wood County, Ohio",6880,37,2353,38,2327,62,26,49,4178,236,3631,544,547,504,349,236,334,236,15,32
0500000US40017,40017,"Canadian County, Oklahoma",10073,309,4172,3,3382,806,790,806,5638,374,3886,912,1752,771,263,180,263,180,0,153
0500000US40027,40027,"Cleveland County, Oklahoma",21041,225,7293,3,6438,748,855,748,13069,416,8577,1280,4492,1367,679,349,679,349,0,153
0500000US40031,40031,"Comanche County, Oklahoma",13886,684,5489,5,5402,107,87,107,8017,709,6047,909,1970,702,380,201,368,202,12,21
0500000US40037,40037,"Creek County, Oklahoma",2633,2,1026,4,945,71,81,71,1607,4,892,267,715,267,0,153,0,153,0,153
0500000US40101,40101,"Muskogee County, Oklahoma",3828,147,1691,4,1628,112,63,112,2067,172,1071,409,996,408,70,85,70,85,0,153
0500000US40109,40109,"Oklahoma County, Oklahoma",123717,371,50850,6,45944,1342,4906,1342,69128,357,32083,2206,37045,2260,3739,82,3391,284,348,281
0500000US40125,40125,"Pottawatomie County, Oklahoma",3359,123,1441,4,1185,250,256,250,1770,110,859,333,911,307,148,85,148,85,0,153
0500000US40131,40131,"Rogers County, Oklahoma",3773,2,1531,3,1266,150,265,150,2134,67,1384,256,750,254,108,67,108,67,0,153
0500000US40143,40143,"Tulsa County, Oklahoma",74107,161,30043,5,25783,876,4260,876,41913,160,22778,1502,19135,1509,2151,3,1784,286,367,285
0500000US40145,40145,"Wagoner County, Oklahoma",4276,153,1764,2,1402,236,362,236,2266,171,1224,330,1042,337,246,171,246,171,0,153
0500000US41003,41003,"Benton County, Oregon",6069,197,1853,2,1808,75,45,76,4025,170,2940,469,1085,428,191,170,191,170,0,197
0500000US41005,41005,"Clackamas County, Oregon",32733,322,12546,42,11176,950,1370,951,18641,480,13347,1306,5294,1285,1546,357,1546,357,0,197
0500000US41019,41019,"Douglas County, Oregon",5531,150,1901,2,1203,573,698,573,3026,393,2520,665,506,563,604,361,604,361,0,197
0500000US41029,41029,"Jackson County, Oregon",25255,71,9707,4,9213,446,494,446,14339,504,9013,1586,5326,1489,1209,501,1209,501,0,197
0500000US41033,41033,"Josephine County, Oregon",5853,197,2025,2,1090,321,935,321,3518,369,1918,1038,1600,1112,310,369,310,369,0,197
0500000US41035,41035,"Klamath County, Oregon",7595,187,2898,26,2898,26,0,197,4434,273,2647,925,1787,898,263,212,263,212,0,197
0500000US41039,41039,"Lane County, Oregon",29578,128,10548,93,9787,655,761,638,17688,86,12461,1491,5227,1495,1342,197,1342,197,0,197
0500000US41043,41043,"Linn County, Oregon",9882,171,3957,170,3957,170,0,197,5668,265,4524,998,1144,932,257,263,257,263,0,197
