GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - With health insurance coverage,Margin of Error; Male: - Under 18 years: - With health insurance coverage,Estimate; Male: - Under 18 years: - No health insurance coverage,Margin of Error; Male: - Under 18 years: - No health insurance coverage,Estimate; Male: - 18 to 64 years:,Margin of Error; Male: - 18 to 64 years:,Estimate; Male: - 18 to 64 years: - With health insurance coverage,Margin of Error; Male: - 18 to 64 years: - With health insurance coverage,Estimate; Male: - 18 to 64 years: - No health insurance coverage,Margin of Error; Male: - 18 to 64 years: - No health insurance coverage,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - With health insurance coverage,Margin of Error; Male: - 65 years and over: - With health insurance coverage,Estimate; Male: - 65 years and over: - No health insurance coverage,Margin of Error; Male: - 65 years and over: - No health insurance coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - With health insurance coverage,Margin of Error; Female: - Under 18 years: - With health insurance coverage,Estimate; Female: - Under 18 years: - No health insurance coverage,Margin of Error; Female: - Under 18 years: - No health insurance coverage,Estimate; Female: - 18 to 64 years:,Margin of Error; Female: - 18 to 64 years:,Estimate; Female: - 18 to 64 years: - With health insurance coverage,Margin of Error; Female: - 18 to 64 years: - With health insurance coverage,Estimate; Female: - 18 to 64 years: - No health insurance coverage,Margin of Error; Female: - 18 to 64 years: - No health insurance coverage,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - With health insurance coverage,Margin of Error; Female: - 65 years and over: - With health insurance coverage,Estimate; Female: - 65 years and over: - No health insurance coverage,Margin of Error; Female: - 65 years and over: - No health insurance coverage
310M300US10180,10180,"Abilene, TX Metro Area",158266,3192,75783,2252,20279,910,18428,1203,1851,1087,44678,1945,35438,2180,9240,1525,10826,520,10669,537,157,145,82483,1818,19598,935,18530,936,1068,597,48562,1220,39032,1686,9530,1462,14323,512,14220,541,103,172
310M300US10420,10420,"Akron, OH Metro Area",695819,1097,338276,960,73518,638,70445,1314,3073,1145,214070,992,195595,2771,18475,2629,50688,640,50654,644,34,58,357543,906,71703,688,66954,1707,4749,1778,222859,726,208691,2510,14168,2539,62981,871,62688,828,293,348
310M300US10500,10500,"Albany, GA Metro Area",149192,2723,69348,1844,19439,816,18569,919,870,562,40375,1420,30190,1686,10185,1883,9534,340,9534,340,0,218,79844,1660,18300,916,17424,1064,876,508,49126,1137,37446,1893,11680,1686,12418,420,12418,420,0,218
310M300US10540,10540,"Albany, OR Metro Area",122077,508,60798,838,15022,709,13823,801,1199,781,35679,814,32229,1275,3450,979,10097,222,10097,222,0,201,61279,735,12929,477,12494,551,435,330,36235,585,34083,974,2152,826,12115,396,11899,430,216,229
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",869858,2147,425833,2220,89057,1767,87659,1844,1398,748,275290,1966,256905,3120,18385,2753,61486,888,61046,902,440,354,444025,2112,86047,1701,84879,1741,1168,477,281973,1131,271936,2021,10037,1822,76005,1283,75371,1334,634,527
310M300US10740,10740,"Albuquerque, NM Metro Area",903704,3859,440972,3205,106571,1368,101763,1952,4808,1298,271487,2172,237169,4084,34318,3889,62914,999,62584,1020,330,160,462732,2185,101289,1495,96655,2067,4634,1333,283280,1519,259515,3295,23765,2841,78163,666,77351,842,812,513
310M300US10780,10780,"Alexandria, LA Metro Area",148775,1495,72567,1411,19776,731,19060,826,716,430,42976,1303,35721,1760,7255,1331,9815,390,9755,408,60,99,76208,1284,18117,681,17707,791,410,415,45293,926,39098,1802,6195,1521,12798,411,12688,427,110,145
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",826639,2377,407888,1684,92386,1053,89376,1655,3010,1264,253510,1640,227855,2958,25655,2719,61992,1017,61983,1016,9,19,418751,2066,85263,991,81740,1687,3523,1292,256478,785,239998,2328,16480,2074,77010,1535,76422,1566,588,454
310M300US11020,11020,"Altoona, PA Metro Area",123177,520,60725,556,13595,350,13214,393,381,213,36615,363,33274,931,3341,839,10515,276,10400,246,115,134,62452,570,12082,306,11852,339,230,203,37055,456,35271,794,1784,671,13315,484,13315,484,0,174
310M300US11100,11100,"Amarillo, TX Metro Area",255130,2287,124637,1933,34980,1307,32820,1501,2160,773,75066,1479,59436,2324,15630,1981,14591,526,14491,544,100,159,130493,1687,32891,1356,29505,1572,3386,949,78357,883,61742,1706,16615,1555,19245,635,19226,636,19,32
310M300US11180,11180,"Ames, IA Metro Area",96402,371,49525,1005,8153,552,8153,552,0,159,36469,630,34948,839,1521,745,4903,409,4903,409,0,159,46877,1057,7323,563,7323,563,0,159,33792,965,32882,1203,910,455,5762,363,5691,374,71,86
310M300US11260,11260,"Anchorage, AK Metro Area",389337,1624,196806,1798,53373,917,48611,1516,4762,1373,124933,1675,104253,2639,20680,2334,18500,521,18197,556,303,234,192531,1254,48740,924,45220,1529,3520,1183,123523,943,106699,2271,16824,2051,20268,413,20268,413,0,155
310M300US11460,11460,"Ann Arbor, MI Metro Area",359292,1197,178268,909,35053,404,34644,494,409,359,122432,814,115816,1714,6616,1526,20783,224,20783,224,0,168,181024,926,34125,471,33835,562,290,246,121460,722,117384,1149,4076,987,25439,419,25419,420,20,33
