GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US27003,27003,"Anoka County, Minnesota",201437,202,99314,78,1764,628,4279,788,23989,1961,5021,1012,23587,1912,14633,1554,19225,1392,6816,1018,102123,158,1033,393,2953,713,23085,1886,3222,693,25147,1764,15143,1436,22758,1901,8782,871
0500000US27013,27013,"Blue Earth County, Minnesota",35908,141,17803,141,160,123,746,346,5144,783,465,198,3954,583,2383,615,3202,571,1749,407,18105,141,199,140,1108,399,4472,706,231,219,4233,659,1881,449,4028,723,1953,511
0500000US27019,27019,"Carver County, Minnesota",57487,141,28186,141,317,233,753,424,5062,896,524,327,4113,762,3185,885,9644,1124,4588,951,29301,141,241,191,518,332,5693,680,164,122,6255,935,2849,765,10308,1063,3273,624
0500000US27037,27037,"Dakota County, Minnesota",233166,1577,111756,1125,1046,541,2199,659,21152,1800,2774,715,23908,1953,13107,1617,33932,2337,13638,1553,121410,458,936,388,2390,731,24469,1827,1953,650,25168,1847,14674,1421,35264,2109,16556,1627
0500000US27053,27053,"Hennepin County, Minnesota",637538,1022,307945,883,2103,666,5792,1013,42819,3151,6680,1076,59527,3092,27757,2615,107922,3132,55345,2577,329593,537,1759,604,6096,1134,48257,2735,4824,908,63328,3304,31033,2481,111212,3813,63084,3065
0500000US27109,27109,"Olmsted County, Minnesota",86977,83,41363,58,481,332,919,342,7541,999,1192,394,8443,999,4094,663,10410,1114,8283,1040,45614,25,248,186,813,309,7110,875,1339,532,11319,1193,4980,811,11115,1134,8690,1087
0500000US27123,27123,"Ramsey County, Minnesota",254711,222,120475,100,1676,610,3723,917,19824,1569,3971,928,24146,1711,10880,1318,33055,2025,23200,1822,134236,186,774,333,4188,774,24628,2019,2937,830,23783,2140,11919,1184,40526,2475,25481,1793
0500000US27131,27131,"Rice County, Minnesota",36148,164,17992,84,405,211,1126,409,5320,749,564,213,4140,710,1674,460,2901,573,1862,468,18156,84,272,196,998,445,4119,608,167,112,4480,702,2430,663,3796,629,1894,471
0500000US27137,27137,"St. Louis County, Minnesota",128325,11,63731,141,858,297,3285,695,16053,1371,3880,726,15003,1232,7601,920,12100,1349,4951,746,64594,11,800,316,2573,536,16909,1192,1525,423,14583,1321,9163,1122,13166,1058,5875,962
0500000US27139,27139,"Scott County, Minnesota",76671,101,37837,66,207,159,1184,535,8564,1334,1039,422,8835,1282,4351,810,10171,1151,3486,670,38834,42,513,331,555,261,7865,1036,959,439,8061,1240,5067,957,10875,1251,4939,1033
