GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US42001,42001,"Adams County, Pennsylvania",4706,*****,2469,216,296,118,329,136,267,123,106,87,300,182,157,171,113,122,368,122,260,126,254,126,19,32,0,242,0,242,0,242,2237,216,335,119,166,87,188,113,158,185,77,79,265,206,226,188,238,166,291,194,178,136,96,150,19,32,0,242,0,242
0500000US42003,42003,"Allegheny County, Pennsylvania",12233,*****,6233,478,244,201,822,466,623,384,327,223,147,192,174,222,1009,350,633,384,954,402,564,276,493,176,140,132,103,119,0,242,6000,478,850,201,244,238,340,231,147,176,62,107,380,255,798,288,733,412,825,358,680,334,498,214,228,232,174,143,41,86
0500000US42011,42011,"Berks County, Pennsylvania",48101,*****,24547,*****,2966,*****,1908,593,3443,593,1445,*****,745,*****,3200,868,1561,868,2084,*****,3471,*****,1966,4,1113,302,479,346,166,247,0,242,23554,*****,2990,*****,2246,752,2756,752,1368,*****,658,390,1891,390,2332,*****,1913,*****,3400,*****,2051,4,1072,*****,565,208,215,204,97,109
0500000US42017,42017,"Bucks County, Pennsylvania",18388,*****,9725,238,929,*****,950,391,598,390,474,238,231,294,852,294,1109,*****,969,*****,2069,446,628,446,673,264,62,105,111,167,70,114,8663,238,928,*****,773,304,751,304,399,238,0,242,634,410,1128,410,1074,502,1052,539,977,494,500,233,160,148,194,130,93,115
0500000US42029,42029,"Chester County, Pennsylvania",18548,*****,10551,231,1317,*****,703,237,968,237,611,231,250,249,1196,249,1228,*****,976,*****,1631,*****,973,2,489,176,142,153,67,118,0,242,7997,231,1201,*****,814,220,718,221,287,231,355,228,631,229,677,*****,619,*****,997,612,1030,613,311,188,213,169,44,67,100,150
0500000US42043,42043,"Dauphin County, Pennsylvania",12387,*****,6715,677,1080,313,572,376,374,264,615,552,321,387,304,369,656,313,414,401,1445,170,101,170,436,303,87,98,255,192,55,86,5672,677,430,313,844,473,781,411,0,242,252,291,463,273,546,323,65,110,741,419,1164,415,171,134,142,162,73,106,0,242
0500000US42045,42045,"Delaware County, Pennsylvania",9811,*****,5135,222,820,175,557,204,399,204,98,99,192,242,529,431,328,285,434,263,984,321,286,206,188,178,250,117,18,32,52,89,4676,223,160,175,477,235,517,206,230,126,57,76,412,234,534,217,100,165,1143,165,516,1,0,242,281,142,136,162,113,140
0500000US42049,42049,"Erie County, Pennsylvania",6557,*****,3450,443,278,171,526,365,606,416,232,231,322,151,251,167,133,154,207,199,435,263,318,276,128,145,14,29,0,242,0,242,3107,443,406,171,398,313,193,175,60,94,0,242,281,231,225,187,377,230,194,156,546,156,51,77,105,128,271,100,0,242
0500000US42069,42069,"Lackawanna County, Pennsylvania",4408,*****,2215,323,417,138,182,98,348,153,22,28,134,111,201,129,120,64,370,207,330,206,9,15,0,242,0,242,82,144,0,242,2193,323,300,138,413,178,71,56,35,59,16,28,92,106,250,150,280,154,530,204,152,154,54,98,0,242,0,242,0,242
0500000US42071,42071,"Lancaster County, Pennsylvania",32303,*****,16125,*****,1886,*****,1759,417,1781,417,1005,*****,508,*****,1280,*****,1478,*****,1174,*****,2219,*****,1595,2,1061,269,172,189,166,204,41,71,16178,*****,1818,*****,1777,310,1660,310,968,*****,386,252,1293,252,1565,*****,1239,*****,2303,*****,1635,2,849,*****,326,183,359,183,0,242
