"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M"
"0500000US47149","Rutherford County, Tennessee","226978","354","111446","251","6824","211","6997","1369","7139","1369","4296","211","3197","211","9976","120","8640","224","7432","211","15396","211","15313","211","13296","211","8391","211","3521","444","1028","444","115532","205","6376","211","6901","1221","6816","1221","4338","211","2993","211","9956","211","8369","211","7761","211","15654","205","15704","211","14381","211","9696","211","5379","488","1208","488"
"0500000US48183","Gregg County, Texas","70625","228","33908","228","1954","228","1458","709","2526","709","1223","228","874","366","2167","366","2324","228","2140","228","4101","228","3954","228","4835","228","3697","228","1452","379","1203","379","36717","228","1884","228","998","574","2801","574","1124","228","672","228","2076","228","2341","228","2244","228","4097","228","4487","228","5376","228","4357","228","2873","542","1387","542"
"0500000US48347","Nacogdoches County, Texas","38688","353","18457","353","896","228","701","342","1048","356","615","228","945","492","2369","492","1139","228","894","228","1878","228","2022","228","2440","228","2200","228","1123","213","187","213","20231","228","906","228","1319","413","514","413","557","228","1895","535","2081","535","1106","228","949","228","1982","228","2071","228","2647","228","2287","228","1516","307","401","307"
"0500000US51069","Frederick County, Virginia","72998","206","36116","206","1990","206","1859","663","2435","663","1461","206","980","430","1700","430","2192","206","2093","206","4262","206","5173","206","5330","206","3965","206","2041","325","635","325","36882","206","1851","206","2478","564","1602","564","1404","206","854","422","1606","422","2096","206","2147","206","4404","206","5266","206","5475","206","4297","206","2304","384","1098","384"
"0500000US55089","Ozaukee County, Wisconsin","81032","248","39571","246","2006","151","2466","506","2286","506","1618","151","745","436","2590","504","1821","151","2083","151","4510","151","5452","151","6356","26","4562","151","2553","248","523","248","41461","20","1958","151","2037","515","2480","515","1525","151","1114","575","2301","575","1710","151","2073","151","4527","151","5632","151","6732","20","5040","151","3122","500","1210","500"
"0500000US55133","Waukesha County, Wisconsin","355376","129","174399","151","8786","151","9392","1059","10875","1059","7276","151","4038","151","9257","151","8790","151","9382","151","21090","151","24436","151","28943","151","19507","151","9544","669","3083","669","180977","129","8143","129","8854","970","10605","970","6612","151","3847","151","9376","151","8089","151","9307","151","21051","151","25288","151","29991","151","21297","151","11612","966","6905","966"
"0500000US04021","Pinal County, Arizona","252935","211","127761","211","5531","211","7046","1068","6223","1068","3771","211","2046","211","4895","211","6591","211","6901","211","15629","211","14891","211","17623","211","21042","211","13175","688","2397","688","125174","211","5270","211","5920","1163","6690","1163","3530","211","1731","211","4190","211","5820","211","6445","211","13923","211","13678","211","19558","211","23243","211","12337","832","2839","832"
"0500000US06045","Mendocino County, California","56655","211","27531","659","944","543","1187","403","1207","403","869","413","546","293","978","293","1367","211","1447","211","3193","211","3265","211","4742","211","5135","211","2033","286","618","286","29124","659","1383","543","1712","377","549","377","604","413","723","362","1423","389","569","332","1458","211","3081","211","3324","211","5269","211","5582","211","2650","440","797","440"
"0500000US06059","Orange County, California","1271280","3081","630678","1715","27112","483","24749","1596","30808","1600","19536","215","12428","176","34020","452","44994","211","39866","424","73946","137","91580","464","106159","276","73124","168","36872","2166","15484","2123","640602","1604","25522","237","24930","2015","27359","2030","18815","110","11985","139","33013","188","40590","399","36938","211","69964","553","91314","320","105142","87","81146","69","46174","2181","27710","2118"
"0500000US12053","Hernando County, Florida","146535","720","70463","215","2899","229","3065","716","3590","716","2162","112","1231","229","3077","229","3743","229","3382","229","6588","229","8590","229","10750","179","11401","229","7526","670","2459","670","76072","556","2703","331","3064","785","3388","762","2199","229","1091","229","3137","229","3732","229","3506","229","6890","175","9600","229","12372","190","12862","187","8119","656","3409","656"
"0500000US12115","Sarasota County, Florida","353850","351","167921","300","5294","229","5418","1277","6203","1277","4000","229","2434","229","6191","229","7151","229","6333","229","12777","229","18110","91","26810","229","33406","241","24681","1298","9113","1302","185929","104","5250","229","6180","1118","4800","1118","3735","229","2288","229","6011","229","6648","229","6258","229","13271","66","20006","229","32133","68","39620","229","27445","1454","12284","1449"
"0500000US12119","Sumter County, Florida","109438","181","52169","468","765","333","763","355","914","355","428","270","506","324","763","324","1132","229","1155","229","2209","181","3130","229","6496","229","18424","229","13734","1138","1750","1138","57269","443","860","333","719","463","881","463","517","270","56","97","1044","97","963","229","930","229","1922","229","3088","229","9365","229","22102","229","12057","1162","2765","1162"
"0500000US29183","St. Charles County, Missouri","346363","621","169909","303","9786","190","10521","1137","11569","1139","6955","190","4133","190","9982","37","10534","190","11463","190","22818","147","22679","190","24300","90","15347","190","7639","591","2183","591","176454","328","9512","190","9262","1272","11932","1272","6615","190","3758","144","9810","190","10215","190","11578","190","22747","149","23471","132","25669","99","17854","190","9557","883","4474","883"
"0500000US29187","St. Francois County, Missouri","61186","190","31073","476","1673","190","882","520","2837","520","661","476","697","397","1887","397","2488","190","2186","190","4433","190","4317","190","4240","190","2862","190","1650","263","260","263","30113","476","1590","190","1737","554","1906","554","1710","476","548","190","1502","190","1911","190","1828","190","3674","190","3746","190","4069","190","3161","190","1430","379","1301","379"
"0500000US36059","Nassau County, New York","800985","1994","389377","970","17359","68","21199","1818","21615","1741","15440","77","9352","278","24374","333","21490","171","19584","201","40003","300","54306","223","64730","180","46468","135","22680","1354","10777","1340","411608","1150","16771","76","21359","1845","19631","1821","14242","268","8672","83","23460","196","20423","108","19406","164","40667","340","56440","370","68077","349","50925","205","28957","1561","22578","1561"
"0500000US36071","Orange County, New York","242321","454","121115","345","7545","201","7864","1100","8178","1100","5165","201","3825","201","9963","201","6672","171","6370","201","12542","275","16190","201","17779","201","11739","201","5250","569","2033","569","121206","159","7110","201","6943","869","8164","869","4915","201","2839","201","7149","201","6413","159","6439","201","12952","201","16598","201","18051","201","12996","201","6727","777","3910","777"
"0500000US37133","Onslow County, North Carolina","129882","374","72332","237","5268","74","3479","966","3980","961","1815","210","4256","210","16439","210","7812","210","5550","210","6570","65","5277","210","5346","210","4013","210","2056","373","471","373","57550","204","5061","210","4015","894","3262","894","1583","97","1184","210","5654","66","5802","210","4962","210","6653","59","5688","114","6056","210","4319","210","2544","453","767","453"
"0500000US39113","Montgomery County, Ohio","375088","614","182220","348","10259","70","8973","1207","11350","1205","6463","106","4596","195","11969","195","12755","140","12095","195","21106","195","23371","75","26314","68","19378","330","9657","808","3934","808","192868","306","9616","195","9379","1017","9858","1023","6111","195","4453","195","11401","195","12722","195","11890","195","21523","195","24218","83","28471","195","22562","288","12805","1050","7859","1050"
"0500000US45045","Greenville County, South Carolina","350172","677","169899","321","9491","270","9186","1162","10650","1162","6062","214","4001","214","10240","214","11530","118","11413","88","21074","214","22947","88","23500","214","18275","214","8548","820","2982","820","180273","429","9154","214","9422","1042","9385","989","6035","214","4044","214","10688","214","11878","132","11522","165","21792","214","23663","214","25431","214","20986","214","11139","969","5134","969"
"0500000US51059","Fairfax County, Virginia","576600","660","289000","460","15307","145","15798","1517","18167","1523","10571","168","6630","206","16138","206","17193","198","18804","206","37881","206","41157","79","43058","134","29851","51","13863","733","4582","733","287600","440","14757","52","15151","1560","16483","1542","9876","211","6109","89","15559","135","15737","106","18202","206","37581","126","40404","174","42941","72","31415","206","16707","1075","6678","1075"
"0500000US12017","Citrus County, Florida","129632","205","62681","78","2282","229","1993","722","3019","722","1611","229","1218","521","2077","521","2900","229","2543","229","4558","229","6651","78","9922","229","12687","229","8347","910","2873","910","66951","130","2256","229","2355","795","2506","795","1557","229","763","229","2139","229","2701","229","2455","229","4788","130","7484","229","11926","229","14101","229","8192","1070","3728","1070"
"0500000US17143","Peoria County, Illinois","125806","87","60961","51","3462","190","2848","785","3860","785","2109","190","1464","190","3414","51","4058","190","3967","190","7515","190","8002","190","8713","190","6911","190","3168","364","1470","364","64845","70","3231","190","2855","472","3349","472","2014","190","1479","37","3536","35","4010","190","3954","190","7579","190","8136","190","9774","190","7855","190","4362","611","2711","611"
"0500000US18059","Hancock County, Indiana","70374","198","34641","198","2048","198","1898","682","2737","682","1515","198","356","298","2427","298","1982","198","2108","198","4496","198","4865","198","4785","198","3358","198","1808","231","258","231","35733","198","1911","198","2009","589","2376","589","1449","198","646","614","1862","614","1978","198","2272","198","4567","198","5038","198","5090","198","3813","198","1806","510","916","510"
"0500000US27139","Scott County, Minnesota","119049","32","59415","147","3724","147","4141","678","4540","678","2765","147","1419","147","3127","147","3060","147","3816","147","8612","147","9370","147","8104","147","4181","147","1717","326","839","326","59634","32","3607","147","3745","708","4729","708","2658","147","1279","147","3024","147","3027","147","3797","147","8685","147","9231","32","7890","147","4622","147","2342","397","998","397"
"0500000US36087","Rockland County, New York","203967","538","100023","400","8072","36","8553","910","8120","900","5118","201","2603","219","6656","201","5719","119","4962","201","9339","159","11627","201","12905","80","9067","95","5192","551","2090","551","103944","172","7794","201","8388","1122","7486","1123","4811","62","2504","201","6265","201","5402","201","4851","201","9625","201","12291","201","13230","92","10549","100","6367","828","4381","828"
"0500000US06065","Riverside County, California","844367","2378","420416","1543","18376","95","19960","1521","20526","1499","12763","101","7509","78","19093","463","24778","197","24214","337","47262","118","54316","1294","68578","154","56947","245","32601","1489","13493","1499","423951","1212","17398","113","18926","1408","19308","1482","12290","113","6885","211","17690","321","23147","197","23356","210","45556","302","53237","514","68203","359","61960","239","37348","1902","18647","1829"
"0500000US08101","Pueblo County, Colorado","86854","146","42324","78","1908","204","2486","434","1810","434","1414","204","957","204","2225","204","2601","204","2657","204","4854","204","5383","204","6616","62","5617","49","2691","338","1105","338","44530","129","1840","204","1496","381","2561","381","1347","204","798","204","2036","204","2577","204","2635","204","4888","204","5544","88","7280","204","6183","99","3584","584","1761","584"
"0500000US12107","Putnam County, Florida","52871","229","25929","822","1038","677","1323","480","1337","480","704","451","857","630","1442","723","840","623","1269","229","2480","229","3225","229","4291","229","4227","229","2557","226","339","226","26942","822","1411","676","1579","490","842","490","853","451","316","336","1193","662","1402","654","1282","229","2507","229","3302","229","4741","229","4212","229","3076","194","226","194"
"0500000US13121","Fulton County, Georgia","414296","1371","208747","1182","9234","271","9931","1062","9682","1077","6618","226","5434","240","14436","226","18395","679","16599","389","28038","103","33406","183","29300","176","17359","226","7828","725","2487","725","205549","565","9031","226","9834","816","8871","816","6629","101","4500","304","12891","226","18068","81","15655","173","26631","59","31239","199","28449","144","19008","226","9341","1024","5402","1024"
"0500000US17097","Lake County, Illinois","426587","437","212392","195","9446","190","11294","1004","12578","1004","8921","190","6653","190","15298","190","11000","190","10103","125","23444","93","31371","190","35395","66","22808","88","9901","745","4180","745","214195","332","9008","67","9866","945","12671","930","8344","190","4943","190","12188","87","9343","190","10044","190","23913","132","32534","87","36972","62","24626","190","12524","992","7219","992"
"0500000US29037","Cass County, Missouri","91900","190","44653","190","2698","190","2887","521","3151","521","1920","190","1042","190","2408","190","2671","190","2655","190","5533","190","5937","190","6479","190","4237","190","2424","296","611","296","47247","190","2535","190","3544","577","2219","577","1817","190","927","190","2364","190","2686","190","2730","190","5879","190","6151","190","6928","190","5049","190","3080","436","1338","436"
"0500000US34005","Burlington County, New Jersey","296319","2197","145462","762","6634","248","6829","1022","9345","1022","5545","210","3077","210","8493","100","9237","210","8347","71","16916","698","21224","125","23905","210","15342","210","7900","580","2668","580","150857","1478","6237","210","6100","905","8744","929","5172","210","2648","210","7749","82","8219","83","8269","61","16822","752","22359","210","25142","210","17632","210","10108","889","5656","889"
"0500000US37071","Gaston County, North Carolina","159867","185","77406","128","4109","210","4763","687","3993","687","2868","96","1772","210","4296","210","5238","210","4799","90","9272","210","11910","210","11364","210","8177","210","3852","370","993","370","82461","79","3903","210","4089","819","4288","819","2752","210","1515","210","4151","210","5302","210","4984","210","9975","210","12155","67","12030","210","9678","210","5288","507","2351","501"
"0500000US42091","Montgomery County, Pennsylvania","622324","1014","301769","530","15203","295","17313","1519","17536","1537","11242","86","6633","177","16415","75","17594","181","19000","157","36616","54","42402","89","46964","177","32053","58","16360","1016","6438","1016","320555","625","14826","73","15768","1115","16893","1162","10951","177","6627","177","16908","57","16918","177","18597","304","37006","42","43727","83","50206","138","36800","177","21875","1297","13453","1297"
"0500000US46099","Minnehaha County, South Dakota","157021","38","78414","163","5336","163","5034","609","4706","609","2764","163","1841","163","4659","163","6018","163","6155","163","10641","163","9585","163","10638","163","7330","163","2524","464","1183","464","78607","38","5071","163","4860","724","4394","724","2569","163","1748","163","4676","33","5545","163","5738","163","9928","163","9381","163","11216","163","7638","20","3264","592","2579","592"
"0500000US47187","Williamson County, Tennessee","195319","103","95550","211","5555","211","7372","940","8093","940","5052","211","2630","211","4927","211","3896","211","4312","211","12953","211","15058","211","12853","211","8303","211","3721","450","825","450","99769","103","5382","211","6928","1060","7718","1060","4966","211","2220","211","4938","211","3865","103","5135","211","14266","211","15551","211","13671","211","8983","211","5138","408","1008","408"
"0500000US48439","Tarrant County, Texas","954513","1954","466078","894","25918","135","23625","2388","29826","2390","16914","228","10315","228","25428","404","32319","228","32204","525","60451","228","65723","91","70714","187","45527","228","19204","1040","7910","1040","488435","1285","24337","95","26850","2202","24622","2204","16169","228","10109","228","25000","739","32493","188","33254","133","61886","227","67110","350","74130","228","52408","87","27659","1421","12408","1421"
"0500000US01117","Shelby County, Alabama","167118","205","81027","138","4292","201","4758","1079","5749","1079","3452","201","1839","59","4597","82","4628","201","4658","201","10697","201","11833","201","11226","201","8412","201","3571","470","1315","470","86091","68","4273","201","4874","871","5209","871","3387","201","1830","201","4679","201","4813","201","4962","201","10990","201","12291","68","12340","201","9625","201","5755","429","1063","429"
"0500000US01121","Talladega County, Alabama","49842","94","23847","361","1211","201","1061","984","1630","984","547","334","716","368","1096","368","1546","201","1350","201","2753","201","3408","94","3663","201","3000","201","1606","199","260","199","25995","334","1133","201","1411","397","1300","397","1288","334","833","372","850","372","1578","201","1426","201","2861","201","3511","201","3928","201","3301","201","1823","389","752","389"
"0500000US01125","Tuscaloosa County, Alabama","127896","201","62959","201","3241","201","3189","716","3012","716","2015","201","4382","978","6269","978","4992","201","4152","201","7314","201","7543","201","7757","201","5786","201","2676","367","631","367","64937","201","3032","201","2309","567","3826","567","1899","201","5414","1092","5284","1092","4920","201","3923","201","7133","201","7404","201","8282","201","6452","201","3859","425","1200","425"
"0500000US06067","Sacramento County, California","679244","754","330471","392","16968","132","15809","1632","17692","1629","10235","55","5827","211","16656","82","24163","202","24783","61","43438","104","44819","150","50850","114","36184","72","16781","943","6266","943","348773","574","16142","130","16185","1422","15890","1422","9914","211","5213","136","16312","80","23800","280","24171","211","42715","188","46197","271","55275","128","43295","211","22624","1353","11040","1347"
"0500000US12101","Pasco County, Florida","397448","1463","192570","1093","9201","229","9717","1250","10074","1187","6065","346","3552","229","8750","229","10185","229","9708","229","21003","229","26184","384","28313","229","27121","229","17949","955","4748","955","204878","393","8839","229","9614","1303","9319","1303","6200","229","3298","229","8464","229","10480","229","10331","229","22310","146","26769","365","31061","229","30938","229","19252","1213","8003","1213"
"0500000US18011","Boone County, Indiana","60197","248","29872","156","2047","198","1575","663","2946","649","1388","198","1208","605","1187","605","1761","198","1784","198","3948","198","4205","198","3964","198","2446","198","1098","286","315","286","30325","119","1771","119","2286","594","1970","594","1253","198","495","407","1730","407","1678","198","1830","198","4148","198","4281","198","4126","198","2688","198","969","307","1100","307"
"0500000US26091","Lenawee County, Michigan","84992","45","42321","45","2162","172","2498","473","2316","473","1604","172","1125","172","2683","172","2520","31","2370","172","4976","172","5738","33","6427","172","4990","172","2293","315","619","315","42671","172","2146","172","1686","411","2770","411","1459","172","1023","172","2355","172","2319","172","2184","172","4734","172","5729","172","6632","172","5417","172","2706","479","1511","479"
"0500000US47059","Greene County, Tennessee","64176","211","31384","211","1545","211","971","514","2478","514","1168","211","885","448","1642","448","1930","211","1539","211","3615","211","4433","211","4690","211","3917","211","2261","226","310","226","32792","211","1379","211","1600","478","1510","478","1084","211","750","542","1592","542","1857","211","1651","211","3768","211","4640","211","5039","211","4468","211","2801","343","653","343"
"0500000US48041","Brazos County, Texas","124590","524","62963","128","3064","228","2169","454","2975","445","1435","74","4287","228","14889","228","5624","228","3916","228","6215","228","5450","228","5847","228","4232","228","2541","213","319","213","61627","468","2917","228","3248","503","1765","507","1402","228","4413","228","12360","410","4966","228","3791","228","5981","103","5693","228","6508","228","4749","228","3044","358","790","358"
"0500000US48209","Hays County, Texas","117985","423","58016","316","2950","228","2407","772","3746","772","1842","228","2183","228","6782","228","3993","228","3805","228","7604","132","7020","174","7211","110","5831","228","2065","410","577","377","59969","165","2786","228","2701","565","3306","574","1740","228","2510","228","7385","228","3602","228","3735","228","7514","228","7017","228","7979","228","6097","228","2639","446","958","446"
"0500000US01015","Calhoun County, Alabama","82308","201","39847","201","2056","201","2514","585","2017","585","1499","201","969","201","2386","201","2828","201","2322","201","4819","201","5420","201","5864","201","4472","201","2471","202","210","202","42461","201","2028","201","2518","671","1679","671","1447","201","869","201","2377","201","2858","201","2443","201","4916","201","5456","201","6302","201","5342","201","3174","498","1052","498"
"0500000US08005","Arapahoe County, Colorado","388194","1598","192200","493","9975","103","10012","1002","10526","980","6319","64","3338","204","10026","204","15113","204","15453","185","27485","204","26143","204","27537","204","19476","60","7939","611","2858","611","195994","1186","9475","204","10995","1096","8674","1096","6179","102","2671","260","8980","699","13942","204","14561","43","26274","476","26544","160","30166","204","22328","111","9643","840","5562","840"
