"GEO_ID","NAME","B15002B_001E","B15002B_001M","B15002B_002E","B15002B_002M","B15002B_003E","B15002B_003M","B15002B_004E","B15002B_004M","B15002B_005E","B15002B_005M","B15002B_006E","B15002B_006M","B15002B_007E","B15002B_007M","B15002B_008E","B15002B_008M","B15002B_009E","B15002B_009M","B15002B_010E","B15002B_010M","B15002B_011E","B15002B_011M","B15002B_012E","B15002B_012M","B15002B_013E","B15002B_013M","B15002B_014E","B15002B_014M","B15002B_015E","B15002B_015M","B15002B_016E","B15002B_016M","B15002B_017E","B15002B_017M","B15002B_018E","B15002B_018M","B15002B_019E","B15002B_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US04021","Pinal County, Arizona","13498","1300","7554","734","371","252","670","344","1607","752","659","328","2415","639","763","437","694","381","375","383","5944","883","0","211","71","126","1628","834","64","107","1460","773","733","850","692","437","1296","1184"
"0500000US05031","Craighead County, Arkansas","8568","842","3750","619","0","201","6","11","1284","865","186","275","858","563","295","430","720","712","401","389","4818","756","0","201","727","730","1781","756","95","126","950","639","587","584","566","449","112","209"
"0500000US05045","Faulkner County, Arkansas","7846","789","3684","524","29","44","207","208","1288","607","81","116","615","373","334","282","949","570","181","194","4162","500","0","201","0","201","976","523","63","119","1528","677","279","270","195","197","1121","585"
"0500000US05069","Jefferson County, Arkansas","24442","328","11252","298","276","206","1301","510","4411","779","383","229","3139","816","635","455","952","630","155","146","13190","99","334","194","1006","423","4642","1053","256","185","2950","848","512","317","2411","908","1079","420"
"0500000US05119","Pulaski County, Arkansas","90332","659","39041","400","877","516","4702","1400","13883","2341","1345","633","9087","1788","3931","1154","3371","1236","1845","829","51291","423","2304","792","4848","1461","13101","2162","1414","832","13848","2433","5024","1476","6364","1837","4388","1317"
"0500000US06001","Alameda County, California","125035","1941","58254","1329","1173","634","3251","855","12745","2616","1671","580","16359","1967","5526","1268","9419","1880","8110","1594","66781","1285","1313","566","2625","807","13885","1668","2094","924","18705","2271","6693","1460","13763","1674","7703","1566"
"0500000US06013","Contra Costa County, California","69545","1503","31897","1174","404","308","1676","686","6998","1758","1193","631","10322","1646","3907","1156","4506","1220","2891","1071","37648","1102","912","702","1097","597","6219","1348","587","378","12060","2186","4515","1254","7133","1457","5125","1197"
"0500000US06019","Fresno County, California","27657","1211","13726","797","387","344","1546","781","3132","1040","262","226","4240","1037","1845","867","1634","798","680","347","13931","939","291","251","1517","595","1920","948","458","295","4435","1073","1299","599","2911","1075","1100","499"
"0500000US06029","Kern County, California","28884","1031","15791","621","270","358","2843","965","3524","929","1089","470","4668","1056","625","480","1647","890","1125","794","13093","697","86","97","1754","686","3155","986","366","346","3936","1138","1197","690","1549","677","1050","526"
"0500000US06031","Kings County, California","6812","765","4842","598","121","109","726","305","1206","383","437","241","1536","502","410","286","306","271","100","123","1970","422","99","146","0","211","567","506","0","211","918","518","162","182","105","138","119","194"
