"GEO_ID","NAME","B15001_001E","B15001_001M","B15001_002E","B15001_002M","B15001_003E","B15001_003M","B15001_004E","B15001_004M","B15001_005E","B15001_005M","B15001_006E","B15001_006M","B15001_007E","B15001_007M","B15001_008E","B15001_008M","B15001_009E","B15001_009M","B15001_010E","B15001_010M","B15001_011E","B15001_011M","B15001_012E","B15001_012M","B15001_013E","B15001_013M","B15001_014E","B15001_014M","B15001_015E","B15001_015M","B15001_016E","B15001_016M","B15001_017E","B15001_017M","B15001_018E","B15001_018M","B15001_019E","B15001_019M","B15001_020E","B15001_020M","B15001_021E","B15001_021M","B15001_022E","B15001_022M","B15001_023E","B15001_023M","B15001_024E","B15001_024M","B15001_025E","B15001_025M","B15001_026E","B15001_026M","B15001_027E","B15001_027M","B15001_028E","B15001_028M","B15001_029E","B15001_029M","B15001_030E","B15001_030M","B15001_031E","B15001_031M","B15001_032E","B15001_032M","B15001_033E","B15001_033M","B15001_034E","B15001_034M","B15001_035E","B15001_035M","B15001_036E","B15001_036M","B15001_037E","B15001_037M","B15001_038E","B15001_038M","B15001_039E","B15001_039M","B15001_040E","B15001_040M","B15001_041E","B15001_041M","B15001_042E","B15001_042M","B15001_043E","B15001_043M","B15001_044E","B15001_044M","B15001_045E","B15001_045M","B15001_046E","B15001_046M","B15001_047E","B15001_047M","B15001_048E","B15001_048M","B15001_049E","B15001_049M","B15001_050E","B15001_050M","B15001_051E","B15001_051M","B15001_052E","B15001_052M","B15001_053E","B15001_053M","B15001_054E","B15001_054M","B15001_055E","B15001_055M","B15001_056E","B15001_056M","B15001_057E","B15001_057M","B15001_058E","B15001_058M","B15001_059E","B15001_059M","B15001_060E","B15001_060M","B15001_061E","B15001_061M","B15001_062E","B15001_062M","B15001_063E","B15001_063M","B15001_064E","B15001_064M","B15001_065E","B15001_065M","B15001_066E","B15001_066M","B15001_067E","B15001_067M","B15001_068E","B15001_068M","B15001_069E","B15001_069M","B15001_070E","B15001_070M","B15001_071E","B15001_071M","B15001_072E","B15001_072M","B15001_073E","B15001_073M","B15001_074E","B15001_074M","B15001_075E","B15001_075M","B15001_076E","B15001_076M","B15001_077E","B15001_077M","B15001_078E","B15001_078M","B15001_079E","B15001_079M","B15001_080E","B15001_080M","B15001_081E","B15001_081M","B15001_082E","B15001_082M","B15001_083E","B15001_083M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!18 to 24 years","Margin of Error!!Total!!Male!!18 to 24 years","Estimate!!Total!!Male!!18 to 24 years!!Less than 9th grade","Margin of Error!!Total!!Male!!18 to 24 years!!Less than 9th grade","Estimate!!Total!!Male!!18 to 24 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!18 to 24 years!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!18 to 24 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Male!!18 to 24 years!!High school graduate (includes equivalency)","Estimate!!Total!!Male!!18 to 24 years!!Some college, no degree","Margin of Error!!Total!!Male!!18 to 24 years!!Some college, no degree","Estimate!!Total!!Male!!18 to 24 years!!Associate's degree","Margin of Error!!Total!!Male!!18 to 24 years!!Associate's degree","Estimate!!Total!!Male!!18 to 24 years!!Bachelor's degree","Margin of Error!!Total!!Male!!18 to 24 years!!Bachelor's degree","Estimate!!Total!!Male!!18 to 24 years!!Graduate or professional degree","Margin of Error!!Total!!Male!!18 to 24 years!!Graduate or professional degree","Estimate!!Total!!Male!!25 to 34 years","Margin of Error!!Total!!Male!!25 to 34 years","Estimate!!Total!!Male!!25 to 34 years!!Less than 9th grade","Margin of Error!!Total!!Male!!25 to 34 years!!Less than 9th grade","Estimate!!Total!!Male!!25 to 34 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!25 to 34 years!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!25 to 34 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Male!!25 to 34 years!!High school graduate (includes equivalency)","Estimate!!Total!!Male!!25 to 34 years!!Some college, no degree","Margin of Error!!Total!!Male!!25 to 34 years!!Some college, no degree","Estimate!!Total!!Male!!25 to 34 years!!Associate's degree","Margin of Error!!Total!!Male!!25 to 34 years!!Associate's degree","Estimate!!Total!!Male!!25 to 34 years!!Bachelor's degree","Margin of Error!!Total!!Male!!25 to 34 years!!Bachelor's degree","Estimate!!Total!!Male!!25 to 34 years!!Graduate or professional degree","Margin of Error!!Total!!Male!!25 to 34 years!!Graduate or professional degree","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!35 to 44 years!!Less than 9th grade","Margin of Error!!Total!!Male!!35 to 44 years!!Less than 9th grade","Estimate!!Total!!Male!!35 to 44 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!35 to 44 years!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!35 to 44 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Male!!35 to 44 years!!High school graduate (includes equivalency)","Estimate!!Total!!Male!!35 to 44 years!!Some college, no degree","Margin of Error!!Total!!Male!!35 to 44 years!!Some college, no degree","Estimate!!Total!!Male!!35 to 44 years!!Associate's degree","Margin of Error!!Total!!Male!!35 to 44 years!!Associate's degree","Estimate!!Total!!Male!!35 to 44 years!!Bachelor's degree","Margin of Error!!Total!!Male!!35 to 44 years!!Bachelor's degree","Estimate!!Total!!Male!!35 to 44 years!!Graduate or professional degree","Margin of Error!!Total!!Male!!35 to 44 years!!Graduate or professional degree","Estimate!!Total!!Male!!45 to 64 years","Margin of Error!!Total!!Male!!45 to 64 years","Estimate!!Total!!Male!!45 to 64 years!!Less than 9th grade","Margin of Error!!Total!!Male!!45 to 64 years!!Less than 9th grade","Estimate!!Total!!Male!!45 to 64 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!45 to 64 years!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!45 to 64 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Male!!45 to 64 years!!High school graduate (includes equivalency)","Estimate!!Total!!Male!!45 to 64 years!!Some college, no degree","Margin of Error!!Total!!Male!!45 to 64 years!!Some college, no degree","Estimate!!Total!!Male!!45 to 64 years!!Associate's degree","Margin of Error!!Total!!Male!!45 to 64 years!!Associate's degree","Estimate!!Total!!Male!!45 to 64 years!!Bachelor's degree","Margin of Error!!Total!!Male!!45 to 64 years!!Bachelor's degree","Estimate!!Total!!Male!!45 to 64 years!!Graduate or professional degree","Margin of Error!!Total!!Male!!45 to 64 years!!Graduate or professional degree","Estimate!!Total!!Male!!65 years and over","Margin of Error!!Total!!Male!!65 years and over","Estimate!!Total!!Male!!65 years and over!!Less than 9th grade","Margin of Error!!Total!!Male!!65 years and over!!Less than 9th grade","Estimate!!Total!!Male!!65 years and over!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!65 years and over!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!65 years and over!!High school graduate (includes equivalency)","Margin of Error!!Total!!Male!!65 years and over!!High school graduate (includes equivalency)","Estimate!!Total!!Male!!65 years and over!!Some college, no degree","Margin of Error!!Total!!Male!!65 years and over!!Some college, no degree","Estimate!!Total!!Male!!65 years and over!!Associate's degree","Margin of Error!!Total!!Male!!65 years and over!!Associate's degree","Estimate!!Total!!Male!!65 years and over!!Bachelor's degree","Margin of Error!!Total!!Male!!65 years and over!!Bachelor's degree","Estimate!!Total!!Male!!65 years and over!!Graduate or professional degree","Margin of Error!!Total!!Male!!65 years and over!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!18 to 24 years","Margin of Error!!Total!!Female!!18 to 24 years","Estimate!!Total!!Female!!18 to 24 years!!Less than 9th grade","Margin of Error!!Total!!Female!!18 to 24 years!!Less than 9th grade","Estimate!!Total!!Female!!18 to 24 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!18 to 24 years!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!18 to 24 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Female!!18 to 24 years!!High school graduate (includes equivalency)","Estimate!!Total!!Female!!18 to 24 years!!Some college, no degree","Margin of Error!!Total!!Female!!18 to 24 years!!Some college, no degree","Estimate!!Total!!Female!!18 to 24 years!!Associate's degree","Margin of Error!!Total!!Female!!18 to 24 years!!Associate's degree","Estimate!!Total!!Female!!18 to 24 years!!Bachelor's degree","Margin of Error!!Total!!Female!!18 to 24 years!!Bachelor's degree","Estimate!!Total!!Female!!18 to 24 years!!Graduate or professional degree","Margin of Error!!Total!!Female!!18 to 24 years!!Graduate or professional degree","Estimate!!Total!!Female!!25 to 34 years","Margin of Error!!Total!!Female!!25 to 34 years","Estimate!!Total!!Female!!25 to 34 years!!Less than 9th grade","Margin of Error!!Total!!Female!!25 to 34 years!!Less than 9th grade","Estimate!!Total!!Female!!25 to 34 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!25 to 34 years!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!25 to 34 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Female!!25 to 34 years!!High school graduate (includes equivalency)","Estimate!!Total!!Female!!25 to 34 years!!Some college, no degree","Margin of Error!!Total!!Female!!25 to 34 years!!Some college, no degree","Estimate!!Total!!Female!!25 to 34 years!!Associate's degree","Margin of Error!!Total!!Female!!25 to 34 years!!Associate's degree","Estimate!!Total!!Female!!25 to 34 years!!Bachelor's degree","Margin of Error!!Total!!Female!!25 to 34 years!!Bachelor's degree","Estimate!!Total!!Female!!25 to 34 years!!Graduate or professional degree","Margin of Error!!Total!!Female!!25 to 34 years!!Graduate or professional degree","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!35 to 44 years!!Less than 9th grade","Margin of Error!!Total!!Female!!35 to 44 years!!Less than 9th grade","Estimate!!Total!!Female!!35 to 44 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!35 to 44 years!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!35 to 44 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Female!!35 to 44 years!!High school graduate (includes equivalency)","Estimate!!Total!!Female!!35 to 44 years!!Some college, no degree","Margin of Error!!Total!!Female!!35 to 44 years!!Some college, no degree","Estimate!!Total!!Female!!35 to 44 years!!Associate's degree","Margin of Error!!Total!!Female!!35 to 44 years!!Associate's degree","Estimate!!Total!!Female!!35 to 44 years!!Bachelor's degree","Margin of Error!!Total!!Female!!35 to 44 years!!Bachelor's degree","Estimate!!Total!!Female!!35 to 44 years!!Graduate or professional degree","Margin of Error!!Total!!Female!!35 to 44 years!!Graduate or professional degree","Estimate!!Total!!Female!!45 to 64 years","Margin of Error!!Total!!Female!!45 to 64 years","Estimate!!Total!!Female!!45 to 64 years!!Less than 9th grade","Margin of Error!!Total!!Female!!45 to 64 years!!Less than 9th grade","Estimate!!Total!!Female!!45 to 64 years!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!45 to 64 years!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!45 to 64 years!!High school graduate (includes equivalency)","Margin of Error!!Total!!Female!!45 to 64 years!!High school graduate (includes equivalency)","Estimate!!Total!!Female!!45 to 64 years!!Some college, no degree","Margin of Error!!Total!!Female!!45 to 64 years!!Some college, no degree","Estimate!!Total!!Female!!45 to 64 years!!Associate's degree","Margin of Error!!Total!!Female!!45 to 64 years!!Associate's degree","Estimate!!Total!!Female!!45 to 64 years!!Bachelor's degree","Margin of Error!!Total!!Female!!45 to 64 years!!Bachelor's degree","Estimate!!Total!!Female!!45 to 64 years!!Graduate or professional degree","Margin of Error!!Total!!Female!!45 to 64 years!!Graduate or professional degree","Estimate!!Total!!Female!!65 years and over","Margin of Error!!Total!!Female!!65 years and over","Estimate!!Total!!Female!!65 years and over!!Less than 9th grade","Margin of Error!!Total!!Female!!65 years and over!!Less than 9th grade","Estimate!!Total!!Female!!65 years and over!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!65 years and over!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!65 years and over!!High school graduate (includes equivalency)","Margin of Error!!Total!!Female!!65 years and over!!High school graduate (includes equivalency)","Estimate!!Total!!Female!!65 years and over!!Some college, no degree","Margin of Error!!Total!!Female!!65 years and over!!Some college, no degree","Estimate!!Total!!Female!!65 years and over!!Associate's degree","Margin of Error!!Total!!Female!!65 years and over!!Associate's degree","Estimate!!Total!!Female!!65 years and over!!Bachelor's degree","Margin of Error!!Total!!Female!!65 years and over!!Bachelor's degree","Estimate!!Total!!Female!!65 years and over!!Graduate or professional degree","Margin of Error!!Total!!Female!!65 years and over!!Graduate or professional degree"
"0100000US","United States","247789111","34138","120542426","27023","16065032","22304","299039","10205","2179874","26057","5371473","31441","6160959","36531","713003","14426","1248221","19248","92463","5010","22130661","22997","853146","18109","1771094","23889","6102645","39920","4984713","39033","1726358","22005","4852229","33512","1840476","21957","20308787","19362","1120939","17664","1647925","22296","5498118","39292","4128090","28341","1588787","21145","3968313","30109","2356615","23080","40983291","26194","2227035","27804","3140682","27065","12171272","51143","8278751","32798","3168346","27455","7299680","35571","4697525","32259","21054655","12060","1741449","16030","1678746","17884","5848482","29497","3983636","24461","1168652","13287","3495056","26402","3138634","23605","127246685","18015","15276916","25615","196080","8326","1556903","22235","4168209","36077","6586073","45245","893266","13779","1740113","23453","136272","6702","21767171","20531","599108","13607","1299711","18258","4439308","31944","5023093","35045","2128148","27626","5609692","37997","2668111","27288","20495343","19745","957899","16173","1265548","19033","4343164","34887","4165236","29418","2134212","26976","4628125","34134","3001159","24430","43029430","23723","2101326","21606","2608499","25932","11730512","44167","9210480","38771","4367657","30427","8036926","43866","4974030","34073","26677825","13870","2387137","20220","2425882","20805","9529480","34754","5135754","28875","1524590","16281","3262367","23981","2412615","23017"
