"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2000"	"2000"	6712	662047	1013.8	952.9
	"Jefferson County, AL"	"01073"	"2001"	"2001"	6723	660197	1018.3	959.2
	"Jefferson County, AL"	"01073"	"2002"	"2002"	6861	657518	1043.5	982.0
	"Jefferson County, AL"	"01073"	"2003"	"2003"	6830	657513	1038.8	980.0
	"Jefferson County, AL"	"01073"	"2004"	"2004"	6713	656023	1023.3	962.4
	"Jefferson County, AL"	"01073"	"2005"	"2005"	6632	654919	1012.6	945.1
	"Jefferson County, AL"	"01073"	"2006"	"2006"	6563	655893	1000.6	927.4
	"Jefferson County, AL"	"01073"	"2007"	"2007"	6369	655163	972.1	897.4
	"Jefferson County, AL"	"01073"	"2008"	"2008"	6600	656510	1005.3	917.9
	"Jefferson County, AL"	"01073"	"2009"	"2009"	6292	658441	955.6	866.1
	"Jefferson County, AL"	"01073"	"2010"	"2010"	6381	658466	969.1	874.5
	"Jefferson County, AL"	"01073"	"2011"	"2011"	6310	658931	957.6	852.3
	"Jefferson County, AL"	"01073"	"2012"	"2012"	6350	660009	962.1	849.0
	"Jefferson County, AL"	"01073"	"2013"	"2013"	6493	659479	984.6	859.5
	"Jefferson County, AL"	"01073"	"2014"	"2014"	6396	660793	967.9	832.7
	"Jefferson County, AL"	"01073"	"2015"	"2015"	6567	660367	994.4	849.1
	"Jefferson County, AL"	"01073"	"2016"	"2016"	6458	659521	979.2	823.7
	"Jefferson County, AL"	"01073"	"2017"	"2017"	6630	659197	1005.8	843.0
	"Jefferson County, AL"	"01073"	"2018"	"2018"	6774	659300	1027.5	852.2
"Total"	"Jefferson County, AL"	"01073"			124654	12510287	996.4	895.0
	"Duval County, FL"	"12031"	"2000"	"2000"	6184	778879	794.0	933.6
	"Duval County, FL"	"12031"	"2001"	"2001"	6361	790681	804.5	932.5
	"Duval County, FL"	"12031"	"2002"	"2002"	6169	800532	770.6	891.2
	"Duval County, FL"	"12031"	"2003"	"2003"	6273	809633	774.8	889.0
	"Duval County, FL"	"12031"	"2004"	"2004"	6477	820070	789.8	909.5
	"Duval County, FL"	"12031"	"2005"	"2005"	6390	828988	770.8	872.9
	"Duval County, FL"	"12031"	"2006"	"2006"	6328	842098	751.5	838.2
	"Duval County, FL"	"12031"	"2007"	"2007"	6488	851033	762.4	840.1
	"Duval County, FL"	"12031"	"2008"	"2008"	6612	855437	772.9	837.6
	"Duval County, FL"	"12031"	"2009"	"2009"	6502	859795	756.2	805.7
	"Duval County, FL"	"12031"	"2010"	"2010"	6513	864263	753.6	798.6
	"Duval County, FL"	"12031"	"2011"	"2011"	6813	870709	782.5	801.4
	"Duval County, FL"	"12031"	"2012"	"2012"	6669	879602	758.2	760.8
	"Duval County, FL"	"12031"	"2013"	"2013"	7063	885855	797.3	787.8
	"Duval County, FL"	"12031"	"2014"	"2014"	6850	897698	763.1	742.7
	"Duval County, FL"	"12031"	"2015"	"2015"	7099	913010	777.5	749.7
	"Duval County, FL"	"12031"	"2016"	"2016"	7058	926255	762.0	720.7
	"Duval County, FL"	"12031"	"2017"	"2017"	7462	937934	795.6	763.5
	"Duval County, FL"	"12031"	"2018"	"2018"	7765	950181	817.2	769.2
"Total"	"Duval County, FL"	"12031"			127076	16362653	776.6	816.2
	"Marion County, IN"	"18097"	"2000"	"2000"	7161	860454	832.2	935.5
	"Marion County, IN"	"18097"	"2001"	"2001"	7121	865662	822.6	925.6
	"Marion County, IN"	"18097"	"2002"	"2002"	6982	866210	806.0	904.9
