GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US17163,17163,"St. Clair County, Illinois",77701,1898,21331,1562,20619,1524,712,535,48537,942,37163,1926,11374,1860,7833,264,7662,315,171,279
0500000US17167,17167,"Sangamon County, Illinois",24801,1034,8682,724,8129,864,553,574,14165,614,11424,916,2741,886,1954,380,1954,380,0,182
0500000US17183,17183,"Vermilion County, Illinois",11119,949,4035,376,4035,376,0,182,6105,729,5417,815,688,479,979,242,979,242,0,182
0500000US17197,17197,"Will County, Illinois",71503,2855,18686,2073,17815,2116,871,601,47607,1327,39036,2126,8571,1920,5210,334,5027,424,183,206
0500000US17201,17201,"Winnebago County, Illinois",35435,1289,12247,642,11669,820,578,550,20240,917,16167,1227,4073,1120,2948,228,2948,228,0,182
0500000US18003,18003,"Allen County, Indiana",40096,2753,12717,2017,12608,2028,109,178,23990,1294,16527,1570,7463,1380,3389,317,3251,399,138,214
0500000US18019,18019,"Clark County, Indiana",8080,847,2029,699,1939,682,90,161,4974,408,4053,436,921,360,1077,329,1077,329,0,187
0500000US18035,18035,"Delaware County, Indiana",8701,701,2400,506,2337,516,63,109,5541,484,4227,842,1314,684,760,356,760,356,0,187
0500000US18039,18039,"Elkhart County, Indiana",9733,1461,3090,919,3090,919,0,187,6073,994,4492,1152,1581,742,570,390,570,390,0,187
0500000US18053,18053,"Grant County, Indiana",5400,599,1560,417,1453,403,107,168,3089,554,2135,624,954,512,751,376,751,376,0,187
0500000US18057,18057,"Hamilton County, Indiana",10185,1222,2592,1076,2592,1076,0,187,7055,621,6586,752,469,376,538,399,538,399,0,187
0500000US18067,18067,"Howard County, Indiana",6154,1096,1275,663,878,605,397,593,4115,793,2876,888,1239,559,764,479,764,479,0,187
0500000US18089,18089,"Lake County, Indiana",120557,1735,35403,1053,33732,1418,1671,877,70948,976,53811,2182,17137,1907,14206,412,14153,422,53,90
0500000US18091,18091,"LaPorte County, Indiana",10176,911,3376,389,3346,375,30,53,5862,895,4923,871,939,623,938,372,938,372,0,187
0500000US18095,18095,"Madison County, Indiana",8944,758,2554,458,2554,458,0,187,5296,653,4134,897,1162,714,1094,416,1037,402,57,87
0500000US18097,18097,"Marion County, Indiana",250246,3878,72560,2937,68997,3433,3563,1795,156215,1720,123545,3247,32670,3257,21471,517,21471,517,0,187
0500000US18105,18105,"Monroe County, Indiana",4469,664,904,428,768,403,136,175,3514,446,2136,862,1378,972,51,74,51,74,0,187
0500000US18127,18127,"Porter County, Indiana",6143,840,1699,598,1699,598,0,187,4242,420,3422,613,820,526,202,166,202,166,0,187
0500000US18141,18141,"St. Joseph County, Indiana",33089,1710,10669,1094,9776,1194,893,610,19775,932,13656,1067,6119,1217,2645,203,2645,203,0,187
0500000US18157,18157,"Tippecanoe County, Indiana",8189,1130,2270,1074,2270,1074,0,187,5363,730,4118,914,1245,677,556,667,556,667,0,187
0500000US18163,18163,"Vanderburgh County, Indiana",16257,1153,5421,754,5306,776,115,137,9487,615,7403,744,2084,703,1349,383,1349,383,0,187
0500000US18167,18167,"Vigo County, Indiana",5174,1037,974,597,974,597,0,187,3839,718,3316,699,523,285,361,214,361,214,0,187
0500000US18177,18177,"Wayne County, Indiana",4375,605,1334,406,1266,417,68,125,2158,502,1584,577,574,401,883,278,883,278,0,187
0500000US19013,19013,"Black Hawk County, Iowa",11586,920,3574,747,3408,722,166,234,7134,433,5748,702,1386,614,878,170,878,170,0,155
0500000US19113,19113,"Linn County, Iowa",10450,1174,4053,823,3984,839,69,153,6077,690,5245,802,832,406,320,224,320,224,0,155
0500000US19153,19153,"Polk County, Iowa",28781,1841,9689,1332,9198,1339,491,393,17390,953,13900,1228,3490,1048,1702,90,1663,108,39,68
0500000US19163,19163,"Scott County, Iowa",12395,1114,4463,872,4463,872,0,155,7092,621,6169,857,923,499,840,352,840,352,0,155
0500000US20045,20045,"Douglas County, Kansas",5073,1170,852,741,852,741,0,168,3635,945,3025,696,610,501,586,342,586,342,0,168
0500000US20091,20091,"Johnson County, Kansas",25850,1903,7292,1503,6865,1528,427,383,17278,884,13721,1413,3557,1414,1280,308,1280,308,0,168
0500000US20103,20103,"Leavenworth County, Kansas",5037,920,1146,448,901,450,245,370,3174,671,2586,628,588,508,717,273,717,273,0,168
0500000US20173,20173,"Sedgwick County, Kansas",46252,2810,14281,2002,12773,2119,1508,1151,28030,1244,19612,1612,8418,1697,3941,284,3941,284,0,168
0500000US20177,20177,"Shawnee County, Kansas",14230,1700,4438,1157,4438,1157,0,168,8545,845,6739,944,1806,863,1247,252,1247,252,0,168
0500000US20209,20209,"Wyandotte County, Kansas",37510,1795,11229,739,9782,1488,1447,1417,21805,1288,15976,1535,5829,1200,4476,247,4406,268,70,110
0500000US21047,21047,"Christian County, Kentucky",12446,1551,3697,1087,3561,1076,136,224,7843,749,6747,813,1096,548,906,254,822,273,84,125
0500000US21067,21067,"Fayette County, Kentucky",43113,1704,11385,1054,11138,1026,247,245,27905,1100,22714,1817,5191,1467,3823,136,3823,136,0,185
0500000US21093,21093,"Hardin County, Kentucky",11479,1172,2831,663,2750,665,81,99,7854,871,7495,902,359,259,794,213,794,213,0,185
0500000US21111,21111,"Jefferson County, Kentucky",157432,3257,44727,2125,43974,2264,753,544,98370,1953,83957,2275,14413,2153,14335,395,14324,395,11,20
0500000US21117,21117,"Kenton County, Kentucky",6860,955,1652,788,1652,788,0,185,4715,512,3512,558,1203,506,493,233,493,233,0,185
0500000US21145,21145,"McCracken County, Kentucky",7112,1084,2045,540,2045,540,0,185,4302,678,4182,674,120,195,765,270,765,270,0,185
0500000US21227,21227,"Warren County, Kentucky",10422,1652,2612,863,2498,893,114,181,7244,958,5542,1047,1702,826,566,316,566,316,0,185
0500000US22005,22005,"Ascension Parish, Louisiana",25610,1426,8418,536,8322,574,96,175,15234,1272,12586,1671,2648,1004,1958,249,1788,355,170,263
0500000US22015,22015,"Bossier Parish, Louisiana",25549,1508,7146,949,7056,985,90,157,16092,659,12279,831,3813,697,2311,155,2311,155,0,201
0500000US22017,22017,"Caddo Parish, Louisiana",119414,1305,34517,747,33797,904,720,523,72810,842,52980,2451,19830,2435,12087,295,11886,444,201,304
0500000US22019,22019,"Calcasieu Parish, Louisiana",48574,2187,13666,1827,13014,1855,652,710,29792,592,20592,2098,9200,2077,5116,384,5092,388,24,39
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",203507,1870,57749,1106,56577,1217,1172,605,128632,1167,96620,3646,32012,3540,17126,468,17043,464,83,104
0500000US22045,22045,"Iberia Parish, Louisiana",22538,1354,6700,1142,6642,1144,58,96,13732,525,9291,1237,4441,1231,2106,225,2106,225,0,201
0500000US22051,22051,"Jefferson Parish, Louisiana",114210,2170,32450,1114,30414,1535,2036,1198,72321,1464,54975,2433,17346,2118,9439,294,9313,318,126,121
0500000US22055,22055,"Lafayette Parish, Louisiana",61057,1108,17818,876,15395,1784,2423,1554,38656,546,26263,2588,12393,2527,4583,88,4583,88,0,201
0500000US22057,22057,"Lafourche Parish, Louisiana",12679,1271,4139,468,4139,468,0,201,7659,738,4614,1085,3045,877,881,562,881,562,0,201
0500000US22071,22071,"Orleans Parish, Louisiana",224876,1947,55506,699,52636,1494,2870,1416,142672,1609,106922,3128,35750,3036,26698,190,26445,274,253,223
0500000US22073,22073,"Ouachita Parish, Louisiana",53194,1213,18493,260,17476,893,1017,849,30461,1108,19222,1733,11239,1684,4240,395,4127,394,113,142
0500000US22079,22079,"Rapides Parish, Louisiana",41384,1083,12402,673,12047,735,355,242,24862,509,17444,1641,7418,1545,4120,183,3856,282,264,235
0500000US22097,22097,"St. Landry Parish, Louisiana",34442,1164,10494,768,8432,1276,2062,1167,19890,560,14218,1453,5672,1394,4058,142,3983,194,75,133
0500000US22103,22103,"St. Tammany Parish, Louisiana",28076,1640,8769,844,8370,1034,399,556,16713,1159,13155,1415,3558,1148,2594,157,2559,169,35,59
0500000US22105,22105,"Tangipahoa Parish, Louisiana",36721,1207,11804,682,10949,1035,855,814,22170,936,15507,1992,6663,1688,2747,314,2747,314,0,201
0500000US22109,22109,"Terrebonne Parish, Louisiana",22298,282,7312,70,6995,363,317,362,13229,506,9012,1275,4217,1308,1757,410,1757,410,0,201
0500000US23001,23001,"Androscoggin County, Maine",1931,783,813,490,813,490,0,159,970,428,846,370,124,116,148,144,148,144,0,159
0500000US23005,23005,"Cumberland County, Maine",8415,823,3408,645,3269,679,139,226,4825,479,3886,816,939,721,182,165,182,165,0,159
0500000US24003,24003,"Anne Arundel County, Maryland",88682,2638,24265,1273,23718,1391,547,395,56321,2057,52204,2159,4117,1573,8096,548,8096,548,0,193
0500000US24005,24005,"Baltimore County, Maryland",227757,2706,60541,1652,58835,1706,1706,793,145701,1795,129233,2870,16468,2487,21515,463,21094,585,421,352
