GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
0500000US36059,36059,"Nassau County, New York",887592,140,89215,4713,240081,8813,200573,6848,202060,6561,155663,6253,823246,5789,81321,4764,223012,8548,185298,6570,189027,6689,144588,5788,38926,4467,5252,1422,10748,2500,9813,1776,7570,1354,5543,1515,16452,2690,1817,792,4091,1351,3890,1129,3396,963,3258,934,4912,1340,310,253,1030,673,1344,717,1091,476,1137,610,4056,1393,515,412,1200,767,228,241,976,581,1137,613
0500000US36061,36061,"New York County, New York",1196753,597,193921,7912,177041,7577,164617,7501,344375,8573,316799,9410,1054185,7444,178414,7850,163399,7727,148488,6816,292243,8979,271641,9032,68831,5712,8496,1751,6707,1982,6508,1754,25652,3154,21468,2828,29066,3404,4773,1133,3863,1274,6145,1709,8341,1963,5944,1239,27897,3768,1158,712,1594,747,2327,822,13076,2357,9742,1858,16774,3379,1080,661,1478,917,1149,583,5063,1488,8004,2074
0500000US36063,36063,"Niagara County, New York",146699,724,20322,2323,53634,2634,43968,2396,16585,2126,12190,1708,133736,2060,17925,2166,49803,2586,39228,2145,15190,2010,11590,1753,8845,1704,1598,586,3191,895,2795,773,881,436,380,225,1825,675,515,331,319,203,767,488,130,164,94,109,1487,666,170,280,202,211,608,407,381,392,126,210,806,636,114,137,119,175,570,606,3,4,0,269
0500000US36065,36065,"Oneida County, New York",158650,758,24422,2162,54293,2644,45675,2612,21118,1906,13142,1950,137655,2477,20098,1918,47300,2694,39922,2582,18695,1780,11640,1875,12128,2024,2161,722,3939,1098,3852,1122,1312,655,864,488,5366,1261,1632,600,1744,581,1321,513,481,369,188,237,2762,1092,483,416,1310,768,487,325,328,276,154,129,739,533,48,57,0,269,93,134,302,299,296,279
0500000US36067,36067,"Onondaga County, New York",297157,992,32187,2659,85581,4028,85041,3498,54530,3672,39818,2647,259243,3680,26673,2544,75796,3915,73977,3459,47472,3258,35325,2119,27638,3286,4890,1456,7708,1364,8102,1582,4320,1129,2618,969,5698,1515,363,312,1076,448,1925,979,1445,668,889,532,3352,1152,98,116,618,437,916,716,902,460,818,487,1226,677,163,165,383,504,121,141,391,294,168,211
0500000US36069,36069,"Ontario County, New York",69934,498,7630,1254,20352,2207,19797,1567,13347,1453,8808,1260,61489,1748,6840,1153,18778,2198,17310,1534,11073,1292,7488,1204,4649,1190,209,175,1306,581,1494,532,1230,651,410,287,2982,1059,447,428,134,131,929,468,840,441,632,387,814,510,134,122,134,136,64,76,204,285,278,320,0,269,0,269,0,269,0,269,0,269,0,269
0500000US36071,36071,"Orange County, New York",236257,736,33501,3004,82011,4090,62041,3713,34887,2807,23817,2166,205525,4250,27557,3119,72627,3972,54500,3533,29794,2444,21047,2220,17027,3326,4526,1869,5704,1744,3406,1188,1910,913,1481,743,7973,2060,796,472,2211,1054,2226,831,2075,882,665,341,4085,1221,399,292,822,543,1551,755,689,334,624,356,1647,1214,223,301,647,501,358,436,419,585,0,269
0500000US36075,36075,"Oswego County, New York",78369,446,10512,1364,36179,1798,20013,1757,6558,1054,5107,927,69304,1946,9755,1437,31334,1980,17796,1762,5598,1011,4821,954,5593,1558,386,253,3287,1332,1246,579,458,370,216,202,2944,1003,355,193,1393,763,831,498,295,274,70,84,459,312,0,269,165,136,140,126,154,227,0,269,69,94,16,28,0,269,0,269,53,92,0,269
0500000US36079,36079,"Putnam County, New York",67087,645,3793,889,19180,1774,17638,1432,15915,1667,10561,1307,60331,1908,3365,892,16572,1596,15959,1341,14973,1651,9462,1259,1635,875,91,165,1007,735,148,175,170,206,219,212,4026,1399,337,299,1504,722,1139,586,478,315,568,313,818,535,0,269,0,269,392,327,114,137,312,353,277,299,0,269,97,114,0,269,180,279,0,269
0500000US36081,36081,"Queens County, New York",1547850,466,315238,10211,483638,9731,318709,8594,276745,9223,153520,6921,1368099,8951,279599,10270,427872,10228,287684,8244,240546,9074,132398,6083,117926,7107,25028,3742,39447,4267,19821,2672,22502,2753,11128,1820,31509,3680,4080,1060,9777,1860,6599,1503,6468,1790,4585,1116,13025,2288,1195,634,2581,986,2683,974,3962,1238,2604,793,17291,3253,5336,1592,3961,1288,1922,738,3267,1100,2805,1153
0500000US36083,36083,"Rensselaer County, New York",103328,577,12087,1675,33839,2432,31106,2315,13875,1862,12421,1705,89481,2023,10014,1394,29905,2426,27441,2248,11820,1786,10301,1570,7784,1948,1610,711,2559,1003,1918,745,692,435,1005,652,3872,879,262,226,1097,577,1257,524,691,444,565,360,1635,656,27,44,183,222,490,325,628,402,307,269,556,429,174,184,95,162,0,269,44,76,243,357
0500000US36085,36085,"Richmond County, New York",317045,711,38393,3025,112239,4739,81338,4537,51080,3683,33995,3085,291546,3100,33769,2780,103250,4763,75110,4401,46628,3738,32789,3022,14167,2457,2101,982,6121,1393,3229,1041,2187,794,529,358,7493,1635,1489,725,1919,653,1985,726,1687,903,413,281,2179,1128,388,355,678,518,572,501,277,325,264,292,1660,782,646,561,271,333,442,312,301,315,0,269
0500000US36087,36087,"Rockland County, New York",185225,1041,20867,1814,45345,3375,45164,3676,40900,3005,32949,2560,170575,2562,18777,1899,42091,3333,42200,3665,37269,2949,30238,2528,9264,2085,1293,627,2196,844,2048,826,2071,853,1656,714,3485,1133,494,414,955,612,557,559,815,505,664,386,1407,552,57,89,62,83,359,222,577,338,352,270,494,416,246,372,41,71,0,269,168,192,39,66
