GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Estimate; Same house 1 year ago: - Less than high school graduate,Margin of Error; Same house 1 year ago: - Less than high school graduate,Estimate; Same house 1 year ago: - High school graduate (includes equivalency),Margin of Error; Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Same house 1 year ago: - Some college or associate's degree,Margin of Error; Same house 1 year ago: - Some college or associate's degree,Estimate; Same house 1 year ago: - Bachelor's degree,Margin of Error; Same house 1 year ago: - Bachelor's degree,Estimate; Same house 1 year ago: - Graduate or professional degree,Margin of Error; Same house 1 year ago: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved from different county within same state:,Margin of Error; Moved from different county within same state:,Estimate; Moved from different county within same state: - Less than high school graduate,Margin of Error; Moved from different county within same state: - Less than high school graduate,Estimate; Moved from different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Moved from different county within same state: - Some college or associate's degree,Margin of Error; Moved from different county within same state: - Some college or associate's degree,Estimate; Moved from different county within same state: - Bachelor's degree,Margin of Error; Moved from different county within same state: - Bachelor's degree,Estimate; Moved from different county within same state: - Graduate or professional degree,Margin of Error; Moved from different county within same state: - Graduate or professional degree,Estimate; Moved from different state:,Margin of Error; Moved from different state:,Estimate; Moved from different state: - Less than high school graduate,Margin of Error; Moved from different state: - Less than high school graduate,Estimate; Moved from different state: - High school graduate (includes equivalency),Margin of Error; Moved from different state: - High school graduate (includes equivalency),Estimate; Moved from different state: - Some college or associate's degree,Margin of Error; Moved from different state: - Some college or associate's degree,Estimate; Moved from different state: - Bachelor's degree,Margin of Error; Moved from different state: - Bachelor's degree,Estimate; Moved from different state: - Graduate or professional degree,Margin of Error; Moved from different state: - Graduate or professional degree,Estimate; Moved from abroad:,Margin of Error; Moved from abroad:,Estimate; Moved from abroad: - Less than high school graduate,Margin of Error; Moved from abroad: - Less than high school graduate,Estimate; Moved from abroad: - High school graduate (includes equivalency),Margin of Error; Moved from abroad: - High school graduate (includes equivalency),Estimate; Moved from abroad: - Some college or associate's degree,Margin of Error; Moved from abroad: - Some college or associate's degree,Estimate; Moved from abroad: - Bachelor's degree,Margin of Error; Moved from abroad: - Bachelor's degree,Estimate; Moved from abroad: - Graduate or professional degree,Margin of Error; Moved from abroad: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",117690,730,13828,1950,36497,2551,36258,2972,20136,2287,10971,1797,102711,2569,11788,1749,32169,2722,31132,2813,17899,2179,9723,1661,7494,1937,1383,666,2049,710,2660,1460,1154,584,248,206,2166,1010,205,146,975,582,487,390,222,221,277,388,5048,1572,452,331,1304,701,1756,1107,813,454,723,419,271,266,0,267,0,267,223,263,48,78,0,267
0500000US01015,01015,"Calhoun County, Alabama",75318,461,16275,2177,27643,2093,19946,2048,6530,1154,4924,1214,64950,1873,13392,1924,23572,1899,17822,1955,5719,1078,4445,1188,6591,1589,1976,867,2947,970,841,461,456,360,371,292,1562,781,630,451,353,469,428,355,151,242,0,267,1808,945,277,239,568,401,855,679,0,267,108,134,407,609,0,267,203,303,0,267,204,309,0,267
0500000US01051,01051,"Elmore County, Alabama",50495,831,10065,1532,17681,1714,11839,1550,7762,1367,3148,856,40124,1787,7691,1468,13930,1566,8873,1302,6734,1199,2896,803,3131,1066,666,602,1164,751,965,578,292,284,44,73,5292,1282,1330,450,2022,753,1123,642,686,476,131,125,1804,895,378,305,565,407,734,529,50,82,77,96,144,241,0,267,0,267,144,241,0,267,0,267
0500000US01055,01055,"Etowah County, Alabama",71428,502,14602,1766,24396,1830,21810,1926,6165,999,4455,853,60578,2113,12828,1588,20941,2038,17997,2085,5123,898,3689,879,6771,1598,1457,646,1948,654,2513,1036,499,351,354,330,1869,651,317,257,466,358,626,383,249,293,211,243,2204,947,0,267,1041,553,668,399,294,317,201,200,6,10,0,267,0,267,6,10,0,267,0,267
0500000US01069,01069,"Houston County, Alabama",64581,250,11627,969,21620,1468,19188,1212,7690,828,4456,675,56101,986,9972,857,18936,1450,16353,1286,6868,768,3972,611,5004,728,1166,321,1234,359,1927,537,402,206,275,167,1042,371,182,139,468,232,285,165,93,63,14,23,2285,639,307,172,955,292,546,296,327,260,150,169,149,120,0,267,27,33,77,91,0,267,45,71
0500000US01073,01073,"Jefferson County, Alabama",437769,665,62268,3970,124179,5035,127557,5360,75714,4070,48051,3045,372664,4394,51799,3631,104687,4322,109795,4739,64765,4176,41618,3148,44136,4197,8434,1818,14036,2451,12466,2275,6204,1462,2996,995,9247,2078,1021,681,2384,1082,2389,980,2180,775,1273,551,10328,1866,1014,540,2142,830,2800,919,2450,850,1922,945,1394,755,0,267,930,698,107,93,115,137,242,199
0500000US01077,01077,"Lauderdale County, Alabama",60529,535,11207,1614,22875,2173,14571,1673,7191,1215,4685,956,52497,1949,9933,1468,19626,2125,12571,1718,6144,1121,4223,893,4168,1548,727,664,2030,995,516,312,710,377,185,179,1954,1006,243,239,819,524,673,519,209,263,10,17,1832,863,304,338,400,345,733,662,128,160,267,237,78,161,0,267,0,267,78,161,0,267,0,267
0500000US01081,01081,"Lee County, Alabama",72844,573,12097,1785,18196,1902,19381,1876,13251,1951,9919,1433,61276,1869,10041,1667,15547,1764,16812,1812,10464,1770,8412,1308,4762,1037,1005,471,786,365,1110,535,1234,457,627,267,2401,889,323,252,845,521,577,468,340,314,316,213,4007,1269,524,364,891,680,882,472,1180,717,530,336,398,317,204,237,127,203,0,267,33,41,34,39
0500000US01083,01083,"Limestone County, Alabama",49336,765,10252,1852,16632,1746,13881,1710,5829,1122,2742,746,42279,1582,8635,1785,13581,1613,12227,1577,5493,1082,2343,747,3029,1190,761,491,1492,809,400,364,135,164,241,226,2838,981,776,510,1290,600,413,449,201,203,158,205,1190,699,80,92,269,266,841,678,0,267,0,267,0,267,0,267,0,267,0,267,0,267,0,267
0500000US01089,01089,"Madison County, Alabama",205025,511,24933,2629,48134,3028,54431,2782,49463,3288,28064,2479,173958,3140,20938,2464,42711,2861,45251,2745,41731,3233,23327,1895,17843,2430,2830,752,2429,795,6197,1529,3810,1233,2577,1072,2848,936,483,354,863,683,486,369,745,410,271,226,9256,2160,682,575,2007,863,2384,907,2602,1158,1581,713,1120,582,0,267,124,138,113,130,575,390,308,259
0500000US01097,01097,"Mobile County, Alabama",259078,496,49696,3521,91936,4318,68425,4229,32799,2640,16222,1792,227934,3699,43502,3420,82228,4324,58531,3899,29311,2552,14362,1703,22529,3325,4639,1369,7948,1934,7484,1882,1682,589,776,354,2249,1130,600,754,338,341,635,470,517,392,159,199,5261,1408,290,298,1370,682,1588,706,1171,476,842,401,1105,388,665,235,52,94,187,184,118,140,83,135
0500000US01101,01101,"Montgomery County, Alabama",141326,318,22266,2230,36861,2712,37239,2653,26645,2644,18315,2089,121067,2362,19082,2133,32039,2758,31230,2463,22185,2481,16531,1980,12105,2000,2512,791,3669,1104,3411,1099,2091,691,422,265,2760,986,566,369,572,502,924,501,533,549,165,147,3901,1459,69,80,522,480,1262,627,1241,673,807,559,1493,1098,37,63,59,94,412,409,595,563,390,398
0500000US01103,01103,"Morgan County, Alabama",78771,557,13995,1667,26674,2283,22735,2033,10294,1370,5073,1097,67304,2360,12164,1585,23165,2279,19276,2021,8728,1324,3971,994,6027,1639,1301,529,1878,971,1775,651,610,457,463,380,3285,1226,279,212,1131,919,1043,556,503,421,329,274,1912,1005,87,109,500,424,562,412,453,391,310,279,243,366,164,257,0,267,79,117,0,267,0,267
0500000US01117,01117,"Shelby County, Alabama",118180,772,10598,1288,26962,2265,35505,2771,30939,2482,14176,1563,98498,2598,8971,1167,22709,2201,28314,2671,26324,2110,12180,1451,9357,1787,1006,553,2460,896,3458,1099,1991,812,442,272,6890,1676,570,314,1246,580,2741,1061,1738,783,595,370,3160,1107,51,92,410,359,896,497,886,421,917,567,275,208,0,267,137,164,96,109,0,267,42,67
0500000US01121,01121,"Talladega County, Alabama",54331,186,15287,1816,19682,1817,13282,1398,3606,773,2474,882,47126,1296,12294,1656,17538,1696,11411,1225,3561,757,2322,853,5206,1229,2368,842,1574,826,1264,526,0,267,0,267,1365,510,588,349,285,220,295,238,45,77,152,152,566,336,37,61,217,150,312,274,0,267,0,267,68,107,0,267,68,107,0,267,0,267,0,267
