GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Estimate; Same house 1 year ago: - Less than high school graduate,Margin of Error; Same house 1 year ago: - Less than high school graduate,Estimate; Same house 1 year ago: - High school graduate (includes equivalency),Margin of Error; Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Same house 1 year ago: - Some college or associate's degree,Margin of Error; Same house 1 year ago: - Some college or associate's degree,Estimate; Same house 1 year ago: - Bachelor's degree,Margin of Error; Same house 1 year ago: - Bachelor's degree,Estimate; Same house 1 year ago: - Graduate or professional degree,Margin of Error; Same house 1 year ago: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved from different county within same state:,Margin of Error; Moved from different county within same state:,Estimate; Moved from different county within same state: - Less than high school graduate,Margin of Error; Moved from different county within same state: - Less than high school graduate,Estimate; Moved from different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Moved from different county within same state: - Some college or associate's degree,Margin of Error; Moved from different county within same state: - Some college or associate's degree,Estimate; Moved from different county within same state: - Bachelor's degree,Margin of Error; Moved from different county within same state: - Bachelor's degree,Estimate; Moved from different county within same state: - Graduate or professional degree,Margin of Error; Moved from different county within same state: - Graduate or professional degree,Estimate; Moved from different state:,Margin of Error; Moved from different state:,Estimate; Moved from different state: - Less than high school graduate,Margin of Error; Moved from different state: - Less than high school graduate,Estimate; Moved from different state: - High school graduate (includes equivalency),Margin of Error; Moved from different state: - High school graduate (includes equivalency),Estimate; Moved from different state: - Some college or associate's degree,Margin of Error; Moved from different state: - Some college or associate's degree,Estimate; Moved from different state: - Bachelor's degree,Margin of Error; Moved from different state: - Bachelor's degree,Estimate; Moved from different state: - Graduate or professional degree,Margin of Error; Moved from different state: - Graduate or professional degree,Estimate; Moved from abroad:,Margin of Error; Moved from abroad:,Estimate; Moved from abroad: - Less than high school graduate,Margin of Error; Moved from abroad: - Less than high school graduate,Estimate; Moved from abroad: - High school graduate (includes equivalency),Margin of Error; Moved from abroad: - High school graduate (includes equivalency),Estimate; Moved from abroad: - Some college or associate's degree,Margin of Error; Moved from abroad: - Some college or associate's degree,Estimate; Moved from abroad: - Bachelor's degree,Margin of Error; Moved from abroad: - Bachelor's degree,Estimate; Moved from abroad: - Graduate or professional degree,Margin of Error; Moved from abroad: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",124834,950,13543,2002,34396,3024,43808,3253,22516,2602,10571,1520,107857,2699,11049,1802,28820,2822,38084,3063,20501,2464,9403,1376,7237,1821,731,371,2478,1089,2449,1020,790,404,789,760,4053,1517,1250,993,1007,517,1229,745,567,356,0,273,5558,2034,513,633,2091,1114,2046,1119,604,430,304,280,129,153,0,273,0,273,0,273,54,89,75,129
0500000US01015,01015,"Calhoun County, Alabama",76875,307,17045,2324,25222,2108,21548,1993,7847,1343,5213,1313,67263,2014,14517,1960,22734,2167,18480,1854,6625,1273,4907,1281,6898,1654,1931,773,1800,777,1887,874,1030,617,250,267,1187,505,491,329,287,212,305,241,48,78,56,92,1441,806,106,168,361,351,830,729,144,199,0,273,86,146,0,273,40,68,46,79,0,273,0,273
0500000US01051,01051,"Elmore County, Alabama",52597,649,7532,1421,15993,1981,17030,1634,7969,1342,4073,1018,45386,1574,6396,1406,14044,1933,14025,1531,7016,1071,3905,1001,3011,1072,583,626,858,602,1039,641,498,330,33,58,3183,1224,504,333,923,606,1342,956,414,402,0,273,981,523,49,67,168,214,588,429,41,66,135,170,36,63,0,273,0,273,36,63,0,273,0,273
0500000US01055,01055,"Etowah County, Alabama",71385,688,11449,1650,23436,1939,25651,2192,7584,1292,3265,912,62719,1909,9542,1434,20512,1903,23320,2118,6328,1219,3017,832,5241,1430,786,543,2042,884,1667,694,667,640,79,138,2389,991,715,565,696,477,553,387,327,327,98,171,1036,538,406,340,186,186,111,138,262,389,71,115,0,273,0,273,0,273,0,273,0,273,0,273
0500000US01069,01069,"Houston County, Alabama",67416,144,12435,1075,22248,1209,20633,1211,7635,784,4465,668,59610,1120,11210,995,19265,1176,18531,1201,6843,717,3761,608,4365,745,688,247,1955,532,1168,340,398,165,156,115,1489,542,326,265,456,267,357,176,76,60,274,247,1729,549,160,120,531,290,543,331,269,206,226,204,223,191,51,86,41,39,34,55,49,78,48,77
0500000US01073,01073,"Jefferson County, Alabama",447054,557,56725,4244,126228,5842,135165,5750,81949,4693,46987,3343,385822,5333,47566,3859,110855,5599,113774,5477,72228,4242,41399,3107,46663,4570,6996,1731,12234,2289,17438,2891,6606,1802,3389,987,7528,1914,1220,703,1360,595,2567,1070,1265,566,1116,532,6432,2000,943,588,1405,797,1300,562,1701,1046,1083,476,609,427,0,273,374,317,86,142,149,144,0,273
0500000US01081,01081,"Lee County, Alabama",72976,381,10910,1765,19170,1947,20597,1953,13289,1356,9010,967,63084,1858,9570,1530,16323,1779,17703,1851,11601,1343,7887,940,4845,1110,680,449,1259,598,1700,791,679,224,527,315,2184,973,411,395,763,514,528,321,359,328,123,107,2660,921,249,169,825,467,666,479,628,373,292,238,203,180,0,273,0,273,0,273,22,26,181,177
0500000US01083,01083,"Limestone County, Alabama",53517,832,10337,1903,17480,2090,15499,1907,7627,1208,2574,564,48012,1952,9262,1802,15977,2325,13547,1732,6810,1120,2416,574,2557,1119,612,412,947,725,560,385,438,425,0,273,2019,919,463,451,452,295,689,529,336,391,79,95,929,471,0,273,104,143,703,435,43,85,79,97,0,273,0,273,0,273,0,273,0,273,0,273
0500000US01089,01089,"Madison County, Alabama",216385,444,23327,3101,45719,3442,65496,3113,52856,3269,28987,2713,183519,3672,18952,3070,39887,2932,52377,3192,46827,3132,25476,2533,21041,2950,4104,1251,4059,1311,7863,1822,2977,1007,2038,730,3066,969,136,121,213,268,1533,718,953,506,231,291,7588,2046,135,145,1182,652,3530,1529,1632,753,1109,630,1171,623,0,273,378,371,193,188,467,374,133,155
