Category,Variable,Notes,,,samples
default,YEAR,,,,
,DATANUM,remove,,,
,SERIAL,,,,
,CBSERIAL,remove,,,
,HHWT,,,,
,GQ,,,,
,PERNUM,,,,
,PERWT,,,,
process,STATEFIP,,,,
,MET2013,optional,,,
,PUMA,,,,
,SEX,,,,
,AGE,,,,
,RACE,,,,
,HISPAN,,,,
education,SCHOOL,enrolled_3_4,,,
,EDUCD,young adult degree metrics,,,
,OCC,high_wage,,,
