"GEO_ID","NAME","B20017H_001E","B20017H_001M","B20017H_002E","B20017H_002M","B20017H_003E","B20017H_003M","B20017H_004E","B20017H_004M","B20017H_005E","B20017H_005M","B20017H_006E","B20017H_006M","B20017H_007E","B20017H_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US01081","Lee County, Alabama","31466","2069","38559","4826","56138","6325","9256","3502","25220","4704","44021","4630","9431","4109"
"0500000US01083","Limestone County, Alabama","35201","4083","47740","8130","57189","9774","9920","3812","24820","2755","32337","4173","8908","2666"
"0500000US01089","Madison County, Alabama","43810","4139","56528","6526","75555","5982","10509","1861","31979","3480","48735","3128","11084","1187"
"0500000US01095","Marshall County, Alabama","30020","3082","36170","6072","45676","5964","9587","5618","23487","2823","31935","3608","10550","1494"
"0500000US01097","Mobile County, Alabama","35485","1644","43089","5118","54229","4279","11837","2771","27718","2852","36476","2302","11168","1804"
"0500000US01101","Montgomery County, Alabama","42090","4218","51222","8251","65934","5656","11690","4254","32393","5991","48013","4484","11727","2088"
"0500000US01103","Morgan County, Alabama","32405","3016","40813","2824","51244","4644","10061","2995","26742","2154","36703","5621","9635","2654"
"0500000US01115","St. Clair County, Alabama","32843","5360","50437","4162","55417","3577","9237","4449","27039","3786","40427","3065","10864","2536"
"0500000US01117","Shelby County, Alabama","41597","2177","52159","4886","63483","5197","12356","4484","33219","3721","45733","2926","10121","1635"
"0500000US01121","Talladega County, Alabama","33813","5064","44113","6572","50922","3141","10511","2474","25694","4648","34625","5317","6603","3642"
"0500000US01125","Tuscaloosa County, Alabama","33602","3157","41856","3741","61843","4476","4909","1148","26262","3211","39994","3831","6618","1154"
"0500000US01127","Walker County, Alabama","33171","4122","41524","8052","51107","6906","15130","7467","26813","2881","32461","5497","9595","3699"
"0500000US02020","Anchorage Municipality, Alaska","50617","1389","55671","5304","67318","4477","25026","4848","45008","3980","58359","3298","15420","5428"
