GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US41017,41017,"Deschutes County, Oregon",114483,40,55575,197,211,216,1299,558,9564,1799,2827,927,18262,2056,4262,1241,12015,1770,7135,1387,58908,40,477,312,2118,959,10741,1663,1519,680,17888,2306,4504,1357,13890,1525,7771,1507
0500000US41019,41019,"Douglas County, Oregon",71833,197,34920,197,509,302,3675,889,9072,1265,2755,731,9995,1288,3230,822,3915,863,1769,534,36913,197,784,324,2775,813,10129,1360,1811,717,12067,1491,4540,886,2850,646,1957,612
0500000US41029,41029,"Jackson County, Oregon",130373,295,61956,178,698,416,4265,1052,15479,2094,5634,1287,14528,1636,4604,1077,10018,1503,6730,1249,68417,166,833,495,3736,1256,16755,2047,2659,809,18578,1666,6170,1200,12706,1462,6980,1377
0500000US41033,41033,"Josephine County, Oregon",56195,197,26723,197,444,331,2101,837,7921,1179,1836,603,7958,1082,2628,757,2157,533,1678,653,29472,197,406,259,2694,883,7957,1296,1357,578,10110,1061,2540,665,2263,687,2145,746
0500000US41035,41035,"Klamath County, Oregon",38557,72,18840,63,601,344,762,305,4595,968,1023,477,5661,828,2656,812,1744,575,1798,416,19717,38,272,222,1371,485,5018,1037,1237,656,5390,989,2092,647,2806,730,1531,497
0500000US41039,41039,"Lane County, Oregon",215156,183,103985,172,1761,863,6093,1038,19565,1785,5812,1194,31104,2601,8127,933,20152,2206,11371,1282,111171,69,1180,612,5913,1250,24209,2154,3759,963,31801,2297,11628,1497,20458,1907,12223,1470
0500000US41043,41043,"Linn County, Oregon",74286,150,35945,150,420,318,3844,964,9016,1447,2494,908,10798,1413,3940,925,3827,771,1606,532,38341,197,744,333,1909,617,10162,1331,1400,519,14191,1585,3398,866,5295,1060,1242,437
0500000US41047,41047,"Marion County, Oregon",160532,181,77096,197,2219,632,3498,811,16478,2235,5095,1029,21550,2214,6618,1046,13638,1702,8000,1338,83436,181,983,408,4677,1019,17712,2043,3997,1041,26728,2296,8440,1352,14431,1587,6468,947
0500000US41051,41051,"Multnomah County, Oregon",432014,358,211626,235,2536,875,9705,1583,25129,2209,8792,1211,51965,3878,15022,2112,59970,2912,38507,2617,220388,254,2328,872,9469,1569,29747,2776,5097,1043,48225,2718,14529,1950,66266,2821,44727,2672
0500000US41053,41053,"Polk County, Oregon",42788,197,20227,197,176,159,907,387,4180,831,1085,430,5379,858,2043,573,4192,911,2265,684,22561,197,192,201,943,501,5771,1008,406,244,7092,1104,1943,646,4223,882,1991,525
