"GEO_ID","NAME","B15002H_001E","B15002H_001M","B15002H_002E","B15002H_002M","B15002H_003E","B15002H_003M","B15002H_004E","B15002H_004M","B15002H_005E","B15002H_005M","B15002H_006E","B15002H_006M","B15002H_007E","B15002H_007M","B15002H_008E","B15002H_008M","B15002H_009E","B15002H_009M","B15002H_010E","B15002H_010M","B15002H_011E","B15002H_011M","B15002H_012E","B15002H_012M","B15002H_013E","B15002H_013M","B15002H_014E","B15002H_014M","B15002H_015E","B15002H_015M","B15002H_016E","B15002H_016M","B15002H_017E","B15002H_017M","B15002H_018E","B15002H_018M","B15002H_019E","B15002H_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US36119","Westchester County, New York","375728","598","178349","344","4263","1104","5527","1050","26336","2627","3739","809","21786","2047","11030","1482","49234","2890","56434","3183","197379","444","3845","767","6080","1272","31074","2768","2551","729","21287","2128","11665","1531","54530","3175","66347","3124"
"0500000US37109","Lincoln County, North Carolina","52589","55","25601","55","236","239","3032","998","6747","1449","1450","675","6124","1181","2021","611","4592","998","1399","574","26988","210","505","315","1404","658","6398","1008","2104","766","5277","1159","3460","789","5629","1024","2211","672"
"0500000US45035","Dorchester County, South Carolina","72364","760","35246","260","499","334","1318","589","6844","1259","2349","975","8887","1508","3750","1097","7846","1374","3753","730","37118","574","1000","812","1641","929","8478","1449","1971","847","7538","1397","5202","1199","6914","1519","4374","925"
"0500000US51650","Hampton city, Virginia","37415","163","18350","163","168","153","844","634","4179","885","724","401","4625","905","1897","628","3286","939","2627","664","19065","206","163","159","563","319","6497","1141","773","418","3798","931","1891","609","3561","1019","1819","555"
"0500000US04025","Yavapai County, Arizona","152252","211","72450","211","1228","604","4460","1334","13307","2002","4454","1151","21439","2358","7194","1704","12287","1989","8081","1216","79802","211","881","697","4477","1480","16332","2102","2779","852","24510","2641","7678","1540","14091","2114","9054","1645"
"0500000US21111","Jefferson County, Kentucky","381230","640","181235","363","4299","1080","10127","1638","33730","2633","9442","1203","37222","2831","14246","1931","42778","3041","29391","2306","199995","333","4884","1331","9269","1274","40666","3178","8811","1231","41457","2996","18446","2076","45065","3194","31397","2181"
"0500000US21151","Madison County, Kentucky","52052","125","24964","197","1199","588","1876","689","5374","990","1767","712","4661","868","1493","533","5293","1096","3301","830","27088","125","647","445","1922","741","6258","978","1221","420","5052","830","3638","964","4126","779","4224","1019"
"0500000US24009","Calvert County, Maryland","50292","119","24713","206","20","30","1204","533","6910","1204","809","469","5397","1031","2599","823","4386","827","3388","733","25579","119","0","206","916","449","5531","945","624","378","6124","1250","2751","754","5398","967","4235","920"
"0500000US34025","Monmouth County, New Jersey","341417","128","162609","39","1921","618","4758","1316","29564","2393","3014","929","27093","2045","12440","1441","53928","2960","29891","2291","178808","105","1904","674","3778","871","40089","2852","2256","787","28692","2542","13777","1690","54301","3382","34011","2790"
"0500000US37119","Mecklenburg County, North Carolina","374303","766","181153","362","2068","824","4145","1152","18131","1900","3862","1253","30159","2373","12150","1734","72776","3198","37862","2386","193150","565","2231","835","4813","1294","24279","2447","2289","808","34960","2361","17509","2193","74299","3663","32770","2358"
"0500000US39055","Geauga County, Ohio","62153","212","30337","112","1993","543","985","487","6370","1183","714","343","7271","1063","1228","494","6875","1024","4901","982","31816","101","1812","489","681","374","6732","1071","538","307","6769","1066","2309","702","8204","1289","4771","1070"
"0500000US41043","Linn County, Oregon","78337","157","37809","157","441","421","3502","1120","8797","1317","2067","766","11117","1219","3005","753","5873","1276","3007","869","40528","207","446","317","2659","933","9474","1453","1885","654","12502","1640","4359","1071","6156","1226","3047","833"
"0500000US42095","Northampton County, Pennsylvania","172461","176","82649","177","1768","712","3889","884","25447","1928","3674","955","14582","1444","6291","1161","17160","1578","9838","1364","89812","176","2101","768","3895","944","30649","1988","2228","646","13545","1538","9135","1341","17040","1672","11219","1550"
"0500000US48091","Comal County, Texas","73868","228","35831","228","244","236","729","370","6625","1481","1184","544","9356","1428","2477","927","9897","1444","5319","1017","38037","228","934","657","615","307","7453","1384","1643","1029","9293","1410","2227","737","11378","1630","4494","942"
"0500000US48361","Orange County, Texas","46835","228","22696","228","463","305","2427","934","7853","1553","1905","679","5037","1174","2081","796","2264","768","666","507","24139","228","385","373","2603","920","7738","1343","1290","604","5420","1012","2311","823","3328","1047","1064","681"
"0500000US48497","Wise County, Texas","37186","228","18218","228","255","176","989","388","5900","1072","1172","413","3727","670","1573","872","4005","1047","597","459","18968","228","109","140","922","584","5006","992","618","350","5897","1145","1701","627","3255","825","1460","716"
"0500000US72021","Bayamón Municipio, Puerto Rico","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US72137","Toa Baja Municipio, Puerto Rico","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US06111","Ventura County, California","294003","101","142857","79","1373","595","4127","1064","22748","2318","2342","536","34297","2433","15577","1855","38051","2679","24342","1885","151146","61","996","399","3869","1018","23420","2231","2504","759","39712","2960","17973","2394","39297","2430","23375","2120"
"0500000US13135","Gwinnett County, Georgia","241752","825","116921","577","1860","904","4655","1234","19752","2489","3867","897","22599","2364","8711","1625","37141","3085","18336","2169","124831","464","1606","1005","5349","1832","24390","2504","3422","1178","26852","2289","11776","1843","31231","2955","20205","2386"
"0500000US15007","Kauai County, Hawaii","17574","326","8697","238","110","131","185","159","1590","587","694","363","2147","592","1015","339","1852","464","1104","389","8877","267","10","20","331","283","1365","418","409","337","1891","491","1049","496","2585","740","1237","431"
"0500000US19013","Black Hawk County, Iowa","71175","112","34693","163","633","365","1880","662","9835","1212","1758","506","6414","956","3975","800","7513","1122","2685","718","36482","112","548","315","1535","636","8947","1019","1849","628","7969","1091","5121","1016","6820","1052","3693","885"
"0500000US21015","Boone County, Kentucky","77902","197","37690","197","855","429","488","244","10450","1473","2367","1081","9137","1474","2924","682","7500","1252","3969","947","40212","197","751","572","1704","667","10009","1595","2033","893","8694","1436","3348","864","8455","1388","5218","1293"
"0500000US22051","Jefferson Parish, Louisiana","174513","353","82285","353","2167","775","5048","1082","17462","1848","5753","1481","18803","1567","4408","951","19754","1839","8890","1332","92228","217","3230","880","5372","1265","24254","2089","3880","1000","19028","2086","5657","874","20723","2099","10084","1452"
"0500000US24031","Montgomery County, Maryland","339800","995","162466","427","1322","519","2076","690","10097","1617","1951","673","18870","1904","6805","1304","51347","2801","69998","2953","177334","778","1180","543","2872","938","14930","1798","1087","439","20300","1996","9976","1358","58740","2602","68249","2938"
"0500000US29510","St. Louis city, Missouri","108276","121","54908","71","1046","501","2140","580","7681","1254","1655","546","10183","1514","2963","772","17529","1629","11711","1294","53368","100","879","434","2494","878","7745","1129","1635","548","8840","1352","3861","819","15228","1582","12686","1501"
"0500000US34013","Essex County, New Jersey","175962","1498","84355","873","3226","867","2480","917","13377","1945","1432","470","9413","1543","2969","948","26233","2279","25225","1976","91607","873","2639","860","1830","694","17243","1983","522","254","9250","1658","4448","960","30907","1972","24768","1918"
"0500000US36113","Warren County, New York","45580","201","21961","201","388","235","1397","574","5966","1007","1810","703","3740","638","2000","646","4103","780","2557","635","23619","201","268","187","1690","601","5920","1028","1128","470","3836","810","3403","802","3541","865","3833","711"
"0500000US39081","Jefferson County, Ohio","43376","60","20743","40","423","205","1932","559","10108","841","380","223","3479","698","1881","439","1437","367","1103","340","22633","21","725","364","1531","644","9388","965","622","282","3466","664","2964","624","2739","602","1198","449"
"0500000US51800","Suffolk city, Virginia","32435","96","15923","96","485","322","812","450","2781","598","957","403","3515","592","1094","375","3454","639","2825","524","16512","206","55","72","1037","364","3548","676","225","169","3871","790","2216","612","3123","663","2437","619"
"0500000US53033","King County, Washington","1007160","1157","506120","483","2665","753","10015","1853","60647","3369","13791","2008","93628","4696","39357","3331","177039","6151","108978","4546","501040","817","4111","1481","8253","1608","59931","3615","7073","1273","98327","4237","39545","3066","170965","5323","112835","4777"
"0500000US54033","Harrison County, West Virginia","45846","201","21950","201","385","282","1911","679","8596","1007","1626","466","3838","819","1281","588","2648","708","1665","582","23896","201","228","190","2562","801","7555","1154","1764","595","3843","772","2472","751","2974","768","2498","834"
"0500000US02170","Matanuska-Susitna Borough, Alaska","57773","164","30188","147","526","261","1335","399","7495","783","2539","586","8689","801","3042","589","3964","561","2598","605","27585","65","334","241","1213","332","6433","910","1487","388","7341","915","2968","532","4811","790","2998","584"
"0500000US09007","Middlesex County, Connecticut","103402","42","49425","42","963","426","1857","650","9779","1375","1136","337","9577","1543","3944","836","12533","1343","9636","1354","53977","207","571","317","1078","463","9775","1395","670","378","9910","1598","6576","1296","11693","1413","13704","1684"
"0500000US12023","Columbia County, Florida","36952","259","18429","113","995","581","1535","601","4861","1028","2126","807","5022","1091","1947","719","1159","373","784","489","18523","177","304","232","1608","689","4999","898","1571","681","4425","939","2323","823","2044","612","1249","585"
"0500000US13247","Rockdale County, Georgia","21854","525","10567","344","568","361","238","227","2303","736","544","391","2388","823","639","475","2882","808","1005","450","11287","377","221","308","850","438","2653","768","561","365","3335","957","603","443","1888","634","1176","505"
"0500000US16005","Bannock County, Idaho","47625","178","23208","160","440","304","893","404","5432","1009","1298","570","6684","1207","2440","741","3690","706","2331","807","24417","73","399","369","1344","603","4798","751","847","445","6217","1035","3025","727","5690","880","2097","605"
"0500000US30029","Flathead County, Montana","68487","23","33585","172","960","570","805","434","9604","1503","1938","814","6554","1144","2912","797","7450","1262","3362","888","34902","23","392","348","1289","518","7617","1283","1808","880","9112","1480","4164","1061","6882","1353","3638","756"
"0500000US35001","Bernalillo County, New Mexico","207387","557","101032","262","579","307","2391","694","13822","1579","3079","899","21189","2016","8204","1293","25749","2142","26019","2123","106355","410","458","290","1819","702","15506","1966","2676","791","23633","2143","8468","1259","27728","2732","26067","2184"
"0500000US37019","Brunswick County, North Carolina","92472","353","43113","353","347","252","2195","781","9510","1262","1884","619","9864","1130","4226","862","8820","1402","6267","1058","49359","210","717","460","3047","1029","10183","1431","3222","1011","9383","1533","6633","1276","11298","1578","4876","818"
"0500000US37127","Nash County, North Carolina","34948","164","16677","210","142","162","1602","708","3409","799","950","551","3768","867","1821","792","3730","875","1255","501","18271","164","538","370","489","339","4401","943","265","185","3900","955","2695","790","4691","1038","1292","544"
"0500000US37193","Wilkes County, North Carolina","44325","761","21229","746","1340","569","2975","968","4272","886","1584","734","5128","1107","2506","852","2222","767","1202","502","23096","96","1013","639","2828","839","5362","1076","1360","688","5784","1112","2677","747","2829","780","1243","561"
"0500000US39061","Hamilton County, Ohio","381958","242","183634","155","3399","885","8617","1236","35573","2395","6256","1104","33878","2621","14622","2129","50319","2497","30970","2396","198324","149","3450","793","8592","1364","43311","3253","4454","1027","33152","2565","16925","1899","54100","2684","34340","2332"
"0500000US42029","Chester County, Pennsylvania","293629","676","141513","324","1749","704","3298","823","26977","2259","3139","681","20542","2045","8369","1270","45838","2446","31601","2086","152116","364","1495","514","2934","907","29512","2073","1757","563","21734","1849","10207","1526","52732","2524","31745","2290"
"0500000US45063","Lexington County, South Carolina","159692","156","76140","156","1584","742","4863","1149","17144","2127","4944","1211","17596","1781","6619","1010","16354","1721","7036","1176","83552","214","1140","459","4263","1457","19725","2072","2419","693","18812","1887","9754","1588","17814","1907","9625","1537"
"0500000US51041","Chesterfield County, Virginia","153296","179","72837","136","1293","508","3858","1085","12442","1333","2366","641","14543","1871","4343","992","21206","1840","12786","1591","80459","116","1464","806","3085","995","15056","1629","2442","944","15108","1609","5888","1032","23529","1950","13887","1323"
"0500000US05085","Lonoke County, Arkansas","42508","276","20317","276","945","610","1828","744","7186","967","1084","496","4615","911","1956","595","1888","586","815","424","22191","201","718","436","1429","500","7160","1141","1205","467","5198","1075","2385","745","2746","743","1350","534"
"0500000US13045","Carroll County, Georgia","56029","613","26816","278","956","545","3720","1224","6345","1084","1885","629","6201","1273","1931","921","3847","1040","1931","666","29213","343","779","407","2074","928","7342","1304","1647","561","7192","1547","2738","860","4919","1055","2522","703"
"0500000US13139","Hall County, Georgia","89731","169","43047","226","1393","557","3968","1073","8566","1253","2120","693","10179","1378","2992","780","9061","1428","4768","1027","46684","169","1114","375","3566","863","10114","1422","2116","727","11178","1357","3896","973","9028","1180","5672","1015"
"0500000US18085","Kosciusko County, Indiana","47466","1092","23030","751","979","470","1302","585","6600","1247","1691","610","5543","996","1783","780","2805","695","2327","591","24436","426","858","481","2029","633","7234","957","1718","698","5632","982","2017","669","3543","823","1405","478"
"0500000US18163","Vanderburgh County, Indiana","108377","198","51661","198","1212","499","4267","1061","13912","1865","3010","1093","10760","1781","5167","1256","9546","1466","3787","962","56716","198","976","463","3391","891","16260","1686","2750","864","11917","1667","5433","1188","10383","1513","5606","1125"
"0500000US34019","Hunterdon County, New Jersey","78346","22","38039","210","771","445","701","340","7235","1106","720","377","6282","1093","2742","777","11362","1395","8226","1302","40307","22","283","202","888","354","7338","923","885","488","6440","1085","2372","630","13792","1393","8309","1199"
