"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Jefferson County, AL"	"01073"	"2007"	"2007"	113
	"Jefferson County, AL"	"01073"	"2008"	"2008"	83
	"Jefferson County, AL"	"01073"	"2009"	"2009"	86
	"Jefferson County, AL"	"01073"	"2010"	"2010"	51
	"Jefferson County, AL"	"01073"	"2011"	"2011"	59
	"Jefferson County, AL"	"01073"	"2012"	"2012"	46
	"Jefferson County, AL"	"01073"	"2013"	"2013"	39
	"Jefferson County, AL"	"01073"	"2014"	"2014"	66
	"Jefferson County, AL"	"01073"	"2015"	"2015"	53
	"Jefferson County, AL"	"01073"	"2016"	"2016"	51
	"Jefferson County, AL"	"01073"	"2017"	"2017"	48
	"Jefferson County, AL"	"01073"	"2018"	"2018"	51
	"Jefferson County, AL"	"01073"	"2019"	"2019"	61
	"Jefferson County, AL"	"01073"	"2020"	"2020"	54
	"Duval County, FL"	"12031"	"2007"	"2007"	135
	"Duval County, FL"	"12031"	"2008"	"2008"	139
	"Duval County, FL"	"12031"	"2009"	"2009"	116
	"Duval County, FL"	"12031"	"2010"	"2010"	102
	"Duval County, FL"	"12031"	"2011"	"2011"	82
	"Duval County, FL"	"12031"	"2012"	"2012"	80
	"Duval County, FL"	"12031"	"2013"	"2013"	85
	"Duval County, FL"	"12031"	"2014"	"2014"	88
	"Duval County, FL"	"12031"	"2015"	"2015"	79
	"Duval County, FL"	"12031"	"2016"	"2016"	113
	"Duval County, FL"	"12031"	"2017"	"2017"	108
	"Duval County, FL"	"12031"	"2018"	"2018"	112
	"Duval County, FL"	"12031"	"2019"	"2019"	123
	"Duval County, FL"	"12031"	"2020"	"2020"	134
	"Marion County, IN"	"18097"	"2007"	"2007"	334
	"Marion County, IN"	"18097"	"2008"	"2008"	288
	"Marion County, IN"	"18097"	"2009"	"2009"	296
	"Marion County, IN"	"18097"	"2010"	"2010"	245
	"Marion County, IN"	"18097"	"2011"	"2011"	208
	"Marion County, IN"	"18097"	"2012"	"2012"	208
	"Marion County, IN"	"18097"	"2013"	"2013"	221
	"Marion County, IN"	"18097"	"2014"	"2014"	208
	"Marion County, IN"	"18097"	"2015"	"2015"	226
	"Marion County, IN"	"18097"	"2016"	"2016"	179
	"Marion County, IN"	"18097"	"2017"	"2017"	206
	"Marion County, IN"	"18097"	"2018"	"2018"	215
	"Marion County, IN"	"18097"	"2019"	"2019"	218
	"Marion County, IN"	"18097"	"2020"	"2020"	219
	"Jefferson County, KY"	"21111"	"2007"	"2007"	91
	"Jefferson County, KY"	"21111"	"2008"	"2008"	93
	"Jefferson County, KY"	"21111"	"2009"	"2009"	83
	"Jefferson County, KY"	"21111"	"2010"	"2010"	85
	"Jefferson County, KY"	"21111"	"2011"	"2011"	62
	"Jefferson County, KY"	"21111"	"2012"	"2012"	61
	"Jefferson County, KY"	"21111"	"2013"	"2013"	63
	"Jefferson County, KY"	"21111"	"2014"	"2014"	44
	"Jefferson County, KY"	"21111"	"2015"	"2015"	58
	"Jefferson County, KY"	"21111"	"2016"	"2016"	64
	"Jefferson County, KY"	"21111"	"2017"	"2017"	63
	"Jefferson County, KY"	"21111"	"2018"	"2018"	76
	"Jefferson County, KY"	"21111"	"2019"	"2019"	65
	"Jefferson County, KY"	"21111"	"2020"	"2020"	82
	"Kent County, MI"	"26081"	"2007"	"2007"	228
	"Kent County, MI"	"26081"	"2008"	"2008"	229
	"Kent County, MI"	"26081"	"2009"	"2009"	227
	"Kent County, MI"	"26081"	"2010"	"2010"	190
	"Kent County, MI"	"26081"	"2011"	"2011"	197
	"Kent County, MI"	"26081"	"2012"	"2012"	202
	"Kent County, MI"	"26081"	"2013"	"2013"	142
	"Kent County, MI"	"26081"	"2014"	"2014"	150
	"Kent County, MI"	"26081"	"2015"	"2015"	124
	"Kent County, MI"	"26081"	"2016"	"2016"	139
	"Kent County, MI"	"26081"	"2017"	"2017"	131
	"Kent County, MI"	"26081"	"2018"	"2018"	115
	"Kent County, MI"	"26081"	"2019"	"2019"	110
	"Kent County, MI"	"26081"	"2020"	"2020"	99
	"Jackson County, MO"	"29095"	"2007"	"2007"	235
	"Jackson County, MO"	"29095"	"2008"	"2008"	240
	"Jackson County, MO"	"29095"	"2009"	"2009"	183
	"Jackson County, MO"	"29095"	"2010"	"2010"	182
	"Jackson County, MO"	"29095"	"2011"	"2011"	159
	"Jackson County, MO"	"29095"	"2012"	"2012"	149
	"Jackson County, MO"	"29095"	"2013"	"2013"	149
	"Jackson County, MO"	"29095"	"2014"	"2014"	126
	"Jackson County, MO"	"29095"	"2015"	"2015"	115
	"Jackson County, MO"	"29095"	"2016"	"2016"	135
	"Jackson County, MO"	"29095"	"2017"	"2017"	121
	"Jackson County, MO"	"29095"	"2018"	"2018"	118
	"Jackson County, MO"	"29095"	"2019"	"2019"	95
	"Jackson County, MO"	"29095"	"2020"	"2020"	100
	"St. Louis County, MO"	"29189"	"2007"	"2007"	46
	"St. Louis County, MO"	"29189"	"2008"	"2008"	35
	"St. Louis County, MO"	"29189"	"2009"	"2009"	41
	"St. Louis County, MO"	"29189"	"2010"	"2010"	29
	"St. Louis County, MO"	"29189"	"2011"	"2011"	34
	"St. Louis County, MO"	"29189"	"2012"	"2012"	33
	"St. Louis County, MO"	"29189"	"2013"	"2013"	31
	"St. Louis County, MO"	"29189"	"2014"	"2014"	28
	"St. Louis County, MO"	"29189"	"2015"	"2015"	17
	"St. Louis County, MO"	"29189"	"2016"	"2016"	24
	"St. Louis County, MO"	"29189"	"2017"	"2017"	28
	"St. Louis County, MO"	"29189"	"2018"	"2018"	41
	"St. Louis County, MO"	"29189"	"2019"	"2019"	27
	"St. Louis County, MO"	"29189"	"2020"	"2020"	26
	"St. Louis city, MO"	"29510"	"2007"	"2007"	35
	"St. Louis city, MO"	"29510"	"2008"	"2008"	32
	"St. Louis city, MO"	"29510"	"2009"	"2009"	21
	"St. Louis city, MO"	"29510"	"2010"	"2010"	25
	"St. Louis city, MO"	"29510"	"2011"	"2011"	25
	"St. Louis city, MO"	"29510"	"2012"	"2012"	19
	"St. Louis city, MO"	"29510"	"2013"	"2013"	26
	"St. Louis city, MO"	"29510"	"2014"	"2014"	17
	"St. Louis city, MO"	"29510"	"2015"	"2015"	15
	"St. Louis city, MO"	"29510"	"2016"	"2016"	15
	"St. Louis city, MO"	"29510"	"2017"	"2017"	17
	"St. Louis city, MO"	"29510"	"2018"	"2018"	21
	"St. Louis city, MO"	"29510"	"2019"	"2019"	14
	"St. Louis city, MO"	"29510"	"2020"	"2020"	14
	"Douglas County, NE"	"31055"	"2007"	"2007"	213
	"Douglas County, NE"	"31055"	"2008"	"2008"	227
	"Douglas County, NE"	"31055"	"2009"	"2009"	231
	"Douglas County, NE"	"31055"	"2010"	"2010"	194
