GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",103091,471,49429,471,1409,651,4172,1122,13945,1693,11653,1730,3460,973,9730,1386,5060,1003,53662,267,702,333,3556,936,16905,1722,13300,1974,4593,976,9460,1302,5146,1164
0500000US01015,01015,"Calhoun County, Alabama",59685,267,28318,267,1388,545,4192,1073,9057,1081,6888,1125,2038,597,2390,716,2365,757,31367,267,1931,600,4636,983,12442,1365,5646,981,2080,741,2843,740,1789,575
0500000US01043,01043,"Cullman County, Alabama",52280,130,25162,60,2543,784,5187,1188,6990,909,4468,983,2697,952,2149,697,1128,489,27118,70,2303,750,4184,1076,9005,1388,5200,1000,2641,923,2260,710,1525,517
0500000US01049,01049,"DeKalb County, Alabama",41465,267,19750,267,1682,565,4156,996,6974,1233,3378,910,843,479,1450,586,1267,552,21715,267,1925,678,3134,749,7375,1128,4790,1085,1767,733,1074,814,1650,522
0500000US01051,01051,"Elmore County, Alabama",39235,267,19169,267,1083,447,2069,683,6073,829,4002,913,1117,432,3446,853,1379,472,20066,267,870,424,1859,614,7297,988,3746,857,1312,504,3587,815,1395,469
0500000US01055,01055,"Etowah County, Alabama",59401,267,27911,267,2642,657,3262,773,8757,988,7137,1015,1572,581,2707,615,1834,595,31490,267,2197,644,3198,840,11006,1139,7256,1124,3500,910,2473,676,1860,596
0500000US01069,01069,"Houston County, Alabama",48268,267,22549,267,694,200,2283,449,7038,733,6025,662,1416,345,3281,488,1812,396,25719,267,1022,278,3458,636,8409,932,5639,681,2047,398,3199,611,1945,382
0500000US01073,01073,"Jefferson County, Alabama",253240,162,118807,267,3891,1018,8388,1226,27078,2296,25991,2267,6039,1163,29109,2156,18311,1787,134433,162,3506,883,10081,1510,39909,2587,28975,2266,7215,1022,26785,2012,17962,1901
0500000US01077,01077,"Lauderdale County, Alabama",53458,267,25232,267,1363,552,3458,862,9855,1333,4871,1055,491,329,2886,671,2308,607,28226,267,1482,605,3571,911,10138,1379,5221,919,1730,479,3902,795,2182,625
