SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,HOM,N,14,16,87.5,N,15,15,100.0
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETW,N,271,288,94.1,N,239,246,97.2
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETP,,,0,,,,0,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETO,Y,,5,,Y,,3,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETI,,,0,,,,0,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETH,N,12,14,85.7,Y,,8,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETB,Y,,2,,Y,,1,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ETA,,,0,,,,0,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,ELM,Y,,2,,Y,,1,
20172018,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,CSG,N,35,43,81.4,N,27,31,87.1
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ACD,N,21,29,72.4,N,17,22,77.3
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,TST,N,351,385,91.2,N,313,340,92.1
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,SXF,N,178,192,92.7,N,154,166,92.8
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,MIG,Y,,4,,Y,,2,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,LUP,N,159,175,90.9,N,139,152,91.4
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,LUN,N,192,210,91.4,N,174,188,92.6
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,LEP,Y,,2,,Y,,1,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,LEN,N,349,383,91.1,N,312,339,92.0
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,HOM,N,17,19,89.5,N,17,18,94.4
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETW,N,329,359,91.6,N,297,322,92.2
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETP,,,0,,,,0,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETO,Y,,5,,Y,,5,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETI,,,0,,,,0,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETH,N,14,18,77.8,N,12,12,100.0
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETB,Y,,3,,Y,,1,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ETA,,,0,,,,0,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ELM,Y,,2,,Y,,1,
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,CSG,N,40,51,78.4,N,33,40,82.5
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,ACO,N,330,356,92.7,N,296,318,93.1
20172018,005,BARREN,021,Barren County,,---District Total---,021,,,GRREC,902,SXM,N,173,193,89.6,N,159,174,91.4
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,MIG,Y,,1,,Y,,3,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,SXF,N,60,62,96.8,N,73,80,91.3
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,SXM,N,75,79,94.9,N,68,73,93.2
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,TST,N,135,141,95.7,N,141,153,92.2
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ACD,N,14,16,87.5,N,8,10,80.0
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ACO,N,121,125,96.8,N,133,143,93.0
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,CSG,N,17,19,89.5,N,13,16,81.3
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ELM,,,0,,Y,,1,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ETA,,,0,,,,0,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ETB,Y,,1,,Y,,3,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ETH,Y,,1,,Y,,2,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ETI,,,0,,,,0,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ETO,Y,,2,,Y,,1,
20172018,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,ETP,,,0,,,,0,
