"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3460	589225	587.2
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4226	618004	683.8
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	262	585457	44.8
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	316	613744	51.5
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	160	590178	27.1
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	245	616690	39.7
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	142	603407	23.5
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	172	632136	27.2
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	106	626651	16.9
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	130	657168	19.8
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	98	634021	15.5
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	131	664314	19.7
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	87	639526	13.6
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	108	671318	16.1
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	91	656993	13.9
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	126	686066	18.4
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	95	655848	14.5
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	102	687551	14.8
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	644581	13.3
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	111	677690	16.4
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	91	631679	14.4
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	110	664139	16.6
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	83	618114	13.4
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	135	648136	20.8
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	95	610251	15.6
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	108	640742	16.9
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	96	606242	15.8
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	172	636530	27.0
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	103	603478	17.1
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	201	634697	31.7
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	133	589938	22.5
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	255	622044	41.0
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	186	600931	31.0
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	405	641828	63.1
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	256	597598	42.8
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	547	646413	84.6
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	230	590216	39.0
	"1999"	"1999"	"18 years"	"18"	"Male"	"M"	665	632373	105.2
	"1999"	"1999"	"19 years"	"19"	"Female"	"F"	260	605756	42.9
	"1999"	"1999"	"19 years"	"19"	"Male"	"M"	764	645634	118.3
	"1999"	"1999"	"20 years"	"20"	"Female"	"F"	245	580043	42.2
	"1999"	"1999"	"20 years"	"20"	"Male"	"M"	794	622103	127.6
	"1999"	"1999"	"21 years"	"21"	"Female"	"F"	239	561792	42.5
	"1999"	"1999"	"21 years"	"21"	"Male"	"M"	773	597619	129.3
	"1999"	"1999"	"22 years"	"22"	"Female"	"F"	211	558909	37.8
	"1999"	"1999"	"22 years"	"22"	"Male"	"M"	717	591605	121.2
	"1999"	"1999"	"23 years"	"23"	"Female"	"F"	236	548216	43.0
	"1999"	"1999"	"23 years"	"23"	"Male"	"M"	707	575411	122.9
	"1999"	"1999"	"24 years"	"24"	"Female"	"F"	231	569025	40.6
	"1999"	"1999"	"24 years"	"24"	"Male"	"M"	675	592960	113.8
	"1999"	"1999"	"25 years"	"25"	"Female"	"F"	261	572751	45.6
	"1999"	"1999"	"25 years"	"25"	"Male"	"M"	596	595321	100.1
	"1999"	"1999"	"26 years"	"26"	"Female"	"F"	252	581525	43.3
	"1999"	"1999"	"26 years"	"26"	"Male"	"M"	695	598076	116.2
	"1999"	"1999"	"27 years"	"27"	"Female"	"F"	278	617678	45.0
	"1999"	"1999"	"27 years"	"27"	"Male"	"M"	712	634410	112.2
	"1999"	"1999"	"28 years"	"28"	"Female"	"F"	318	653889	48.6
	"1999"	"1999"	"28 years"	"28"	"Male"	"M"	743	667239	111.4
	"1999"	"1999"	"29 years"	"29"	"Female"	"F"	328	664627	49.4
	"1999"	"1999"	"29 years"	"29"	"Male"	"M"	781	678097	115.2
	"1999"	"1999"	"30 years"	"30"	"Female"	"F"	337	668567	50.4
	"1999"	"1999"	"30 years"	"30"	"Male"	"M"	793	690717	114.8
