"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3472	591009	587.5
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4245	620031	684.6
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	264	587336	44.9
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	318	615704	51.6
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	162	592195	27.4
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	248	618561	40.1
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	142	605232	23.5
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	172	634052	27.1
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	108	628446	17.2
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	132	659126	20.0
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	98	635898	15.4
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	132	666202	19.8
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	88	641363	13.7
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	107	673194	15.9
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	92	658822	14.0
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	126	688007	18.3
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	95	657749	14.4
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	105	689500	15.2
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	646633	13.3
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	110	679808	16.2
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	91	633515	14.4
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	111	666135	16.7
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	82	619738	13.2
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	136	649967	20.9
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	94	612165	15.4
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	109	642841	17.0
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	96	607971	15.8
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	174	638409	27.3
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	104	605411	17.2
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	198	636667	31.1
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	135	591758	22.8
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	257	623919	41.2
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	185	602759	30.7
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	405	643747	62.9
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	255	599428	42.5
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	549	648351	84.7
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	232	591901	39.2
	"1999"	"1999"	"18 years"	"18"	"Male"	"M"	670	633996	105.7
	"1999"	"1999"	"19 years"	"19"	"Female"	"F"	258	607326	42.5
	"1999"	"1999"	"19 years"	"19"	"Male"	"M"	767	647338	118.5
	"1999"	"1999"	"20 years"	"20"	"Female"	"F"	244	581751	41.9
	"1999"	"1999"	"20 years"	"20"	"Male"	"M"	794	623880	127.3
	"1999"	"1999"	"21 years"	"21"	"Female"	"F"	239	563343	42.4
	"1999"	"1999"	"21 years"	"21"	"Male"	"M"	775	599124	129.4
	"1999"	"1999"	"22 years"	"22"	"Female"	"F"	211	560376	37.7
	"1999"	"1999"	"22 years"	"22"	"Male"	"M"	714	593253	120.4
	"1999"	"1999"	"23 years"	"23"	"Female"	"F"	235	549942	42.7
	"1999"	"1999"	"23 years"	"23"	"Male"	"M"	707	577251	122.5
	"1999"	"1999"	"24 years"	"24"	"Female"	"F"	231	570657	40.5
	"1999"	"1999"	"24 years"	"24"	"Male"	"M"	677	594577	113.9
	"1999"	"1999"	"25 years"	"25"	"Female"	"F"	260	574317	45.3
	"1999"	"1999"	"25 years"	"25"	"Male"	"M"	595	597077	99.7
	"1999"	"1999"	"26 years"	"26"	"Female"	"F"	254	583006	43.6
	"1999"	"1999"	"26 years"	"26"	"Male"	"M"	692	599469	115.4
	"1999"	"1999"	"27 years"	"27"	"Female"	"F"	280	619039	45.2
	"1999"	"1999"	"27 years"	"27"	"Male"	"M"	715	635953	112.4
	"1999"	"1999"	"28 years"	"28"	"Female"	"F"	319	655203	48.7
	"1999"	"1999"	"28 years"	"28"	"Male"	"M"	741	668671	110.8
	"1999"	"1999"	"29 years"	"29"	"Female"	"F"	328	666099	49.2
	"1999"	"1999"	"29 years"	"29"	"Male"	"M"	785	679606	115.5
	"1999"	"1999"	"30 years"	"30"	"Female"	"F"	334	670139	49.8
	"1999"	"1999"	"30 years"	"30"	"Male"	"M"	792	692354	114.4
	"1999"	"1999"	"31 years"	"31"	"Female"	"F"	372	630455	59.0
	"1999"	"1999"	"31 years"	"31"	"Male"	"M"	842	643079	130.9
	"1999"	"1999"	"32 years"	"32"	"Female"	"F"	449	644714	69.6
	"1999"	"1999"	"32 years"	"32"	"Male"	"M"	931	657737	141.5
	"1999"	"1999"	"33 years"	"33"	"Female"	"F"	460	647537	71.0
	"1999"	"1999"	"33 years"	"33"	"Male"	"M"	999	658350	151.7
	"1999"	"1999"	"34 years"	"34"	"Female"	"F"	492	682638	72.1
	"1999"	"1999"	"34 years"	"34"	"Male"	"M"	1091	695818	156.8
	"1999"	"1999"	"35 years"	"35"	"Female"	"F"	530	715740	74.0
	"1999"	"1999"	"35 years"	"35"	"Male"	"M"	1156	731039	158.1
	"1999"	"1999"	"36 years"	"36"	"Female"	"F"	666	709535	93.9
	"1999"	"1999"	"36 years"	"36"	"Male"	"M"	1239	710414	174.4
