"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3460	590350	586.1
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4237	619181	684.3
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	263	586871	44.8
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	319	615008	51.9
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	160	591487	27.1
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	245	617963	39.6
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	144	604622	23.8
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	172	633380	27.2
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	107	627714	17.0
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	131	658456	19.9
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	97	635288	15.3
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	132	665507	19.8
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	87	640697	13.6
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	110	672547	16.4
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	91	658232	13.8
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	127	687435	18.5
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	96	657187	14.6
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	103	688902	15.0
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	645988	13.3
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	109	679037	16.1
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	91	632875	14.4
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	111	665485	16.7
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	82	619363	13.2
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	134	649507	20.6
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	94	611723	15.4
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	109	642296	17.0
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	96	607473	15.8
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	173	637772	27.1
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	103	604786	17.0
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	198	636078	31.1
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	134	591184	22.7
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	254	623328	40.7
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	185	602360	30.7
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	405	643157	63.0
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	255	598959	42.6
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	549	647841	84.7
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	233	591417	39.4
