"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3492	592450	589.4
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4288	621182	690.3
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	264	588684	44.8
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	318	617036	51.5
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	160	593314	27.0
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	246	620024	39.7
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	143	606580	23.6
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	171	635523	26.9
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	107	629835	17.0
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	131	660511	19.8
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	98	637280	15.4
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	132	667686	19.8
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	88	642812	13.7
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	109	674753	16.2
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	93	660421	14.1
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	127	689639	18.4
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	95	659353	14.4
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	103	691301	14.9
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	648343	13.3
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	110	681349	16.1
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	92	635267	14.5
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	111	668061	16.6
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	84	621742	13.5
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	135	651974	20.7
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	96	614056	15.6
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	109	644758	16.9
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	97	609908	15.9
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	173	640239	27.0
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	103	607204	17.0
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	199	638659	31.2
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	134	593485	22.6
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	254	625841	40.6
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	186	604590	30.8
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	407	645646	63.0
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	256	601404	42.6
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	548	650147	84.3
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	234	593469	39.4
	"1999"	"1999"	"18 years"	"18"	"Male"	"M"	667	635762	104.9
	"1999"	"1999"	"19 years"	"19"	"Female"	"F"	257	609036	42.2
	"1999"	"1999"	"19 years"	"19"	"Male"	"M"	769	648972	118.5
	"1999"	"1999"	"20 years"	"20"	"Female"	"F"	246	583358	42.2
