"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3472	590772	587.7
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4243	619689	684.7
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	265	587273	45.1
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	321	615394	52.2
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	163	591810	27.5
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	248	618461	40.1
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	142	604932	23.5
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	174	633626	27.5
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	108	627956	17.2
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	130	658687	19.7
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	98	635513	15.4
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	132	665810	19.8
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	89	641051	13.9
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	107	672949	15.9
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	91	658545	13.8
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	126	687666	18.3
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	96	657322	14.6
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	103	689154	14.9
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	646147	13.3
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	111	679141	16.3
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	92	633176	14.5
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	110	665585	16.5
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	82	619463	13.2
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	135	649498	20.8
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	95	611863	15.5
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	110	642277	17.1
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	96	607685	15.8
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	173	637963	27.1
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	103	605083	17.0
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	199	636330	31.3
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	133	591433	22.5
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	253	623525	40.6
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	187	602565	31.0
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	406	643534	63.1
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	257	599179	42.9
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	552	648087	85.2
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	234	591577	39.6
	"1999"	"1999"	"18 years"	"18"	"Male"	"M"	670	633850	105.7
	"1999"	"1999"	"19 years"	"19"	"Female"	"F"	258	606923	42.5
	"1999"	"1999"	"19 years"	"19"	"Male"	"M"	767	646974	118.6
	"1999"	"1999"	"20 years"	"20"	"Female"	"F"	244	581387	42.0
	"1999"	"1999"	"20 years"	"20"	"Male"	"M"	793	623664	127.2
	"1999"	"1999"	"21 years"	"21"	"Female"	"F"	244	562945	43.3
	"1999"	"1999"	"21 years"	"21"	"Male"	"M"	773	598868	129.1
	"1999"	"1999"	"22 years"	"22"	"Female"	"F"	213	560174	38.0
	"1999"	"1999"	"22 years"	"22"	"Male"	"M"	716	593091	120.7
	"1999"	"1999"	"23 years"	"23"	"Female"	"F"	238	549751	43.3
	"1999"	"1999"	"23 years"	"23"	"Male"	"M"	711	576925	123.2
	"1999"	"1999"	"24 years"	"24"	"Female"	"F"	233	570655	40.8
	"1999"	"1999"	"24 years"	"24"	"Male"	"M"	676	594606	113.7
	"1999"	"1999"	"25 years"	"25"	"Female"	"F"	261	574204	45.5
	"1999"	"1999"	"25 years"	"25"	"Male"	"M"	599	596862	100.4
	"1999"	"1999"	"26 years"	"26"	"Female"	"F"	255	582881	43.7
	"1999"	"1999"	"26 years"	"26"	"Male"	"M"	697	599485	116.3
	"1999"	"1999"	"27 years"	"27"	"Female"	"F"	279	618976	45.1
	"1999"	"1999"	"27 years"	"27"	"Male"	"M"	714	635863	112.3
	"1999"	"1999"	"28 years"	"28"	"Female"	"F"	319	655223	48.7
	"1999"	"1999"	"28 years"	"28"	"Male"	"M"	744	668552	111.3
	"1999"	"1999"	"29 years"	"29"	"Female"	"F"	327	666003	49.1
	"1999"	"1999"	"29 years"	"29"	"Male"	"M"	784	679385	115.4
	"1999"	"1999"	"30 years"	"30"	"Female"	"F"	338	669942	50.5
	"1999"	"1999"	"30 years"	"30"	"Male"	"M"	799	692313	115.4
	"1999"	"1999"	"31 years"	"31"	"Female"	"F"	375	630282	59.5
	"1999"	"1999"	"31 years"	"31"	"Male"	"M"	845	642845	131.4
	"1999"	"1999"	"32 years"	"32"	"Female"	"F"	447	644513	69.4
	"1999"	"1999"	"32 years"	"32"	"Male"	"M"	933	657268	142.0
	"1999"	"1999"	"33 years"	"33"	"Female"	"F"	459	647291	70.9
	"1999"	"1999"	"33 years"	"33"	"Male"	"M"	1006	658070	152.9
