"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3520	594980	591.6
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4313	623974	691.2
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	270	591486	45.6
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	320	620305	51.6
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	163	596529	27.3
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	249	623061	40.0
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	145	609711	23.8
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	175	638635	27.4
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	107	633266	16.9
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	131	663811	19.7
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	98	640891	15.3
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	134	671414	20.0
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	88	646823	13.6
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	111	678896	16.4
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	92	664279	13.8
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	126	693664	18.2
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	96	663246	14.5
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	103	695243	14.8
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	90	652024	13.8
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	111	685137	16.2
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	94	639121	14.7
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	110	671748	16.4
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	85	625234	13.6
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	137	655562	20.9
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	97	617603	15.7
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	111	648300	17.1
