"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3497	592473	590.2
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4277	621139	688.6
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	265	588498	45.0
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	320	617111	51.9
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	164	593182	27.6
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	249	619757	40.2
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	145	606519	23.9
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	173	635306	27.2
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	107	629722	17.0
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	134	660256	20.3
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	99	637040	15.5
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	133	667530	19.9
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	88	642664	13.7
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	110	674465	16.3
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	92	660315	13.9
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	128	689426	18.6
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	96	658925	14.6
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	103	690996	14.9
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	87	647984	13.4
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	110	680975	16.2
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	92	634761	14.5
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	110	667465	16.5
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	86	621191	13.8
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	136	651401	20.9
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	94	613441	15.3
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	110	644062	17.1
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	97	609194	15.9
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	176	639638	27.5
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	104	606572	17.1
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	199	637656	31.2
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	134	592898	22.6
