"GEO_ID","NAME","B15002I_001E","B15002I_001M","B15002I_002E","B15002I_002M","B15002I_003E","B15002I_003M","B15002I_004E","B15002I_004M","B15002I_005E","B15002I_005M","B15002I_006E","B15002I_006M","B15002I_007E","B15002I_007M","B15002I_008E","B15002I_008M","B15002I_009E","B15002I_009M","B15002I_010E","B15002I_010M","B15002I_011E","B15002I_011M","B15002I_012E","B15002I_012M","B15002I_013E","B15002I_013M","B15002I_014E","B15002I_014M","B15002I_015E","B15002I_015M","B15002I_016E","B15002I_016M","B15002I_017E","B15002I_017M","B15002I_018E","B15002I_018M","B15002I_019E","B15002I_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US26161","Washtenaw County, Michigan","9345","*****","4794","*****","569","512","289","265","534","372","147","131","717","357","271","231","880","365","1387","507","4551","*****","444","341","257","242","476","271","125","160","814","349","0","172","1247","488","1188","432"
"0500000US26163","Wayne County, Michigan","55855","*****","28060","*****","6156","1183","4734","1146","5460","932","1391","467","4164","986","1522","633","3631","921","1002","414","27795","*****","5435","990","3594","879","5510","1004","995","537","5474","1059","1583","621","3346","724","1858","626"
"0500000US27003","Anoka County, Minnesota","8103","542","4227","457","948","564","631","423","914","655","149","123","684","397","191","190","377","202","333","263","3876","417","823","377","969","487","375","247","252","343","375","241","367","218","442","262","273","207"
"0500000US27037","Dakota County, Minnesota","15980","*****","8115","*****","797","525","1219","609","2150","777","470","255","1041","500","470","268","1119","493","849","334","7865","*****","433","281","1397","664","1472","658","461","345","1638","657","690","434","1252","410","522","299"
"0500000US27053","Hennepin County, Minnesota","45154","*****","24119","*****","3970","945","4281","1223","5719","1292","827","437","3905","1155","1389","671","1972","670","2056","688","21035","*****","4330","840","2473","732","4171","978","221","160","3708","988","1691","786","2533","652","1908","557"
"0500000US27123","Ramsey County, Minnesota","21367","*****","10912","*****","1788","731","975","412","3228","855","508","317","1179","587","898","424","1775","752","561","298","10455","*****","1795","621","948","499","2687","678","427","298","1992","692","596","396","1066","544","944","414"
"0500000US27163","Washington County, Minnesota","5963","364","2969","336","374","360","488","376","1004","507","19","33","310","191","0","147","339","244","435","355","2994","412","161","177","280","231","374","296","35","59","825","343","293","262","656","309","370","292"
"0500000US28047","Harrison County, Mississippi","6590","591","3846","336","702","476","128","169","1284","616","597","461","350","264","515","435","105","151","165","226","2744","516","562","407","36","57","694","322","90","163","475","381","487","364","319","363","81","155"
"0500000US29047","Clay County, Missouri","10308","654","4924","477","626","441","568","435","1055","444","65","90","777","413","672","445","826","615","335","221","5384","550","580","435","523","394","899","542","169","170","1462","622","197","208","1269","601","285","309"
"0500000US29095","Jackson County, Missouri","33103","*****","16742","*****","1872","703","2034","811","3977","1059","555","372","4252","950","1241","525","2076","782","735","417","16361","*****","2805","913","1285","629","3801","920","592","396","3484","811","1602","703","1909","796","883","438"
"0500000US29165","Platte County, Missouri","3954","268","1822","235","55","103","195","132","430","294","78","150","243","225","520","380","87","94","214","265","2132","251","99","112","185","196","688","427","0","190","213","112","451","283","67","88","429","242"
"0500000US29183","St. Charles County, Missouri","7118","515","4014","559","293","263","288","282","767","572","101","160","920","526","58","103","970","551","617","376","3104","463","358","335","89","150","766","590","0","190","758","471","126","165","701","409","306","229"
"0500000US29189","St. Louis County, Missouri","15645","478","7847","479","368","350","270","229","1502","714","463","664","1845","730","568","416","2191","764","640","407","7798","*****","496","376","775","484","1235","725","515","514","1180","394","610","409","1147","549","1840","568"
"0500000US29510","St. Louis city, Missouri","7036","377","4289","512","406","316","281","279","954","511","0","190","317","290","241","225","823","445","1267","437","2747","285","331","394","280","294","327","270","47","78","240","209","68","92","681","320","773","352"
"0500000US31055","Douglas County, Nebraska","34427","*****","17926","*****","5316","1150","2687","944","4036","1078","458","274","2073","741","862","460","1594","678","900","435","16501","*****","3150","723","2542","706","4046","1045","682","488","2149","598","869","447","1919","609","1144","428"
"0500000US31109","Lancaster County, Nebraska","10725","*****","6206","342","1166","624","189","213","867","473","624","472","1200","510","674","426","1007","482","479","310","4519","342","425","356","665","507","644","474","52","90","794","462","166","184","1168","546","605","388"
"0500000US31153","Sarpy County, Nebraska","8761","244","4639","*****","239","193","245","241","1536","665","474","270","835","451","211","186","837","526","262","198","4122","244","130","123","315","245","1134","478","236","228","785","349","503","388","849","409","170","159"
"0500000US32003","Clark County, Nevada","398841","*****","199954","*****","33616","3032","33109","3587","56131","4443","7916","1309","38794","3320","8810","1655","14662","2233","6916","1266","198887","*****","32519","3367","29618","3053","57868","3419","8030","1199","36719","3204","9052","1512","17653","2432","7428","1564"
"0500000US32031","Washoe County, Nevada","62753","*****","32104","*****","4743","1335","5922","1358","7713","1591","1643","705","6314","1372","1447","639","3359","1011","963","481","30649","*****","4641","1092","5097","1143","7246","1163","1193","787","6288","1337","2370","988","2698","796","1116","509"
"0500000US33011","Hillsborough County, New Hampshire","15987","*****","8165","*****","678","448","1521","698","2078","797","1009","652","1170","672","420","318","614","329","675","380","7822","*****","1652","836","747","489","1836","662","638","560","1247","552","423","341","956","450","323","225"
"0500000US33015","Rockingham County, New Hampshire","6287","310","3070","310","218","115","266","294","206","154","156","193","919","549","276","268","474","285","555","488","3217","33","449","370","41","74","1069","681","124","167","965","526","216","341","238","228","115","201"
"0500000US34001","Atlantic County, New Jersey","27963","478","14455","*****","2593","1120","1407","687","4611","1177","235","208","3558","1107","609","437","753","484","689","513","13508","478","2221","975","1667","754","4803","1216","226","199","1162","656","1418","704","1677","578","334","360"
"0500000US34003","Bergen County, New Jersey","123585","*****","59362","*****","7705","1951","3271","1141","15591","2057","1740","703","10202","1893","3526","1112","12435","1886","4892","1145","64223","*****","5765","1304","3078","1072","15413","2360","608","329","11640","1945","4820","1004","15408","2179","7491","1652"
"0500000US34005","Burlington County, New Jersey","21808","*****","11356","*****","591","525","775","390","3034","816","918","560","2638","786","506","359","1712","731","1182","617","10452","*****","348","248","763","438","2392","621","99","118","3406","869","1038","521","1799","686","607","388"
"0500000US34007","Camden County, New Jersey","48358","*****","23447","*****","3794","1148","4084","1257","5976","1342","1347","693","4848","1660","355","341","1675","754","1368","1049","24911","*****","4180","1058","2742","897","6226","1445","1595","668","4211","1013","2336","815","2199","798","1422","642"
"0500000US34011","Cumberland County, New Jersey","26148","*****","13889","*****","2971","929","3013","949","4109","1074","1181","531","1321","545","762","437","277","277","255","227","12259","*****","1566","628","2869","975","2763","997","429","344","1999","821","1625","637","659","439","349","243"
"0500000US34013","Essex County, New Jersey","114947","*****","57600","*****","9020","1925","5416","1691","17788","2675","1928","783","10923","2018","3795","1197","5751","1131","2979","894","57347","*****","9174","1559","6317","1291","17176","2027","1593","667","7513","1307","4268","1042","7125","1252","4181","897"
"0500000US34015","Gloucester County, New Jersey","10231","439","5089","430","820","533","278","216","833","585","70","112","1569","647","275","309","378","272","866","482","5142","357","1020","693","376","290","745","361","131","142","1527","509","166","175","469","336","708","440"
"0500000US34017","Hudson County, New Jersey","192883","*****","93098","*****","15344","3218","10000","2002","26614","3496","3064","939","14675","2142","3322","1012","13873","2060","6206","1320","99785","*****","16116","2149","8647","1773","27409","2755","2715","843","15575","2321","6985","1278","17148","2578","5190","1107"
"0500000US34019","Hunterdon County, New Jersey","5335","344","2446","377","481","430","162","186","417","389","80","135","299","278","258","328","488","477","261","237","2889","261","349","239","0","210","710","480","103","149","781","408","132","156","623","455","191","179"
"0500000US34021","Mercer County, New Jersey","38200","*****","20408","*****","3848","1374","5256","1688","4853","1511","773","572","2503","832","157","193","2182","970","836","468","17792","*****","2489","807","3536","848","5832","1211","335","261","2550","714","736","487","1240","656","1074","551"
"0500000US34023","Middlesex County, New Jersey","105805","*****","51855","*****","9892","1903","5111","1341","17500","2025","1797","634","7906","1368","1767","678","5978","1456","1904","797","53950","*****","7752","1280","5195","1219","15066","2174","1156","409","8800","1393","5327","1227","7409","1589","3245","884"
