"GEO_ID","NAME","B20017B_001E","B20017B_001M","B20017B_002E","B20017B_002M","B20017B_003E","B20017B_003M","B20017B_004E","B20017B_004M","B20017B_005E","B20017B_005M","B20017B_006E","B20017B_006M","B20017B_007E","B20017B_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US12107","Putnam County, Florida","21081","4782","21117","15378","27331","10639","6545","25957","21046","4202","30523","9941","15499","3235"
"0500000US12109","St. Johns County, Florida","26841","15666","35060","35765","40427","30473","6423","531","26242","24796","51440","11942","9662","5102"
"0500000US12111","St. Lucie County, Florida","30518","5460","30191","7052","32452","3178","14343","8792","32734","11032","36668","12201","16716","18055"
"0500000US12113","Santa Rosa County, Florida","40896","12367","42148","23110","51189","25087","37581","45653","20248","21470","21584","20024","6539","34377"
"0500000US12115","Sarasota County, Florida","25429","3553","23581","1539","24720","20125","4508","1937","28188","3247","29732","2603","9960","1321"
"0500000US12117","Seminole County, Florida","31371","2935","31088","6026","37247","3934","11485","1714","31611","3795","32800","6208","25033","6801"
"0500000US12119","Sumter County, Florida","17038","7161","23186","13824","31166","5425","13333","4367","14182","10415","17530","3307","6573","7169"
"0500000US12127","Volusia County, Florida","27533","3629","27424","5265","32860","4451","15690","1631","27700","4833","31475","2185","10414","4005"
"0500000US12131","Walton County, Florida","20818","15905","17261","41498","-","**","16446","824","21585","10376","21866","15724","-","**"
"0500000US13013","Barrow County, Georgia","25809","16921","32500","27009","38864","23064","6038","7381","21527","7376","45685","7463","12514","3508"
"0500000US13015","Bartow County, Georgia","35772","9508","35713","9979","37182","6497","2,500-","***","35825","25526","38664","2572","10579","18065"
"0500000US13021","Bibb County, Georgia","23853","2974","25730","4680","40279","7642","11983","4763","23080","3788","27955","4379","7801","3198"
"0500000US13031","Bulloch County, Georgia","20217","2831","20501","9983","33554","14905","7303","3554","20123","3307","22622","6523","8011","2239"
"0500000US13045","Carroll County, Georgia","21204","4441","26044","8566","30997","845","10052","2348","17054","5946","25948","7665","5165","1668"
