GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US37109,37109,"Lincoln County, North Carolina",68484,303,13815,200,13582,337,233,337,42684,226,35613,1838,7071,1829,11985,131,11844,208,141,166
0500000US37119,37119,"Mecklenburg County, North Carolina",496205,1050,96628,110,94903,868,1725,869,329350,897,302507,3447,26843,3185,70227,477,69867,610,360,346
0500000US37125,37125,"Moore County, North Carolina",69965,610,13290,29,12805,367,485,366,37487,538,33192,1340,4295,1393,19188,344,19188,344,0,200
0500000US37127,37127,"Nash County, North Carolina",47641,306,8809,42,8743,114,66,102,28090,327,24620,1105,3470,1114,10742,27,10635,189,107,173
0500000US37129,37129,"New Hanover County, North Carolina",167514,695,27543,43,26836,396,707,400,109915,663,97045,2329,12870,2125,30056,284,29868,413,188,301
0500000US37133,37133,"Onslow County, North Carolina",102900,2254,27716,473,27359,604,357,368,62504,2203,53637,2783,8867,2303,12680,175,12668,176,12,21
0500000US37135,37135,"Orange County, North Carolina",97215,453,16330,307,16004,423,326,297,67679,237,64286,1096,3393,1077,13206,184,13206,184,0,200
0500000US37147,37147,"Pitt County, North Carolina",96152,1281,16338,353,15763,727,575,637,66208,1186,58090,2448,8118,2085,13606,225,13494,247,112,138
0500000US37151,37151,"Randolph County, North Carolina",112429,608,22411,139,19990,1418,2421,1434,68908,534,57109,2594,11799,2578,21110,255,21110,255,0,200
0500000US37155,37155,"Robeson County, North Carolina",34375,576,5898,406,5776,403,122,122,21332,222,17269,801,4063,790,7145,275,7145,275,0,200
0500000US37157,37157,"Rockingham County, North Carolina",65790,435,12261,26,11988,285,273,284,40042,349,36130,1079,3912,1064,13487,277,13487,277,0,200
0500000US37159,37159,"Rowan County, North Carolina",99730,491,19234,336,18442,793,792,729,61431,253,52877,1794,8554,1796,19065,270,19065,270,0,200
0500000US37161,37161,"Rutherford County, North Carolina",54677,472,10693,39,10693,39,0,200,32250,410,27844,1528,4406,1471,11734,297,11734,297,0,200
0500000US37171,37171,"Surry County, North Carolina",60604,329,11550,73,11140,604,410,598,36115,200,30477,1451,5638,1451,12939,321,12939,321,0,200
0500000US37179,37179,"Union County, North Carolina",161887,400,41130,260,39721,800,1409,731,99383,160,90563,1586,8820,1626,21374,287,21374,287,0,200
0500000US37183,37183,"Wake County, North Carolina",616594,1061,131133,585,129222,1094,1911,1019,406983,616,382776,3379,24207,3189,78478,545,78100,615,378,380
0500000US37191,37191,"Wayne County, North Carolina",65103,513,13077,200,12695,449,382,449,39814,492,35078,1300,4736,1243,12212,149,12122,226,90,151
0500000US37193,37193,"Wilkes County, North Carolina",59529,410,11472,21,10471,785,1001,784,35393,207,29580,1811,5813,1831,12664,273,12664,273,0,200
0500000US37195,37195,"Wilson County, North Carolina",37744,1493,6984,200,6886,182,98,182,22428,1143,19819,1338,2609,860,8332,426,8332,426,0,200
0500000US38015,38015,"Burleigh County, North Dakota",82168,599,17865,50,16789,807,1076,808,51452,440,49137,1109,2315,1069,12851,344,12808,350,43,72
0500000US38017,38017,"Cass County, North Dakota",149028,362,30632,132,29628,831,1004,806,100544,331,94373,1426,6171,1360,17852,219,17775,257,77,128
0500000US38035,38035,"Grand Forks County, North Dakota",58567,579,11075,21,10170,603,905,604,40144,503,37961,1031,2183,979,7348,275,7348,275,0,151
0500000US38101,38101,"Ward County, North Dakota",55975,846,13178,147,13018,251,160,205,35386,703,31900,1166,3486,1099,7411,345,7372,350,39,67
0500000US39003,39003,"Allen County, Ohio",83076,587,17431,395,16505,778,926,766,50858,322,47126,1244,3732,1167,14787,170,14787,170,0,187
0500000US39007,39007,"Ashtabula County, Ohio",87179,333,18740,187,15299,2975,3441,2975,52249,306,45949,1812,6300,1796,16190,263,16190,263,0,187
0500000US39009,39009,"Athens County, Ohio",58559,369,8779,187,8555,343,224,343,42767,303,40572,810,2195,727,7013,202,7013,202,0,187
0500000US39013,39013,"Belmont County, Ohio",61892,783,11975,91,11728,249,247,233,37566,678,35372,871,2194,612,12351,263,12351,263,0,187
0500000US39017,39017,"Butler County, Ohio",306929,696,67330,173,65909,730,1421,708,194483,497,181219,2428,13264,2426,45116,444,45076,484,40,65
0500000US39023,39023,"Clark County, Ohio",112994,523,23438,79,23223,158,215,137,68138,295,62245,1196,5893,1189,21418,425,21378,430,40,65
0500000US39025,39025,"Clermont County, Ohio",188708,688,43713,124,42341,721,1372,706,117193,536,107848,2091,9345,2072,27802,407,27802,407,0,187
0500000US39029,39029,"Columbiana County, Ohio",96628,598,20119,59,19404,412,715,408,58156,507,51445,1773,6711,1653,18353,262,18262,302,91,147
0500000US39035,39035,"Cuyahoga County, Ohio",742397,1194,129727,326,126096,1463,3631,1414,466699,669,433431,2908,33268,2766,145971,1094,145222,1050,749,399
