GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
0500000US01001,01001,"Autauga County, Alabama",42013
0500000US01003,01003,"Baldwin County, Alabama",40250
0500000US01005,01005,"Barbour County, Alabama",25101
0500000US01007,01007,"Bibb County, Alabama",31420
0500000US01009,01009,"Blount County, Alabama",35241
0500000US01011,01011,"Bullock County, Alabama",20605
0500000US01013,01013,"Butler County, Alabama",24791
0500000US01015,01015,"Calhoun County, Alabama",31768
0500000US01017,01017,"Chambers County, Alabama",29667
0500000US01019,01019,"Cherokee County, Alabama",30874
0500000US01021,01021,"Chilton County, Alabama",32588
0500000US01023,01023,"Choctaw County, Alabama",24749
0500000US01025,01025,"Clarke County, Alabama",27388
0500000US01027,01027,"Clay County, Alabama",27885
0500000US01029,01029,"Cleburne County, Alabama",30820
0500000US01031,01031,"Coffee County, Alabama",33664
0500000US01033,01033,"Colbert County, Alabama",31954
0500000US01035,01035,"Conecuh County, Alabama",22111
0500000US01037,01037,"Coosa County, Alabama",29873
0500000US01039,01039,"Covington County, Alabama",26336
0500000US01041,01041,"Crenshaw County, Alabama",26054
0500000US01043,01043,"Cullman County, Alabama",32256
0500000US01045,01045,"Dale County, Alabama",31998
0500000US01047,01047,"Dallas County, Alabama",23370
0500000US01049,01049,"DeKalb County, Alabama",30137
0500000US01051,01051,"Elmore County, Alabama",41243
0500000US01053,01053,"Escambia County, Alabama",28319
0500000US01055,01055,"Etowah County, Alabama",31170
0500000US01057,01057,"Fayette County, Alabama",28539
0500000US01059,01059,"Franklin County, Alabama",27177
0500000US01061,01061,"Geneva County, Alabama",26448
0500000US01063,01063,"Greene County, Alabama",19819
0500000US01065,01065,"Hale County, Alabama",25807
0500000US01067,01067,"Henry County, Alabama",30353
0500000US01069,01069,"Houston County, Alabama",34431
0500000US01071,01071,"Jackson County, Alabama",32020
0500000US01073,01073,"Jefferson County, Alabama",36868
0500000US01075,01075,"Lamar County, Alabama",28059
0500000US01077,01077,"Lauderdale County, Alabama",33354
0500000US01079,01079,"Lawrence County, Alabama",31549
0500000US01081,01081,"Lee County, Alabama",30952
0500000US01083,01083,"Limestone County, Alabama",37405
0500000US01085,01085,"Lowndes County, Alabama",23050
0500000US01087,01087,"Macon County, Alabama",21180
0500000US01089,01089,"Madison County, Alabama",44704
0500000US01091,01091,"Marengo County, Alabama",27025
0500000US01093,01093,"Marion County, Alabama",27475
0500000US01095,01095,"Marshall County, Alabama",32167
0500000US01097,01097,"Mobile County, Alabama",33710
0500000US01099,01099,"Monroe County, Alabama",29093
0500000US01101,01101,"Montgomery County, Alabama",35962
0500000US01103,01103,"Morgan County, Alabama",37803
0500000US01105,01105,"Perry County, Alabama",20200
0500000US01107,01107,"Pickens County, Alabama",26254
0500000US01109,01109,"Pike County, Alabama",25551
0500000US01111,01111,"Randolph County, Alabama",28675
0500000US01113,01113,"Russell County, Alabama",27492
0500000US01115,01115,"St. Clair County, Alabama",37285
0500000US01117,01117,"Shelby County, Alabama",55440
0500000US01119,01119,"Sumter County, Alabama",18911
0500000US01121,01121,"Talladega County, Alabama",31628
0500000US01123,01123,"Tallapoosa County, Alabama",30745
0500000US01125,01125,"Tuscaloosa County, Alabama",34436
0500000US01127,01127,"Walker County, Alabama",29076
0500000US01129,01129,"Washington County, Alabama",30815
0500000US01131,01131,"Wilcox County, Alabama",16646
0500000US01133,01133,"Winston County, Alabama",28435
0500000US02013,02013,"Aleutians East Borough, Alaska",47875
0500000US02016,02016,"Aleutians West Census Area, Alaska",61406
0500000US02020,02020,"Anchorage Municipality, Alaska",55546
0500000US02050,02050,"Bethel Census Area, Alaska",35701
0500000US02060,02060,"Bristol Bay Borough, Alaska",52167
0500000US02068,02068,"Denali Borough, Alaska",53654
0500000US02070,02070,"Dillingham Census Area, Alaska",43079
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",49076
0500000US02100,02100,"Haines Borough, Alaska",40772
0500000US02110,02110,"Juneau City and Borough, Alaska",62034
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",46397
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",51344
0500000US02150,02150,"Kodiak Island Borough, Alaska",54636
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",36442
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",51221
0500000US02180,02180,"Nome Census Area, Alaska",41250
0500000US02185,02185,"North Slope Borough, Alaska",63173
0500000US02188,02188,"Northwest Arctic Borough, Alaska",45976
0500000US02201,02201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",40636
0500000US02220,02220,"Sitka City and Borough, Alaska",51901
0500000US02232,02232,"Skagway-Hoonah-Angoon Census Area, Alaska",40879
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",38776
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",48734
0500000US02270,02270,"Wade Hampton Census Area, Alaska",30184
0500000US02280,02280,"Wrangell-Petersburg Census Area, Alaska",46434
0500000US02282,02282,"Yakutat City and Borough, Alaska",46786
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",28666
0500000US04001,04001,"Apache County, Arizona",23344
0500000US04003,04003,"Cochise County, Arizona",32105
0500000US04005,04005,"Coconino County, Arizona",38256
0500000US04007,04007,"Gila County, Arizona",30917
0500000US04009,04009,"Graham County, Arizona",29668
0500000US04011,04011,"Greenlee County, Arizona",39384
0500000US04012,04012,"La Paz County, Arizona",25839
0500000US04013,04013,"Maricopa County, Arizona",45358
0500000US04015,04015,"Mohave County, Arizona",31521
