GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Less than high school graduate,Margin of Error; Less than high school graduate,Estimate; High school graduate (includes equivalency),Margin of Error; High school graduate (includes equivalency),Estimate; Some college or associate's degree,Margin of Error; Some college or associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Graduate or professional degree,Margin of Error; Graduate or professional degree,Estimate; Same house:,Margin of Error; Same house:,Estimate; Same house: - Less than high school graduate,Margin of Error; Same house: - Less than high school graduate,Estimate; Same house: - High school graduate (includes equivalency),Margin of Error; Same house: - High school graduate (includes equivalency),Estimate; Same house: - Some college or associate's degree,Margin of Error; Same house: - Some college or associate's degree,Estimate; Same house: - Bachelor's degree,Margin of Error; Same house: - Bachelor's degree,Estimate; Same house: - Graduate or professional degree,Margin of Error; Same house: - Graduate or professional degree,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Less than high school graduate,Margin of Error; Moved within same county: - Less than high school graduate,Estimate; Moved within same county: - High school graduate (includes equivalency),Margin of Error; Moved within same county: - High school graduate (includes equivalency),Estimate; Moved within same county: - Some college or associate's degree,Margin of Error; Moved within same county: - Some college or associate's degree,Estimate; Moved within same county: - Bachelor's degree,Margin of Error; Moved within same county: - Bachelor's degree,Estimate; Moved within same county: - Graduate or professional degree,Margin of Error; Moved within same county: - Graduate or professional degree,Estimate; Moved to different county within same state:,Margin of Error; Moved to different county within same state:,Estimate; Moved to different county within same state: - Less than high school graduate,Margin of Error; Moved to different county within same state: - Less than high school graduate,Estimate; Moved to different county within same state: - High school graduate (includes equivalency),Margin of Error; Moved to different county within same state: - High school graduate (includes equivalency),Estimate; Moved to different county within same state: - Some college or associate's degree,Margin of Error; Moved to different county within same state: - Some college or associate's degree,Estimate; Moved to different county within same state: - Bachelor's degree,Margin of Error; Moved to different county within same state: - Bachelor's degree,Estimate; Moved to different county within same state: - Graduate or professional degree,Margin of Error; Moved to different county within same state: - Graduate or professional degree,Estimate; Moved to different state:,Margin of Error; Moved to different state:,Estimate; Moved to different state: - Less than high school graduate,Margin of Error; Moved to different state: - Less than high school graduate,Estimate; Moved to different state: - High school graduate (includes equivalency),Margin of Error; Moved to different state: - High school graduate (includes equivalency),Estimate; Moved to different state: - Some college or associate's degree,Margin of Error; Moved to different state: - Some college or associate's degree,Estimate; Moved to different state: - Bachelor's degree,Margin of Error; Moved to different state: - Bachelor's degree,Estimate; Moved to different state: - Graduate or professional degree,Margin of Error; Moved to different state: - Graduate or professional degree
0500000US24001,24001,"Allegany County, Maryland",50700,1473,6620,1204,22781,1855,13665,1504,4997,974,2637,767,44842,1140,5301,1044,20827,1489,12068,1354,4347,900,2299,688,2844,1137,654,593,997,563,1069,507,124,155,0,271,1409,867,454,283,557,688,350,373,0,271,48,80,1605,701,211,143,400,254,178,251,526,465,290,252
0500000US24003,24003,"Anne Arundel County, Maryland",334783,4041,31637,2810,86993,4595,96012,4451,71005,3927,49136,3372,301052,3827,27940,2868,78461,4252,84571,3921,64800,3768,45280,3286,16319,2345,2205,888,4269,1172,5763,1335,2703,953,1379,570,7851,1720,817,439,2699,1074,2414,927,1054,459,867,450,9561,1948,675,538,1564,757,3264,1102,2448,768,1610,815
0500000US24005,24005,"Baltimore County, Maryland",530554,4000,55914,4434,146087,5554,145727,5903,108715,4732,74111,4577,477704,4445,50988,3970,130815,5149,131646,6082,97221,4188,67034,4171,27893,3011,3470,1115,7771,1632,7816,1489,5308,1305,3528,898,14469,2399,771,575,5314,1363,3351,895,3631,1254,1402,606,10488,2533,685,388,2187,1067,2914,1244,2555,895,2147,832
0500000US24013,24013,"Carroll County, Maryland",110935,1925,11517,2156,37041,2607,29878,2663,21775,2147,10724,1475,104119,2066,10239,2194,34401,2448,28378,2600,21040,2070,10061,1401,3491,1196,915,570,1479,753,715,359,233,315,149,117,2104,776,304,310,671,348,576,450,424,383,129,154,1221,624,59,99,490,392,209,157,78,95,385,407
0500000US24015,24015,"Cecil County, Maryland",68422,1631,9685,1871,26318,2573,18488,1978,9289,1614,4642,1075,59881,2399,8679,1929,23499,2285,15914,1891,7660,1705,4129,967,4875,1757,768,575,1841,969,1446,634,714,545,106,133,658,512,96,138,244,279,51,83,191,247,76,126,3008,1065,142,150,734,555,1077,575,724,624,331,310
0500000US24017,24017,"Charles County, Maryland",90379,2675,5632,1078,26540,2012,33274,2498,16852,2117,8081,1272,82507,2266,5154,975,24637,2125,29967,2230,15586,2018,7163,1172,3408,1136,247,240,1078,561,1399,778,315,247,369,319,2352,1126,174,191,633,571,976,573,391,464,178,287,2112,864,57,94,192,150,932,565,560,411,371,281
0500000US24021,24021,"Frederick County, Maryland",144297,2687,11433,1809,39521,3216,40787,2810,32866,2693,19690,1950,129631,3232,9819,1634,34933,2812,36856,2818,30155,2604,17868,1924,8432,2673,1068,849,2926,1537,2743,1102,1148,603,547,300,2102,1196,178,174,1274,1131,148,188,265,213,237,214,4132,1333,368,365,388,282,1040,441,1298,689,1038,556
0500000US24025,24025,"Harford County, Maryland",162359,2231,13496,2005,48616,3418,53909,3643,27957,2770,18381,2130,146120,2508,12575,1960,43942,3093,47131,3434,25138,2762,17334,2089,8658,1981,337,317,2718,942,3894,1440,1138,789,571,375,3654,1439,184,181,1368,1050,1279,610,583,331,240,203,3927,1290,400,393,588,364,1605,795,1098,742,236,164
0500000US24027,24027,"Howard County, Maryland",184440,3528,9963,2272,26177,3384,39582,2768,57197,3469,51521,3357,162048,3058,7735,1842,22023,2793,35128,2616,50606,3099,46556,3204,7803,1823,663,497,1768,774,1660,692,2304,837,1408,845,8607,2095,1128,529,1749,786,1671,737,3324,1281,735,411,5982,1415,437,481,637,535,1123,544,963,467,2822,1050
0500000US24031,24031,"Montgomery County, Maryland",630683,5525,57193,4187,87377,4910,133206,5448,171781,6256,181126,5978,568501,5917,52170,4046,80260,4819,117206,4893,153143,5612,165722,5371,33292,4051,2520,974,4587,1639,9541,1745,7827,1845,8817,1772,9834,2080,1567,973,1120,540,2549,1048,3557,1460,1041,438,19056,2600,936,594,1410,506,3910,1217,7254,1510,5546,1049
0500000US24033,24033,"Prince George's County, Maryland",527136,5133,75660,5256,143536,6225,156978,5586,88994,4136,61968,4300,457449,5332,61134,4605,126854,6117,135283,5533,78976,3813,55202,4203,40188,4265,9782,2098,11084,2142,11893,2348,4763,1159,2666,789,15930,2723,2439,1185,3444,1136,5122,1834,2989,1069,1936,928,13569,2479,2305,855,2154,883,4680,1290,2266,775,2164,887
0500000US24037,24037,"St. Mary's County, Maryland",65525,2044,5922,1518,21530,1712,21549,2217,10781,1782,5743,1169,58423,1920,5357,1443,19247,1674,18882,2051,9908,1724,5029,986,3278,1302,228,242,1655,912,718,508,571,354,106,173,1276,673,0,271,155,150,635,489,302,383,184,222,2548,1061,337,323,473,356,1314,847,0,271,424,369
0500000US24043,24043,"Washington County, Maryland",98538,1903,18040,2137,35463,2147,27020,2187,11609,1659,6406,1103,86002,2823,15093,1851,31245,2278,23257,2015,10685,1584,5722,1073,8529,2283,2361,1249,2815,1065,2539,965,459,319,355,274,1821,831,187,156,605,340,575,394,311,312,143,219,2186,572,399,208,798,388,649,285,154,191,186,151
0500000US24045,24045,"Wicomico County, Maryland",58794,2855,8623,1444,20418,2337,15939,2044,8361,1225,5453,1254,50476,2025,7100,1346,17759,2155,13136,1541,7843,1168,4638,1071,3745,1291,690,444,1713,825,995,551,268,229,79,96,2020,1163,565,611,415,313,900,1016,0,271,140,180,2553,1064,268,295,531,345,908,617,250,229,596,479
0500000US24510,24510,"Baltimore city, Maryland",415750,4408,92701,5193,127121,5253,94615,4667,50930,3760,50383,4098,350413,4519,79443,4370,107713,4635,79313,4519,41109,3456,42835,3614,37183,3829,9111,2255,11024,1924,9852,1752,4350,1220,2846,1011,16777,2851,2829,954,5675,1330,3107,1058,3150,1308,2016,1196,11377,2283,1318,729,2709,883,2343,886,2321,927,2686,776
0500000US25001,25001,"Barnstable County, Massachusetts",167105,3005,7025,1318,42722,3632,49400,3765,42146,3238,25812,2603,152383,2713,5442,1215,39082,3225,44561,3469,38980,3119,24318,2504,6504,1831,659,517,1429,812,2389,1019,1075,649,952,517,4254,1346,607,456,1391,605,1283,599,808,506,165,191,3964,1307,317,312,820,800,1167,714,1283,553,377,315
