FIPS,living_wage,hh_adults,hh_children,stay_at_home
26081,55972.11087740088,2,3,TRUE
29095,59031.81081603431,2,3,TRUE
29189,59113.402814397865,2,3,TRUE
29510,59113.402814397865,2,3,TRUE
31055,58297.482830762274,2,3,TRUE
37081,55523.35488640131,2,3,TRUE
37119,58623.85082421651,2,3,TRUE
37183,58848.2288197163,2,3,TRUE
39049,54972.60889744729,2,3,TRUE
39061,55156.19089376529,2,3,TRUE
39113,53075.59493549456,2,3,TRUE
40109,56420.86686840045,2,3,TRUE
40143,56074.10087535532,2,3,TRUE
45045,56135.29487412799,2,3,TRUE
47037,55972.11087740088,2,3,TRUE
47093,52871.61493958567,2,3,TRUE
47157,53401.96292894879,2,3,TRUE
51760,60561.66078535102,2,3,TRUE
1073,19133.323616254384,2,0,FALSE
12031,19112.92561666349,2,0,FALSE
18097,18500.985628936807,2,0,FALSE
21111,18358.19963180058,2,0,FALSE
26081,18766.15962361837,2,0,FALSE
29095,19643.27360602662,2,0,FALSE
29189,19520.885608481283,2,0,FALSE
29510,19520.885608481283,2,0,FALSE
31055,19480.089609299503,2,0,FALSE
37081,19112.92561666349,2,0,FALSE
37119,20092.02959702619,2,0,FALSE
37183,20459.193589662198,2,0,FALSE
39049,18704.9656248457,2,0,FALSE
39061,18215.41363466435,2,0,FALSE
39113,17807.45364284656,2,0,FALSE
40109,18623.373626482145,2,0,FALSE
40143,18500.985628936807,2,0,FALSE
45045,18949.741619936372,2,0,FALSE
47037,18868.14962157282,2,0,FALSE
47093,18052.229637937235,2,0,FALSE
47157,18133.821636300796,2,0,FALSE
51760,20377.601591298644,2,0,FALSE
1073,25640.285485748143,2,1,FALSE
12031,26904.961460383292,2,1,FALSE
18097,25925.857480020597,2,1,FALSE
21111,26007.449478384155,2,1,FALSE
26081,26211.429474293047,2,1,FALSE
29095,26782.573462837958,2,1,FALSE
29189,26945.757459565073,2,1,FALSE
29510,26945.757459565073,2,1,FALSE
31055,27435.30944974642,2,1,FALSE
37081,26415.409470201943,2,1,FALSE
37119,27496.50344851909,2,1,FALSE
37183,27904.463440336876,2,1,FALSE
39049,26333.817471838385,2,1,FALSE
39061,25885.061480838816,2,1,FALSE
39113,25354.713491475686,2,1,FALSE
40109,26272.62347306572,2,1,FALSE
40143,26211.429474293047,2,1,FALSE
45045,25354.713491475686,2,1,FALSE
47037,25885.061480838816,2,1,FALSE
47093,24824.36550211256,2,1,FALSE
47157,24742.773503749006,2,1,FALSE
51760,29352.721411290036,2,1,FALSE
1073,31188.541374470093,2,2,FALSE
12031,31331.32737160632,2,2,FALSE
18097,31229.337373651873,2,2,FALSE
21111,31943.267359333007,2,2,FALSE
26081,31882.073360560342,2,2,FALSE
29095,31331.32737160632,2,2,FALSE
29189,31514.909367924327,2,2,FALSE
29510,31514.909367924327,2,2,FALSE
31055,32310.431351969015,2,2,FALSE
37081,30882.57138060675,2,2,FALSE
37119,31963.665358923896,2,2,FALSE
37183,32351.227351150792,2,2,FALSE
39049,31106.949376106535,2,2,FALSE
39061,30678.591384697855,2,2,FALSE
39113,30127.845395743836,2,2,FALSE
40109,31963.665358923896,2,2,FALSE
40143,31902.47136015123,2,2,FALSE
45045,29209.935414153813,2,2,FALSE
47037,29821.875401880494,2,2,FALSE
47093,28781.57742274513,2,2,FALSE
47157,28679.587424790683,2,2,FALSE
51760,34085.05731637641,2,2,FALSE
1073,36981.573258282726,2,3,FALSE
12031,36043.26527710181,2,3,FALSE
18097,36696.001264010265,2,3,FALSE
21111,38144.25923496342,2,3,FALSE
26081,38123.86123537254,2,3,FALSE
29095,36206.44927382892,2,3,FALSE
29189,36247.245273010696,2,3,FALSE
29510,36247.245273010696,2,3,FALSE
31055,37593.51324600941,2,3,FALSE
37081,35451.72328896601,2,3,FALSE
37119,37001.971257873614,2,3,FALSE
37183,37124.359255418945,2,3,FALSE
39049,35839.285281192904,2,3,FALSE
39061,35920.87727955646,2,3,FALSE
39113,34880.5793004211,2,3,FALSE
40109,38021.87123741809,2,3,FALSE
40143,37838.28924110008,2,3,FALSE
45045,33228.341333559045,2,3,FALSE
47037,34227.84331351264,2,3,FALSE
47093,32677.59534460503,2,3,FALSE
47157,32942.76933928659,2,3,FALSE
51760,39429.33320918946,2,3,FALSE
