GEO.id,GEO.id2,GEO.display-label,VD03,VD04,VD05,VD07,VD08,VD09
Id,Id2,Geography,"Worked full-time, year-round in 1999 -- - Total","Worked full-time, year-round in 1999 -- - Male","Worked full-time, year-round in 1999 -- - Female",Other -- - Total,Other -- - Male,Other -- - Female
0500000US01001,01001,"Autauga County, Alabama",29479,35168,22859,9104,10347,8140
0500000US01003,01003,"Baldwin County, Alabama",29297,34507,23069,9279,11738,7903
0500000US01005,01005,"Barbour County, Alabama",23586,28441,19882,8509,9652,7588
0500000US01007,01007,"Bibb County, Alabama",27016,30413,21070,10044,13449,8370
0500000US01009,01009,"Blount County, Alabama",28183,31455,22459,10334,11977,8929
0500000US01011,01011,"Bullock County, Alabama",20828,22560,19069,8490,9981,7397
0500000US01013,01013,"Butler County, Alabama",24064,28968,18644,8642,11453,7290
0500000US01015,01015,"Calhoun County, Alabama",26859,30847,21076,8239,9506,7438
0500000US01017,01017,"Chambers County, Alabama",25121,28771,21159,9768,11845,8599
0500000US01019,01019,"Cherokee County, Alabama",25423,29978,20958,9819,11853,8750
0500000US01021,01021,"Chilton County, Alabama",27336,31006,21275,9461,11445,7845
0500000US01023,01023,"Choctaw County, Alabama",27015,32316,18760,10073,14103,8220
0500000US01025,01025,"Clarke County, Alabama",27093,34111,19075,8145,10830,7133
0500000US01027,01027,"Clay County, Alabama",22521,26118,18637,10127,11764,8911
0500000US01029,01029,"Cleburne County, Alabama",25332,29752,18840,8980,11159,7744
0500000US01031,01031,"Coffee County, Alabama",26638,31468,20234,9185,10398,8488
0500000US01033,01033,"Colbert County, Alabama",26818,32112,20107,8494,11427,7096
0500000US01035,01035,"Conecuh County, Alabama",22860,28115,19350,9510,10863,8292
0500000US01037,01037,"Coosa County, Alabama",22087,25390,18171,9318,11554,8000
0500000US01039,01039,"Covington County, Alabama",23685,27453,19640,8682,12261,6972
0500000US01041,01041,"Crenshaw County, Alabama",23484,27286,17703,9279,12280,7449
0500000US01043,01043,"Cullman County, Alabama",26297,30444,20436,9665,11680,8441
0500000US01045,01045,"Dale County, Alabama",25824,29844,19988,8981,12357,7467
0500000US01047,01047,"Dallas County, Alabama",25456,31568,18683,9826,11672,8101
0500000US01049,01049,"DeKalb County, Alabama",24208,28878,19103,9227,11035,8048
0500000US01051,01051,"Elmore County, Alabama",29505,32643,24062,8559,8132,8801
0500000US01053,01053,"Escambia County, Alabama",25329,30632,18091,8808,9237,8568
0500000US01055,01055,"Etowah County, Alabama",27382,31610,21346,9399,10959,8376
0500000US01057,01057,"Fayette County, Alabama",26534,29239,20606,8955,11016,7856
0500000US01059,01059,"Franklin County, Alabama",22987,27497,18631,8745,11585,7377
0500000US01061,01061,"Geneva County, Alabama",22834,26018,19341,8414,9167,7466
0500000US01063,01063,"Greene County, Alabama",21783,25707,19051,8413,10205,7567
0500000US01065,01065,"Hale County, Alabama",25303,28493,19363,10030,11015,9201
0500000US01067,01067,"Henry County, Alabama",25183,29189,20827,9085,9583,8604
0500000US01069,01069,"Houston County, Alabama",26955,32092,21409,8750,10383,8074
0500000US01071,01071,"Jackson County, Alabama",25532,29777,20990,9795,11436,8370
0500000US01073,01073,"Jefferson County, Alabama",31145,35954,26631,9788,10750,9178
0500000US01075,01075,"Lamar County, Alabama",25915,30453,18947,8433,10457,7358
0500000US01077,01077,"Lauderdale County, Alabama",28187,33943,20804,8352,10571,7189
0500000US01079,01079,"Lawrence County, Alabama",27283,31519,20480,8632,11750,6973
0500000US01081,01081,"Lee County, Alabama",28306,33598,23228,5995,6499,5462
0500000US01083,01083,"Limestone County, Alabama",30590,35743,23389,10027,11232,9064
0500000US01085,01085,"Lowndes County, Alabama",22671,27694,20137,9941,12816,8232
0500000US01087,01087,"Macon County, Alabama",23858,25971,21773,6648,7653,5909
0500000US01089,01089,"Madison County, Alabama",33316,40779,26534,9037,10182,8360
0500000US01091,01091,"Marengo County, Alabama",27871,36053,19571,9017,9032,9011
0500000US01093,01093,"Marion County, Alabama",24102,26913,19022,9969,11936,8539
0500000US01095,01095,"Marshall County, Alabama",26454,30500,20807,8527,10508,7463
0500000US01097,01097,"Mobile County, Alabama",27875,32329,21986,9063,11147,7813
0500000US01099,01099,"Monroe County, Alabama",26093,31096,18767,9214,11607,7999
0500000US01101,01101,"Montgomery County, Alabama",28452,32018,24921,8565,8885,8334
0500000US01103,01103,"Morgan County, Alabama",29924,35759,21885,9235,11131,8091
0500000US01105,01105,"Perry County, Alabama",21904,26272,16839,9102,10866,7357
0500000US01107,01107,"Pickens County, Alabama",25306,28843,20569,8840,10721,8147
0500000US01109,01109,"Pike County, Alabama",23650,27094,18758,7445,9589,6028
0500000US01111,01111,"Randolph County, Alabama",24121,27069,20323,8776,12524,7098
