GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US09015,09015,"Windham County, Connecticut",71230,269,34137,269,1618,536,3149,828,14024,1245,5954,912,2448,768,3898,870,3046,717,37093,269,1290,420,2930,870,12779,1296,8146,1113,3681,961,5390,1033,2877,751
0500000US10001,10001,"Kent County, Delaware",70850,254,33479,111,1595,605,3445,815,12433,1363,6812,1132,1852,525,5008,911,2334,586,37371,155,1950,634,4681,938,13532,1466,7883,1064,2749,747,4405,997,2171,524
0500000US10003,10003,"New Castle County, Delaware",235533,748,112023,714,2287,846,7702,1241,35052,2348,19416,1606,7641,1599,23284,2122,16641,1975,123510,152,2660,773,8120,1448,39342,2841,21944,2045,9942,1513,25287,1923,16215,1607
0500000US10005,10005,"Sussex County, Delaware",106438,122,50528,261,3056,681,5861,1024,17807,1634,9040,1241,3679,903,6758,866,4327,808,55910,122,1151,427,5775,869,22166,1692,11044,1160,4464,824,6977,962,4333,751
0500000US11001,11001,"District of Columbia, District of Columbia",135583,434,68046,412,517,354,1200,500,2473,870,4960,1059,688,319,24631,1905,33577,2083,67537,146,465,296,414,285,2624,757,4837,904,1992,690,22104,2070,35101,1809
0500000US12001,12001,"Alachua County, Florida",92940,300,45556,300,2365,580,1702,606,8168,1384,8415,1175,4766,915,9603,1377,10537,1410,47384,300,1576,602,3374,844,9007,1324,7329,1303,6480,1291,10169,1255,9449,1242
0500000US12005,12005,"Bay County, Florida",94643,113,46302,113,1498,626,3915,1060,14066,1634,12224,1561,4191,987,6408,1014,4000,926,48341,300,2441,925,5336,1086,15886,1851,11059,1671,3811,937,5997,1089,3811,977
0500000US12009,12009,"Brevard County, Florida",319690,388,154586,156,2242,820,10288,1536,44518,3036,34792,2533,14116,1676,30273,2623,18357,1844,165104,285,3457,901,11404,1836,57208,2902,36029,2613,19592,1932,25575,2100,11839,1576
0500000US12011,12011,"Broward County, Florida",658394,1731,315018,925,7259,1463,22846,2772,83713,3988,65445,3652,23585,2393,68210,3843,43960,2869,343376,974,8854,1683,22833,2262,112426,4384,70929,3695,32060,2702,63696,3403,32578,3022
0500000US12015,12015,"Charlotte County, Florida",108828,226,51317,106,1681,637,4168,974,17976,1834,10390,1621,4234,1135,8533,1599,4335,1109,57511,201,852,404,4945,1108,22237,1511,13602,1730,5071,1156,6346,1418,4458,996
0500000US12017,12017,"Citrus County, Florida",98700,300,46434,300,1769,719,7044,1532,16756,1768,10172,1302,2716,889,5140,936,2837,817,52266,300,1409,616,6295,1361,21705,1907,10781,1580,4854,1362,4211,1031,3011,713
0500000US12019,12019,"Clay County, Florida",97664,300,47828,300,581,435,3822,1055,16437,1960,11315,1400,4214,1074,6816,1167,4643,901,49836,300,806,391,3060,895,17162,1726,13164,1381,5471,1036,6319,1242,3854,813
0500000US12021,12021,"Collier County, Florida",170687,521,81112,496,1290,601,5379,1211,20254,2269,17707,2172,5341,1157,18739,1721,12402,1556,89575,101,1126,609,5566,1228,26790,2101,20106,2249,7433,1556,18888,2243,9666,1416
0500000US12023,12023,"Columbia County, Florida",39289,2892,21741,1724,537,395,4299,1500,7221,1533,4071,1264,1177,516,3121,1192,1315,941,17548,1667,274,282,1978,1056,7893,1592,2976,1042,1741,724,1132,499,1554,860
0500000US12031,12031,"Duval County, Florida",348296,422,169072,230,5667,1311,13849,2112,51217,2865,34696,2466,14402,1685,32137,2526,17104,1907,179224,321,4049,886,14325,1844,62271,3293,39831,2818,15505,1871,29553,2284,13690,1522
0500000US12033,12033,"Escambia County, Florida",140506,457,68212,448,2019,681,4771,1059,16581,1646,16883,1756,5190,1013,14877,1664,7891,1293,72294,83,1547,522,5491,962,20032,1502,19820,1867,7984,1124,11946,1588,5474,984
0500000US12035,12035,"Flagler County, Florida",50049,1593,23358,847,944,530,2281,670,7262,1221,5817,1091,2261,791,3237,730,1556,560,26691,1134,755,403,1441,620,10310,1226,5319,1142,3358,1346,4704,1249,804,430
0500000US12053,12053,"Hernando County, Florida",107059,518,50086,210,2579,839,4553,1047,18657,1889,12033,1520,3439,847,5171,1251,3654,1112,56973,344,1782,653,6565,1514,23320,1732,13978,1863,3916,918,5494,1143,1918,618
0500000US12055,12055,"Highlands County, Florida",56800,633,26518,300,1803,681,2936,729,8793,1398,6518,973,1713,606,2498,580,2257,678,30282,633,1302,607,3628,912,13199,1323,6370,1082,1725,657,2824,776,1234,501
0500000US12057,12057,"Hillsborough County, Florida",476120,1438,230910,724,5245,1202,19750,2109,57375,3270,46935,2852,22845,2396,53212,2976,25548,2089,245210,772,5474,1131,17908,1683,78187,3320,49522,2944,26024,2475,45903,2717,22192,2118
0500000US12061,12061,"Indian River County, Florida",81705,41,38249,19,554,319,3579,803,10982,1352,8561,1263,2456,777,6854,1092,5263,865,43456,22,884,535,3224,841,14019,1591,10189,1386,4275,1022,7580,1233,3285,966
0500000US12069,12069,"Lake County, Florida",176973,853,84056,286,3258,1027,7952,1402,29957,2188,19330,2144,4700,939,12123,1598,6736,1162,92917,719,2928,907,9445,1920,33224,2636,20186,2200,8609,1363,13017,2079,5508,1188
