SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,ACADEMICALT,CAREER,CAREERALT,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,TST,N,197,71,0,99,0,129,2,11,65.5,66.9
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACD,N,12,0,0,1,0,1,0,1,8.3,10.4
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACO,N,185,71,0,98,0,128,2,10,69.2,70.5
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,CSG,N,30,6,0,11,0,13,2,1,43.3,44.2
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ELM,Y,4,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETA,Y,0,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETB,Y,2,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETH,N,13,6,0,8,0,10,2,0,76.9,76.9
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETI,Y,0,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETO,Y,5,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETP,Y,0,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETW,N,177,65,0,89,0,117,0,11,66.1,67.7
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,FOS,Y,7,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,HOM,Y,2,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEN,N,197,71,0,99,0,129,2,11,65.5,66.9
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEP,Y,0,,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUN,N,71,38,0,50,0,64,0,5,90.1,91.9
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUP,N,126,33,0,49,0,65,2,6,51.6,52.8
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MIG,Y,5,,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACD,N,28,4,1,10,0,12,0,0,42.9,42.9
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACO,N,197,88,0,112,0,135,0,6,68.5,69.3
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,TST,N,225,92,1,122,0,147,0,6,65.3,66
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXM,N,105,40,0,53,0,62,0,5,59,60.2
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXF,N,120,52,1,69,0,85,0,1,70.8,71
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,MIL,Y,0,,,,,,,,,
