GEO.id,GEO.id2,GEO.display-label,popchg4201072013,natinc4201072013,births4201072013,deaths4201072013,netmig4201072013,intlmig4201072013,dommig4201072013,popchg20122013,natinc20122013,births20122013,deaths20122013,netmig20122013,intlmig20122013,dommig20122013
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Net Migration - Domestic"
310M200US10100,10100,"Aberdeen, SD Micro Area",1346,396,1693,1297,990,69,921,551,156,538,382,436,22,414
310M200US10140,10140,"Aberdeen, WA Micro Area",-1719,16,2582,2566,-1671,201,-1872,-656,-14,771,785,-571,63,-634
310M200US10180,10180,"Abilene, TX Metro Area",2249,2384,7566,5182,-194,862,-1056,79,664,2321,1657,-625,242,-867
310M200US10220,10220,"Ada, OK Micro Area",500,352,1827,1475,131,43,88,50,70,555,485,-46,14,-60
310M200US10300,10300,"Adrian, MI Micro Area",-704,466,3485,3019,-1186,318,-1504,102,150,1079,929,-69,100,-169
310M200US10420,10420,"Akron, OH Metro Area",2481,2630,24579,21949,-43,3359,-3402,729,764,7548,6784,40,1051,-1011
310M200US10460,10460,"Alamogordo, NM Micro Area",1819,1497,3238,1741,360,800,-440,-306,455,1003,548,-712,226,-938
310M200US10500,10500,"Albany, GA Metro Area",-1614,2819,7304,4485,-4438,242,-4680,-1485,825,2224,1399,-2230,73,-2303
310M200US10540,10540,"Albany, OR Metro Area",2093,1033,4714,3681,986,163,823,358,285,1450,1165,2,46,-44
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",7187,4993,29484,24491,2447,6979,-4532,2747,1438,9050,7612,1370,2219,-849
310M200US10620,10620,"Albemarle, NC Micro Area",50,9,2102,2093,49,115,-66,125,-19,634,653,109,35,74
310M200US10660,10660,"Albert Lea, MN Micro Area",-307,-53,1108,1161,-272,111,-383,-116,-14,332,346,-140,36,-176
310M200US10700,10700,"Albertville, AL Micro Area",1741,853,4270,3417,862,458,404,347,235,1298,1063,53,138,-85
310M200US10740,10740,"Albuquerque, NM Metro Area",15720,14080,36076,21996,1516,2493,-977,2333,3977,11015,7038,-1987,757,-2744
310M200US10780,10780,"Alexandria, LA Metro Area",831,1695,6609,4914,-742,435,-1177,421,517,2046,1529,-47,131,-178
310M200US10820,10820,"Alexandria, MN Micro Area",536,10,1282,1272,461,41,420,98,-16,392,408,77,13,64
310M200US10860,10860,"Alice, TX Micro Area",841,778,2081,1303,92,0,92,10,255,644,389,-238,-1,-237
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",5874,3457,28263,24806,2467,7147,-4680,134,1126,8706,7580,-1187,2271,-3458
310M200US10940,10940,"Alma, MI Micro Area",-508,23,1408,1385,-589,54,-643,-13,14,434,420,-62,18,-80
310M200US10980,10980,"Alpena, MI Micro Area",-507,-260,884,1144,-219,48,-267,-153,-60,270,330,-88,16,-104
310M200US11020,11020,"Altoona, PA Metro Area",-760,-870,4310,5180,50,30,20,-690,-333,1285,1618,-397,10,-407
310M200US11060,11060,"Altus, OK Micro Area",-358,655,1397,742,-988,204,-1192,-117,215,418,203,-302,55,-357
310M200US11100,11100,"Amarillo, TX Metro Area",6263,5123,12265,7142,1017,1611,-594,636,1590,3788,2198,-1061,498,-1559
310M200US11140,11140,"Americus, GA Micro Area",-1374,306,1511,1205,-1714,69,-1783,-136,98,446,348,-245,21,-266
310M200US11180,11180,"Ames, IA Metro Area",2864,1615,3070,1455,1284,1875,-591,776,493,950,457,295,590,-295
310M200US11220,11220,"Amsterdam, NY Micro Area",-339,95,1874,1779,-420,288,-708,-19,22,571,549,-56,93,-149
310M200US11260,11260,"Anchorage, AK Metro Area",15321,13318,19837,6519,2213,3603,-1390,4003,4108,6193,2085,128,1084,-956
310M200US11380,11380,"Andrews, TX Micro Area",2013,549,913,364,1449,27,1422,662,198,299,101,462,5,457
310M200US11420,11420,"Angola, IN Micro Area",173,274,1200,926,-67,6,-73,178,86,380,294,107,2,105
310M200US11460,11460,"Ann Arbor, MI Metro Area",9449,5536,12265,6729,3977,5901,-1924,3094,1646,3732,2086,1398,1870,-472
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",-1836,-1,4432,4433,-1725,106,-1831,-517,-26,1353,1379,-439,29,-468
310M200US11540,11540,"Appleton, WI Metro Area",4296,4336,9274,4938,-63,613,-676,1323,1342,2856,1514,-98,193,-291
310M200US11580,11580,"Arcadia, FL Micro Area",-345,366,1271,905,-672,228,-900,-128,106,376,270,-178,73,-251
310M200US11620,11620,"Ardmore, OK Micro Area",928,-5,1967,1972,909,160,749,456,-28,592,620,448,50,398
310M200US11660,11660,"Arkadelphia, AR Micro Area",-252,-29,807,836,-237,57,-294,-68,5,250,245,-86,17,-103
310M200US11680,11680,"Arkansas City-Winfield, KS Micro Area",-107,227,1544,1317,-345,97,-442,-40,75,472,397,-146,31,-177
310M200US11700,11700,"Asheville, NC Metro Area",12798,-508,14210,14718,12942,1356,11586,5448,-218,4371,4589,5390,415,4975
310M200US11740,11740,"Ashland, OH Micro Area",-96,188,1903,1715,-284,184,-468,-156,20,563,543,-188,58,-246
310M200US11780,11780,"Ashtabula, OH Micro Area",-1686,24,3656,3632,-1635,178,-1813,-487,19,1106,1087,-478,55,-533
310M200US11820,11820,"Astoria, OR Micro Area",207,199,1378,1179,18,84,-66,-95,70,440,370,-180,23,-203
310M200US11860,11860,"Atchison, KS Micro Area",-175,103,704,601,-266,3,-269,-72,44,215,171,-99,1,-100
310M200US11900,11900,"Athens, OH Micro Area",-74,105,1718,1613,-195,730,-925,192,61,517,456,154,233,-79
310M200US11940,11940,"Athens, TN Micro Area",75,-162,1844,2006,267,64,203,-75,-27,568,595,-40,20,-60
310M200US11980,11980,"Athens, TX Micro Area",139,-214,2959,3173,392,91,301,-264,-94,910,1004,-159,26,-185
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",5364,3226,7362,4136,2046,1317,729,1493,983,2219,1236,522,419,103
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",236210,132981,239019,106038,100057,53103,46954,68513,39737,73348,33611,27930,16910,11020
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",1313,2997,11312,8315,-1595,4080,-5675,500,802,3438,2636,-289,1297,-1586
310M200US12140,12140,"Auburn, IN Micro Area",84,429,1629,1200,-347,28,-375,61,112,492,380,-64,8,-72
310M200US12180,12180,"Auburn, NY Micro Area",-549,279,2605,2326,-780,136,-916,-110,112,797,685,-178,43,-221
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",10637,2541,5404,2863,7890,1720,6170,3125,747,1666,919,2278,532,1746
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",15397,7860,24191,16331,7245,2934,4311,3770,2329,7433,5104,1293,824,469
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",-987,-278,3828,4106,-622,104,-726,-546,-82,1166,1248,-423,31,-454
310M200US12380,12380,"Austin, MN Micro Area",164,552,1694,1142,-375,174,-549,-44,157,513,356,-195,52,-247
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",166765,54365,82069,27704,109744,16932,92812,47941,16660,25519,8859,31230,5322,25908
310M200US12460,12460,"Bainbridge, GA Micro Area",-483,197,1217,1020,-681,-2,-679,-113,41,361,320,-152,-1,-151
310M200US12540,12540,"Bakersfield, CA Metro Area",24493,28766,46790,18024,-3946,4109,-8055,8626,8803,14477,5674,-12,1253,-1265
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",60175,34504,110058,75554,26188,26301,-113,16816,9928,33888,23960,6803,8287,-1484
