"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"0500000US06031","Kings County, California","32168","2561","36213","2708","46110","4638","14415","4763","25119","3979","44562","6623","13519","3073"
"0500000US06033","Lake County, California","31813","3625","35457","5746","41197","7116","18463","5698","26776","8126","36855","4725","11554","3002"
"0500000US06037","Los Angeles County, California","33635","518","37441","442","48531","1081","16162","334","30058","303","44280","1076","13332","344"
"0500000US06039","Madera County, California","26557","1826","30912","2048","41442","2092","13367","1764","21724","2585","34336","5653","10574","1611"
"0500000US06041","Marin County, California","60489","4400","72715","9852","110423","12881","22203","5572","48352","4950","76259","6308","17428","3751"
"0500000US06045","Mendocino County, California","26757","2622","31508","3008","41009","6988","18659","5441","21416","2388","35352","5644","12070","2123"
"0500000US06047","Merced County, California","28852","1167","31929","1222","41536","2011","14442","1715","22995","2076","37087","3106","10849","1067"
"0500000US06053","Monterey County, California","30039","1656","32191","1381","42897","3269","17424","1409","24923","2048","40231","2224","15242","1182"
"0500000US06055","Napa County, California","37855","3455","43885","3931","55524","3326","14990","5643","32637","3606","51950","3298","11623","1566"
"0500000US06057","Nevada County, California","34785","5476","40366","7105","56197","4856","12019","6163","29413","4904","47745","10468","15875","2534"
"0500000US06059","Orange County, California","40419","371","46823","788","62191","1190","16478","717","32599","1131","51018","752","14122","762"
"0500000US06061","Placer County, California","46607","3386","56786","4950","80352","4660","15304","2792","37150","2829","61516","2745","13855","2225"
"0500000US06065","Riverside County, California","31936","393","38272","1525","50573","687","14358","1424","26787","618","40944","729","12440","591"
"0500000US06067","Sacramento County, California","37071","843","41273","844","53741","2491","12612","1233","33237","1457","49688","1718","14051","964"
"0500000US06071","San Bernardino County, California","32086","354","37427","1110","47194","1005","12865","957","27057","657","40890","666","12314","468"
"0500000US06073","San Diego County, California","36890","457","41794","564","55646","881","15704","546","31797","542","48698","1505","14304","880"
"0500000US06075","San Francisco County, California","65393","2550","71534","2108","100057","4543","23871","1910","60067","5343","80879","2842","20242","1795"
"0500000US06077","San Joaquin County, California","34023","1993","39699","1818","47841","1723","14723","1870","27302","1505","41046","1378","12467","1197"
"0500000US06079","San Luis Obispo County, California","31917","1222","36389","3302","60223","6962","10012","1828","27416","5371","47908","5940","11343","1057"
"0500000US06081","San Mateo County, California","56288","2481","62469","3732","85068","6519","18795","3358","49331","3198","71720","3040","16460","1062"
"0500000US06083","Santa Barbara County, California","29099","2437","33343","2334","47863","2583","12226","1387","23643","1777","42376","3518","11013","793"
"0500000US06085","Santa Clara County, California","57158","2450","71604","1395","95797","3830","18240","1620","44577","2981","67330","2123","15338","793"
"0500000US06087","Santa Cruz County, California","32448","3837","41258","1677","65393","4351","11815","2297","26498","1583","56368","8177","13434","2947"
"0500000US06089","Shasta County, California","30955","1398","39334","4299","57426","6131","15211","2997","24425","2046","44493","5726","11224","1258"
"0500000US06095","Solano County, California","42004","1018","47705","2949","61130","1089","16482","1424","35721","1563","52313","2002","12606","1954"
"0500000US06097","Sonoma County, California","35799","1657","41274","1410","60551","1823","15662","1855","31022","1055","51319","2078","15846","1376"
"0500000US06099","Stanislaus County, California","32907","2016","40549","1981","51102","1130","15678","1913","26660","1434","41513","1261","11199","916"
"0500000US06101","Sutter County, California","31254","2483","36473","2205","51760","6611","15968","7025","24681","3418","38270","4184","13459","2834"
"0500000US06107","Tulare County, California","26704","1201","31246","1044","42578","4141","11524","469","21744","1003","36255","5152","12083","757"
"0500000US06111","Ventura County, California","36491","860","41062","887","56396","2316","15739","1048","31613","1059","47542","3252","14307","1362"
"0500000US06113","Yolo County, California","31653","1522","38845","4771","57356","8772","10241","1791","23235","2832","50212","3192","7850","1314"
"0500000US06115","Yuba County, California","28356","3332","30355","3880","40852","3547","12135","3452","26093","5553","36667","4674","10242","1677"
"0500000US08001","Adams County, Colorado","36355","845","40910","966","49631","2174","15967","2062","31627","970","40852","1361","12222","1094"
"0500000US08005","Arapahoe County, Colorado","40111","1093","43429","2360","56112","1758","14279","2189","35509","1142","47813","1954","14077","2523"
"0500000US08013","Boulder County, Colorado","37352","1945","48638","4267","69422","3346","11929","1541","30306","2108","52033","2488","11937","1013"
"0500000US08014","Broomfield County, Colorado","51239","2023","65100","5162","72000","5970","20517","2765","40762","2307","55230","7061","13650","3194"
"0500000US08031","Denver County, Colorado","42409","1370","47489","1880","56503","1636","20185","1503","37459","1916","51551","1103","15230","1404"
"0500000US08035","Douglas County, Colorado","55346","2642","74863","4371","94669","5285","11464","1406","41571","3079","60936","1783","13506","2268"
"0500000US08041","El Paso County, Colorado","33428","1882","41192","958","51689","863","14350","2670","27939","1699","40187","2036","11890","761"
"0500000US08059","Jefferson County, Colorado","44990","2011","51113","1070","61948","942","14234","1989","37723","1688","51088","961","14844","1493"
"0500000US08069","Larimer County, Colorado","35597","1374","43073","4368","58904","4674","11365","1488","27780","1727","45707","2365","11778","956"
"0500000US08077","Mesa County, Colorado","32861","3004","37451","3698","52436","5642","15487","2104","27390","5031","45122","5900","10145","3721"
"0500000US08101","Pueblo County, Colorado","30732","1578","32201","2463","45473","4335","10777","2081","27209","3173","43818","4795","11045","1593"
"0500000US08123","Weld County, Colorado","36887","1536","46065","2264","56738","3890","12593","3240","30306","1136","45613","2715","11581","1075"
"0500000US09001","Fairfield County, Connecticut","43323","2304","51866","1026","74665","3208","15158","1300","35598","1823","60874","1643","12373","667"
"0500000US09003","Hartford County, Connecticut","42378","1067","50697","975","65458","2638","12349","865","36291","1021","55454","1566","14440","1633"
"0500000US09005","Litchfield County, Connecticut","41758","1299","50700","1263","61077","1235","16510","4478","32462","3516","50181","3042","16336","2109"
"0500000US09007","Middlesex County, Connecticut","50131","3184","56145","6696","71637","4378","15074","4514","43118","3626","60013","5723","16910","3896"
"0500000US09009","New Haven County, Connecticut","40163","1126","46681","2145","62166","2364","12146","862","33923","2026","51845","1260","12445","1057"
"0500000US09011","New London County, Connecticut","36591","1159","43608","2989","60137","3297","13578","1848","30426","1825","49328","3533","14370","1519"
"0500000US09013","Tolland County, Connecticut","43759","5289","55904","5087","72866","3521","8817","2917","32185","4623","61743","4037","11098","1497"
"0500000US09015","Windham County, Connecticut","33365","4474","40365","3659","53904","4253","11056","1750","29033","2867","43449","3483","8658","2657"
"0500000US10001","Kent County, Delaware","32114","2562","40189","2543","46034","1908","11085","1353","24795","3279","39380","4720","8469","2634"
"0500000US10003","New Castle County, Delaware","37855","1845","43147","3580","58084","4678","10948","803","32480","1648","47868","2669","10867","838"
"0500000US10005","Sussex County, Delaware","30632","1268","34584","3065","48029","3388","9289","1109","26544","1362","35624","1730","11297","1047"
"0500000US11001","District of Columbia, District of Columbia","57851","2816","62384","4326","81267","1849","12845","1983","54822","2880","70911","1282","11024","1133"
"0500000US12001","Alachua County, Florida","27561","2591","30320","2749","44565","3233","8488","1726","26435","1602","39819","3292","10316","1215"
"0500000US12005","Bay County, Florida","30825","1082","35149","2944","45070","3386","11945","1738","26909","2582","35363","2914","11999","2267"
"0500000US12009","Brevard County, Florida","32124","1175","38759","2188","50731","1306","13025","1970","27066","1250","39949","1816","12512","1570"
"0500000US12011","Broward County, Florida","32612","1034","36676","856","45949","1047","12912","1191","30488","592","41422","687","12373","613"
"0500000US12015","Charlotte County, Florida","23419","3132","24041","3821","37644","5484","12177","3595","22941","3341","38645","4789","11345","1581"
"0500000US12017","Citrus County, Florida","26393","1917","30422","2965","36326","4175","9487","2254","21731","3129","33118","3351","10991","1884"
"0500000US12019","Clay County, Florida","35452","1555","41030","1604","47299","5279","13105","7421","28635","2452","38148","2417","12572","2672"
"0500000US12021","Collier County, Florida","30813","970","35086","3599","41752","3812","16810","1776","24907","3049","39163","3894","12313","1600"
"0500000US12023","Columbia County, Florida","32199","1997","35661","2260","41462","4542","11788","5681","29279","4257","33512","2452","9262","2743"
"0500000US12031","Duval County, Florida","32633","1189","36548","987","46422","1451","12086","703","29743","1599","39629","1754","11942","780"
"0500000US12033","Escambia County, Florida","31180","932","35789","1465","46979","4362","12386","2121","26889","1974","35910","1219","10600","1470"
"0500000US12035","Flagler County, Florida","30391","2185","32754","7906","47447","5727","11413","748","27177","6251","37734","4235","10842","1076"
"0500000US12053","Hernando County, Florida","29330","2488","31923","4251","41395","3983","15244","3010","26797","1931","34373","3414","10933","896"
"0500000US12055","Highlands County, Florida","25074","3199","27562","4902","39322","4845","10177","4679","22069","2973","33768","5106","9988","1867"
"0500000US12057","Hillsborough County, Florida","34470","1125","40231","832","50181","1029","12697","1272","30391","508","40610","665","12854","1032"
"0500000US12061","Indian River County, Florida","29564","2482","31058","3955","40221","4566","12119","5184","27545","5165","37259","4299","10948","1700"
"0500000US12069","Lake County, Florida","30357","1634","35044","2468","42361","4449","11165","1644","24860","1486","36403","1590","11598","1155"
