State code (STATEFIP),State name,PUMA of Migration (MIGPUMA or MIGPUMA1),PUMA (PUMA)
72,Puerto Rico,400,400
72,Puerto Rico,500,500
72,Puerto Rico,600,600
72,Puerto Rico,700,700
72,Puerto Rico,800,00801-00802
72,Puerto Rico,900,900
72,Puerto Rico,1000,01001-01004
72,Puerto Rico,1100,1100
72,Puerto Rico,1200,1200
72,Puerto Rico,1300,1300
72,Puerto Rico,1400,1400
72,Puerto Rico,1500,1500
72,Puerto Rico,1600,1600
72,Puerto Rico,1700,1700
72,Puerto Rico,1800,1800
72,Puerto Rico,1900,1900
72,Puerto Rico,2000,2000
72,Puerto Rico,2100,2100
72,Puerto Rico,2200,2200
72,Puerto Rico,2300,2300
72,Puerto Rico,2400,2400
72,Puerto Rico,2500,2500
72,Puerto Rico,2600,2600
