GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",834,173,43,39,36,29,460,123,215,66,40,31,16,16,24,23,532,118,16,25,24,26,282,88,163,57,15,16,16,16,16,18,116,86,0,11,0,11,99,84,8,12,9,13,0,11,0,11,145,67,18,27,0,11,75,54,44,36,0,11,0,11,8,12,21,23,9,16,12,18,0,11,0,11,0,11,0,11,0,11,16,24,0,11,0,11,0,11,0,11,16,24,0,11,0,11,4,7,0,11,0,11,4,7,0,11,0,11,0,11,0,11
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",712,132,18,19,117,64,306,94,167,57,54,32,38,25,12,11,533,128,9,12,72,49,208,80,161,58,33,26,38,25,12,11,14,16,4,6,0,11,0,11,0,11,10,15,0,11,0,11,90,54,5,10,45,43,30,22,6,10,4,7,0,11,0,11,32,32,0,11,0,11,25,30,0,11,7,10,0,11,0,11,28,29,0,11,0,11,28,29,0,11,0,11,0,11,0,11,15,22,0,11,0,11,15,22,0,11,0,11,0,11,0,11
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",616,101,17,19,107,46,327,86,92,37,32,27,31,26,10,13,388,112,0,11,54,37,231,96,69,35,13,13,17,17,4,8,38,33,0,11,7,10,21,20,10,15,0,11,0,11,0,11,91,40,17,19,33,29,33,28,4,5,4,7,0,11,0,11,58,36,0,11,0,11,23,20,0,11,15,23,14,21,6,9,27,22,0,11,13,15,8,14,6,9,0,11,0,11,0,11,14,17,0,11,0,11,11,17,3,6,0,11,0,11,0,11
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",636,170,33,31,93,66,235,122,163,66,60,34,28,23,24,18,325,96,0,11,67,55,110,59,69,35,40,30,23,21,16,13,81,57,0,11,26,24,40,37,5,7,5,8,5,8,0,11,100,64,10,12,0,11,30,33,45,38,15,15,0,11,0,11,78,60,23,29,0,11,47,49,8,12,0,11,0,11,0,11,41,40,0,11,0,11,8,13,33,38,0,11,0,11,0,11,11,14,0,11,0,11,0,11,3,11,0,11,0,11,8,11
1400000US21111002300,21111002300,"Census Tract 23, Jefferson County, Kentucky",728,148,25,24,129,74,359,87,120,54,36,21,29,25,30,22,413,95,0,11,42,31,252,75,51,33,29,19,24,25,15,16,102,59,20,23,0,11,42,39,29,28,0,11,5,7,6,12,65,39,5,8,5,7,22,23,24,27,0,11,0,11,9,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,139,119,0,11,82,68,34,36,16,26,7,9,0,11,0,11,9,13,0,11,0,11,9,13,0,11,0,11,0,11,0,11
1400000US21111002400,21111002400,"Census Tract 24, Jefferson County, Kentucky",1787,303,79,63,144,100,780,262,467,194,153,75,164,109,0,16,1057,279,0,16,20,34,549,200,264,163,115,74,109,95,0,16,38,43,0,16,0,16,0,16,38,43,0,16,0,16,0,16,294,138,35,32,51,62,96,83,84,86,17,28,11,18,0,16,75,74,44,55,0,16,31,50,0,16,0,16,0,16,0,16,323,149,0,16,73,73,104,116,81,70,21,33,44,69,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US21111002700,21111002700,"Census Tract 27, Jefferson County, Kentucky",850,191,17,19,77,65,383,144,204,93,42,25,119,70,8,13,482,133,9,16,43,45,220,105,119,70,42,25,49,45,0,11,35,42,0,11,0,11,9,13,26,41,0,11,0,11,0,11,134,86,0,11,9,14,83,65,0,11,0,11,34,42,8,13,65,57,8,12,0,11,46,54,11,17,0,11,0,11,0,11,98,67,0,11,25,42,25,39,48,42,0,11,0,11,0,11,36,33,0,11,0,11,0,11,0,11,0,11,36,33,0,11
1400000US21111002800,21111002800,"Census Tract 28, Jefferson County, Kentucky",652,143,12,12,96,59,318,112,122,49,67,44,24,16,13,12,477,121,0,11,43,35,240,106,103,43,67,44,14,12,10,11,35,21,4,6,6,8,7,10,12,13,0,11,6,8,0,11,61,37,8,11,0,11,43,31,7,9,0,11,0,11,3,5,36,40,0,11,36,40,0,11,0,11,0,11,0,11,0,11,32,31,0,11,0,11,28,30,0,11,0,11,4,7,0,11,11,21,0,11,11,21,0,11,0,11,0,11,0,11,0,11
1400000US21111003000,21111003000,"Census Tract 30, Jefferson County, Kentucky",682,147,0,11,210,102,326,102,62,46,40,40,44,30,0,11,236,90,0,11,44,39,158,76,21,30,6,10,7,13,0,11,24,37,0,11,0,11,0,11,0,11,24,37,0,11,0,11,231,95,0,11,125,81,52,41,27,30,10,15,17,17,0,11,109,73,0,11,41,60,45,42,14,17,0,11,9,14,0,11,82,53,0,11,0,11,71,51,0,11,0,11,11,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21111003500,21111003500,"Census Tract 35, Jefferson County, Kentucky",1980,560,579,432,957,264,251,91,174,94,8,13,4,6,7,9,1178,399,366,339,609,202,108,58,76,70,8,13,4,6,7,9,172,83,30,24,142,81,0,16,0,16,0,16,0,16,0,16,217,93,48,39,26,41,115,62,28,32,0,16,0,16,0,16,297,133,101,107,98,71,28,29,70,57,0,16,0,16,0,16,62,58,14,22,48,54,0,16,0,16,0,16,0,16,0,16,54,49,20,22,34,50,0,16,0,16,0,16,0,16,0,16
