GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US09007,09007,"Middlesex County, Connecticut",137877,198,67295,198,2685,198,3407,613,3436,613,2543,198,1722,198,4054,198,3500,198,3587,198,7222,198,11265,198,11483,198,7498,198,3233,459,1660,459,70582,198,2651,198,2956,652,3570,652,2433,198,1576,198,3730,198,3324,198,3509,169,7529,198,11851,198,11913,198,8337,198,3624,595,3579,583
0500000US09009,09009,"New Haven County, Connecticut",551654,541,265976,291,10900,51,11281,1278,14128,1282,9246,51,7392,198,16609,198,16439,198,15779,72,29057,143,41944,198,43945,138,28861,198,14228,809,6167,809,285678,395,10470,198,11327,1344,12866,1340,8789,111,7614,217,16325,198,16253,46,15981,44,29773,83,43442,141,46937,198,33380,198,18345,1255,14176,1257
0500000US09011,09011,"New London County, Connecticut",205997,322,102351,143,4352,198,4871,825,5146,821,3510,198,2763,198,8140,198,6826,198,5816,198,10798,198,15730,198,16333,198,11139,198,4673,429,2254,432,103646,227,4360,198,4273,664,5217,664,3399,198,2334,198,6063,198,5790,198,5691,198,11108,82,16217,113,16948,198,11739,172,6814,673,3693,673
0500000US09013,09013,"Tolland County, Connecticut",129326,244,64336,152,2381,198,2877,743,3672,749,2386,198,3733,198,7722,198,3314,198,3147,198,6404,67,9659,198,9559,198,5934,198,2343,384,1205,384,64990,136,2220,198,2543,488,3601,495,2316,198,3714,198,7711,198,2775,198,2959,198,6461,121,9836,198,9728,198,6221,198,3358,479,1547,479
0500000US09015,09015,"Windham County, Connecticut",97309,198,47986,198,2280,198,2849,445,2170,445,1900,198,1409,198,3139,198,3038,198,2770,198,5729,198,7666,198,7577,198,4627,198,1984,330,848,330,49323,198,2073,198,2715,550,1929,550,1588,198,1394,649,3061,649,2800,198,2852,198,5825,198,7842,198,7942,198,5033,198,2495,380,1774,380
0500000US10001,10001,"Kent County, Delaware",108988,118,53118,118,2918,118,2670,556,3591,556,1966,190,1165,190,3668,190,3979,190,3314,190,5899,190,7413,190,7018,190,5805,190,2626,458,1086,458,55870,190,2825,190,2208,605,3689,605,1907,190,809,373,3391,373,3929,190,3443,190,6583,190,7759,190,7853,190,6532,190,3453,415,1489,415
0500000US10003,10003,"New Castle County, Delaware",326876,790,158663,410,7982,83,7028,974,8975,968,5452,94,4572,85,10177,190,12284,190,9819,343,18401,58,23774,190,24368,190,15317,190,7250,741,3264,741,168213,495,7784,190,6647,989,8693,989,5183,190,4903,328,9933,86,12012,393,10038,190,18755,190,24838,190,25975,190,17760,190,9678,767,6014,767
0500000US10005,10005,"Sussex County, Delaware",160511,570,77300,156,3132,190,2727,815,4075,821,2105,106,1136,190,3602,190,3629,190,3660,190,7009,190,10105,190,13296,29,14514,190,6635,479,1675,478,83211,524,2931,190,3039,635,3183,672,2096,190,1030,190,3426,70,3842,190,3695,190,7354,122,10981,190,15544,293,15838,190,7137,550,3115,558
0500000US11001,11001,"District of Columbia, District of Columbia",241855,788,120817,293,5853,112,3154,600,2852,604,1080,200,3639,1033,10580,1021,17710,169,18520,200,21059,165,14031,200,10430,200,7456,200,2868,457,1585,457,121038,736,5787,200,2771,687,2992,692,1118,200,5362,1206,11991,1224,19833,328,18820,200,18514,92,10740,78,9540,200,8064,200,3883,433,1623,433
0500000US12001,12001,"Alachua County, Florida",161443,175,79061,26,3834,217,3983,530,2442,530,1956,217,3590,217,13051,217,6463,217,5358,217,8374,30,8546,217,9765,217,7407,12,3002,435,1290,435,82382,166,3578,25,3089,680,2820,672,1883,217,6745,1351,10598,1342,6344,217,4997,217,7890,217,8892,217,11093,217,8100,11,3685,680,2668,680
